DistrictType,TerrainType
DISTRICT_ACROPOLIS,TERRAIN_GRASS_HILLS
DISTRICT_ACROPOLIS,TERRAIN_PLAINS_HILLS
DISTRICT_ACROPOLIS,TERRAIN_TUNDRA_HILLS
DISTRICT_ACROPOLIS,TERRAIN_SNOW_HILLS
DISTRICT_ACROPOLIS,TERRAIN_DESERT_HILLS
DISTRICT_AERODROME,TERRAIN_GRASS
DISTRICT_AERODROME,TERRAIN_PLAINS
DISTRICT_AERODROME,TERRAIN_TUNDRA
DISTRICT_AERODROME,TERRAIN_SNOW
DISTRICT_AERODROME,TERRAIN_DESERT
DISTRICT_SPACEPORT,TERRAIN_GRASS
DISTRICT_SPACEPORT,TERRAIN_PLAINS
DISTRICT_SPACEPORT,TERRAIN_TUNDRA
DISTRICT_SPACEPORT,TERRAIN_SNOW
DISTRICT_SPACEPORT,TERRAIN_DESERT
DISTRICT_SEOWON,TERRAIN_GRASS_HILLS
DISTRICT_SEOWON,TERRAIN_PLAINS_HILLS
DISTRICT_SEOWON,TERRAIN_TUNDRA_HILLS
DISTRICT_SEOWON,TERRAIN_SNOW_HILLS
DISTRICT_SEOWON,TERRAIN_DESERT_HILLS
DISTRICT_CANAL,TERRAIN_GRASS
DISTRICT_CANAL,TERRAIN_PLAINS
DISTRICT_CANAL,TERRAIN_TUNDRA
DISTRICT_CANAL,TERRAIN_SNOW
DISTRICT_CANAL,TERRAIN_DESERT
