DistrictType,Name,PrereqTech,PrereqCivic,Coast,Description,Cost,RequiresPlacement,RequiresPopulation,NoAdjacentCity,CityCenter,Aqueduct,InternalOnly,ZOC,FreeEmbark,HitPoints,CaptureRemovesBuildings,CaptureRemovesCityDefenses,PlunderType,PlunderAmount,TradeEmbark,MilitaryDomain,CostProgressionModel,CostProgressionParam1,TraitType,Appeal,Housing,Entertainment,OnePerCity,AllowsHolyCity,Maintenance,AirSlots,CitizenSlots,TravelTime,CityStrengthModifier,AdjacentToLand,CanAttack,AdvisorType,CaptureRemovesDistrict,MaxPerPlayer
DISTRICT_CITY_CENTER,LOC_DISTRICT_CITY_CENTER_NAME,,,0,LOC_DISTRICT_CITY_CENTER_DESCRIPTION,54,0,0,0,1,0,0,1,1,200,1,1,NO_PLUNDER,0,1,NO_DOMAIN,NO_COST_PROGRESSION,0,,0,0,0,1,0,0,1,,4,0,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_HOLY_SITE,LOC_DISTRICT_HOLY_SITE_NAME,TECH_ASTROLOGY,,0,LOC_DISTRICT_HOLY_SITE_DESCRIPTION,54,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_FAITH,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,1,0,0,1,1,1,0,,-1,2,0,0,ADVISOR_RELIGIOUS,0,-1.0
DISTRICT_CAMPUS,LOC_DISTRICT_CAMPUS_NAME,TECH_WRITING,,0,LOC_DISTRICT_CAMPUS_DESCRIPTION,54,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_SCIENCE,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,0,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_TECHNOLOGY,0,-1.0
DISTRICT_ENCAMPMENT,LOC_DISTRICT_ENCAMPMENT_NAME,TECH_BRONZE_WORKING,,0,LOC_DISTRICT_ENCAMPMENT_DESCRIPTION,54,1,1,1,0,0,0,1,0,100,1,0,NO_PLUNDER,0,0,DOMAIN_LAND,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,-1,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_CONQUEST,0,-1.0
DISTRICT_HARBOR,LOC_DISTRICT_HARBOR_NAME,TECH_CELESTIAL_NAVIGATION,,1,LOC_DISTRICT_HARBOR_EXPANSION1_DESCRIPTION,54,1,1,0,0,0,0,0,1,0,0,0,PLUNDER_GOLD,50,1,DOMAIN_SEA,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,0,0,0,1,0,0,0,,2,2,1,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_AERODROME,LOC_DISTRICT_AERODROME_NAME,TECH_FLIGHT,,0,LOC_DISTRICT_AERODROME_DESCRIPTION,54,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_GOLD,50,0,DOMAIN_AIR,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,-1,0,0,1,0,1,2,,1,2,0,0,ADVISOR_CONQUEST,0,-1.0
DISTRICT_COMMERCIAL_HUB,LOC_DISTRICT_COMMERCIAL_HUB_NAME,TECH_CURRENCY,,0,LOC_DISTRICT_COMMERCIAL_HUB_EXPANSION1_DESCRIPTION,54,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_GOLD,50,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,0,0,0,1,0,0,0,,3,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_ENTERTAINMENT_COMPLEX,LOC_DISTRICT_ENTERTAINMENT_COMPLEX_NAME,,CIVIC_GAMES_RECREATION,0,LOC_DISTRICT_ENTERTAINMENT_COMPLEX_DESCRIPTION,54,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_HEAL,50,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,1,0,1,1,0,1,0,,-1,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_THEATER,LOC_DISTRICT_THEATER_NAME,,CIVIC_DRAMA_POETRY,0,LOC_DISTRICT_THEATER_DESCRIPTION,54,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_CULTURE,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,1,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_CULTURE,0,-1.0
DISTRICT_INDUSTRIAL_ZONE,LOC_DISTRICT_INDUSTRIAL_ZONE_NAME,TECH_APPRENTICESHIP,,0,LOC_DISTRICT_INDUSTRIAL_ZONE_DESCRIPTION,54,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_SCIENCE,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,-1,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_NEIGHBORHOOD,LOC_DISTRICT_NEIGHBORHOOD_NAME,,CIVIC_URBANIZATION,0,LOC_DISTRICT_NEIGHBORHOOD_DESCRIPTION,54,1,0,0,0,0,0,1,0,0,0,0,PLUNDER_GOLD,50,0,NO_DOMAIN,COST_PROGRESSION_GAME_PROGRESS,1000,,0,4,0,0,0,0,0,,-1,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_AQUEDUCT,LOC_DISTRICT_AQUEDUCT_NAME,TECH_ENGINEERING,,0,LOC_DISTRICT_AQUEDUCT_ALT_DESCRIPTION,36,1,0,0,0,1,0,0,0,0,0,0,PLUNDER_GOLD,50,0,NO_DOMAIN,COST_PROGRESSION_GAME_PROGRESS,1000,,0,0,0,1,0,0,0,,-1,0,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_SPACEPORT,LOC_DISTRICT_SPACEPORT_NAME,TECH_ROCKETRY,,0,LOC_DISTRICT_SPACEPORT_DESCRIPTION_XP2,1800,1,0,0,0,0,0,0,0,0,0,0,PLUNDER_SCIENCE,25,0,NO_DOMAIN,NO_COST_PROGRESSION,0,,-1,0,0,1,0,0,0,,-1,2,0,0,ADVISOR_TECHNOLOGY,0,-1.0
