ModifierType,CollectionType,EffectType
MODIFIER_ALL_PLAYERS_ATTACH_MODIFIER,COLLECTION_ALL_PLAYERS,EFFECT_ATTACH_MODIFIER
MODIFIER_ALL_CITIES_ATTACH_MODIFIER,COLLECTION_ALL_CITIES,EFFECT_ATTACH_MODIFIER
MODIFIER_ALL_CITIES_ADJUST_BUILDING_PRODUCTION,COLLECTION_ALL_CITIES,EFFECT_ADJUST_BUILDING_PRODUCTION
MODIFIER_SINGLE_CITY_ADJUST_BUILDING_PRODUCTION,COLLECTION_OWNER,EFFECT_ADJUST_BUILDING_PRODUCTION
MODIFIER_ALL_CITIES_ADJUST_CITY_YIELD_CHANGE,COLLECTION_ALL_CITIES,EFFECT_ADJUST_CITY_YIELD_CHANGE
MODIFIER_ALL_CITIES_ADJUST_CITY_GROWTH,COLLECTION_ALL_CITIES,EFFECT_ADJUST_CITY_GROWTH
MODIFIER_ALL_CITIES_CULTURE_BORDER_EXPANSION,COLLECTION_ALL_CITIES,EFFECT_ADJUST_CITY_CULTURE_BORDER_EXPANSION
MODIFIER_ALL_CITIES_FEATURE_ADJACENCY,COLLECTION_ALL_CITIES,EFFECT_FEATURE_ADJACENCY
MODIFIER_ALL_DISTRICTS_ATTACH_MODIFIER,COLLECTION_ALL_DISTRICTS,EFFECT_ATTACH_MODIFIER
MODIFIER_ALL_DISTRICTS_ADJUST_YIELD_BASED_ON_ADJACENCY_BONUS,COLLECTION_ALL_DISTRICTS,EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_ADJACENCY_BONUS
MODIFIER_PLAYER_DIPLOMACY_AGENDA_ZEALOT,COLLECTION_MAJOR_PLAYERS,EFFECT_DIPLOMACY_AGENDA_ZEALOT
MODIFIER_ALL_CITIES_TERRAIN_ADJACENCY,COLLECTION_ALL_CITIES,EFFECT_TERRAIN_ADJACENCY
MODIFIER_ALL_UNITS_ADJUST_HEAL_PER_TURN,COLLECTION_ALL_UNITS,EFFECT_ADJUST_UNIT_HEALING_MODIFIERS
MODIFIER_ALL_UNITS_ATTACH_MODIFIER,COLLECTION_ALL_UNITS,EFFECT_ATTACH_MODIFIER
MODIFIER_ALL_UNITS_GRANT_ABILITY,COLLECTION_ALL_UNITS,EFFECT_GRANT_ABILITY
MODIFIER_PLAYER_ADJUST_CITY_TILES,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_CITY_TILES
MODIFIER_BUILDING_YIELD_CHANGE,COLLECTION_OWNER,EFFECT_ADJUST_BUILDING_YIELD_CHANGE
MODIFIER_FOLLOWER_YIELD_MODIFIER,COLLECTION_OWNER,EFFECT_ADJUST_FOLLOWER_YIELD_MODIFIER
