EmergencyType,Hostile,NoTarget,UIType,UIBackgroundPrefix,NoCongress
EMERGENCY_MILITARY,1,0,HOSTILE_EMERGENCY,,0
EMERGENCY_SETTLED_CITY,1,0,HOSTILE_EMERGENCY,,0
EMERGENCY_CAPTURE_CITY_STATE,1,0,HOSTILE_EMERGENCY,,0
EMERGENCY_RELIGIOUS,1,0,HOSTILE_EMERGENCY,,0
EMERGENCY_NUCLEAR,1,0,HOSTILE_EMERGENCY,,0
EMERGENCY_BACKSTAB,1,0,HOSTILE_EMERGENCY,,0
EMERGENCY_SEND_AID,0,0,AID_REQUEST,,0
EMERGENCY_SEND_MILITARY_AID,0,0,AID_REQUEST,,0
EMERGENCY_NOBEL_PRIZE_LITERATURE,0,1,COMPETITION,,0
EMERGENCY_NOBEL_PRIZE_PEACE,0,1,COMPETITION,,0
EMERGENCY_NOBEL_PRIZE_PHYSICS,0,1,COMPETITION,,0
EMERGENCY_WORLDS_FAIR,0,1,COMPETITION,,0
EMERGENCY_SPACE_STATION,0,1,COMPETITION,,0
EMERGENCY_CLIMATE_ACCORDS,0,1,COMPETITION,,0
EMERGENCY_WORLD_GAMES,0,1,COMPETITION,,0
