EmergencyType,Trigger,TargetRequirementSet,GoalTrigger,MemberRequirementSet,Duration,RemovesWarState,ShareVis,OpenBorders,KillFriendship,WarOnTarget,InformTarget,LockoutTime,EmergencyText,GoalText,Name
EMERGENCY_MILITARY,EMERGENCY_TRIGGER_TAKE_CITY,MILITARY_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_TAKE_CITY,MILITARY_EMERGENCY_MEMBER_REQUIREMENTS,30,1,1,1,1,1,1,1,Military,ConquerCities,LOC_EMERGENCY_NAME_MILITARY
EMERGENCY_SETTLED_CITY,EMERGENCY_TRIGGER_NONE,SETTLEMENT_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NOTHING,SETTLEMENT_EMERGENCY_MEMBER_REQUIREMENTS,5,1,1,1,1,1,1,5,Military,ConquerCities,LOC_EMERGENCY_NAME_CITY_STATE
EMERGENCY_CAPTURE_CITY_STATE,EMERGENCY_TRIGGER_CAPTURE_CITY_STATE,CITY_STATE_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_LIBERATE_CITY_STATE,CITY_STATE_EMERGENCY_MEMBER_REQUIREMENTS,30,1,1,1,1,1,1,1,CityState,LiberateCity,LOC_EMERGENCY_NAME_CITY_STATE
EMERGENCY_RELIGIOUS,EMERGENCY_TRIGGER_CONVERT_CITY,RELIGIOUS_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_CITY_RELIGIOUS_TURN,RELIGIOUS_EMERGENCY_MEMBER_REQUIREMENTS,30,0,0,0,1,0,1,10,Religious,ConvertCity,LOC_EMERGENCY_NAME_RELIGIOUS
EMERGENCY_NUCLEAR,EMERGENCY_TRIGGER_NUKE_USED,NUCLEAR_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_TAKE_CITY,NUCLEAR_EMERGENCY_MEMBER_REQUIREMENTS,60,1,1,1,1,1,1,1,Nuclear,ConquerCities,LOC_EMERGENCY_NAME_NUCLEAR
EMERGENCY_BACKSTAB,EMERGENCY_TRIGGER_WAR_DECLARED,BACKSTAB_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_TAKE_CITY,BACKSTAB_EMERGENCY_MEMBER_REQUIREMENTS,60,1,1,1,1,1,1,1,Backstab,ConquerCities,LOC_EMERGENCY_NAME_BACKSTAB
EMERGENCY_NOBEL_PRIZE_LITERATURE,EMERGENCY_TRIGGER_WORLD_CONGRESS,NOBEL_PRIZE_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NONE,NOBEL_PRIZE_MEMBER_REQUIREMENTS,29,0,0,0,0,0,0,60,GreatArtists,NoGoal,LOC_EMERGENCY_NOBEL_PRIZE_LITERATURE_NAME
EMERGENCY_NOBEL_PRIZE_PEACE,EMERGENCY_TRIGGER_WORLD_CONGRESS,NOBEL_PRIZE_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NONE,NOBEL_PRIZE_MEMBER_REQUIREMENTS,29,0,0,0,0,0,0,60,Favor,NoGoal,LOC_EMERGENCY_NOBEL_PRIZE_PEACE_NAME
EMERGENCY_NOBEL_PRIZE_PHYSICS,EMERGENCY_TRIGGER_WORLD_CONGRESS,NOBEL_PRIZE_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NONE,NOBEL_PRIZE_MEMBER_REQUIREMENTS,29,0,0,0,0,0,0,60,GreatStems,NoGoal,LOC_EMERGENCY_NOBEL_PHYSICS_NAME
EMERGENCY_SEND_AID,EMERGENCY_TRIGGER_PLAYER_LOSES_POP_TO_RANDOM_EVENT,SEND_AID_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NONE,SEND_AID_EMERGENCY_MEMBER_REQUIREMENTS,30,0,0,0,0,0,0,30,SendAid,NoGoal,LOC_EMERGENCY_REQUEST_AID_NAME
EMERGENCY_SEND_MILITARY_AID,EMERGENCY_TRIGGER_WAR_WITH_GRIEVANCES,SEND_AID_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NONE,SEND_AID_EMERGENCY_MEMBER_REQUIREMENTS,30,0,0,0,0,0,0,30,SendMilitaryAid,NoGoal,LOC_EMERGENCY_REQUEST_MILITARY_AID_NAME
EMERGENCY_WORLDS_FAIR,EMERGENCY_TRIGGER_WORLD_CONGRESS,WORLDS_FAIR_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NONE,WORLDS_FAIR_EMERGENCY_MEMBER_REQUIREMENTS,29,0,0,0,0,0,0,60,WorldsFair,NoGoal,LOC_EMERGENCY_WORLDS_FAIR_NAME
EMERGENCY_SPACE_STATION,EMERGENCY_TRIGGER_WORLD_CONGRESS,SPACE_STATION_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NONE,SPACE_STATION_EMERGENCY_MEMBER_REQUIREMENTS,29,0,0,0,0,0,0,60,SpaceStation,NoGoal,LOC_EMERGENCY_SPACE_STATION_NAME
EMERGENCY_CLIMATE_ACCORDS,EMERGENCY_TRIGGER_WORLD_CONGRESS,CLIMATE_ACCORDS_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NONE,CLIMATE_ACCORDS_EMERGENCY_MEMBER_REQUIREMENTS,29,0,0,0,0,0,0,60,ClimateAccords,NoGoal,LOC_EMERGENCY_CLIMATE_ACCORDS_NAME
EMERGENCY_WORLD_GAMES,EMERGENCY_TRIGGER_WORLD_CONGRESS,WORLD_GAMES_EMERGENCY_TARGET_REQUIREMENTS,EMERGENCY_TRIGGER_NONE,WORLD_GAMES_EMERGENCY_MEMBER_REQUIREMENTS,29,0,0,0,0,0,0,60,WorldGames,NoGoal,LOC_EMERGENCY_WORLD_GAMES_NAME
