ModifierID,EmergencyType,Description
MILITARY_EMERGENCY_MEMBER_COMBAT_STRENGTH_ATTACK,EMERGENCY_MILITARY,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_MILITARY_COMBAT_STRENGTH
MILITARY_EMERGENCY_MEMBER_COMBAT_STRENGTH_DEFEND,EMERGENCY_MILITARY,
MILITARY_EMERGENCY_MEMBER_MOVEMENT_BUFF,EMERGENCY_MILITARY,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_MILITARY_MOVEMENT
SETTLEMENT_EMERGENCY_MEMBER_MOVEMENT_BUFF,EMERGENCY_SETTLED_CITY,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_SETTLEMENT_MOVEMENT
SETTLEMENT_EMERGENCY_TARGET_MOVEMENT_BUFF,EMERGENCY_SETTLED_CITY,LOC_EMERGENCY_TARGET_BUFF_DESCRIPTION_SETTLEMENT_MOVEMENT
NUCLEAR_EMERGENCY_MEMBER_COMBAT_STRENGTH_ATTACK,EMERGENCY_NUCLEAR,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_NUCLEAR_COMBAT_STRENGTH
NUCLEAR_EMERGENCY_MEMBER_COMBAT_STRENGTH_DEFEND,EMERGENCY_NUCLEAR,
NUCLEAR_EMERGENCY_MEMBER_MOVEMENT_BUFF,EMERGENCY_NUCLEAR,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_NUCLEAR_MOVEMENT
BACKSTAB_EMERGENCY_MEMBER_COMBAT_STRENGTH_ATTACK,EMERGENCY_BACKSTAB,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_BACKSTAB_COMBAT_STRENGTH
BACKSTAB_EMERGENCY_MEMBER_COMBAT_STRENGTH_DEFEND,EMERGENCY_BACKSTAB,
BACKSTAB_EMERGENCY_MEMBER_MOVEMENT_BUFF,EMERGENCY_BACKSTAB,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_BACKSTAB_MOVEMENT
BACKSTAB_EMERGENCY_MEMBER_TRADING_BUFF,EMERGENCY_BACKSTAB,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_BACKSTAB_TRADING
EMERGENCY_PREVENT_FREE_CITY_BUFF,EMERGENCY_MILITARY,LOC_EMERGENCY_TARGET_BUFF_DESCRIPTION_IDENTITY_IN_CITY
EMERGENCY_PREVENT_FREE_CITY_BUFF,EMERGENCY_CAPTURE_CITY_STATE,LOC_EMERGENCY_TARGET_BUFF_DESCRIPTION_IDENTITY_IN_CITY
EMERGENCY_PREVENT_FREE_CITY_BUFF,EMERGENCY_NUCLEAR,LOC_EMERGENCY_TARGET_BUFF_DESCRIPTION_IDENTITY_IN_CITY
EMERGENCY_PREVENT_FREE_CITY_BUFF,EMERGENCY_BACKSTAB,LOC_EMERGENCY_TARGET_BUFF_DESCRIPTION_IDENTITY_IN_CITY
AID_REQUEST_GRANT_PROJECT,EMERGENCY_SEND_AID,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_ACCESS_TO_SEND_AID_PROJECT
AID_REQUEST_GRANT_PROJECT,EMERGENCY_SEND_MILITARY_AID,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_ACCESS_TO_SEND_AID_PROJECT
ISS_GRANT_PROJECT,EMERGENCY_SPACE_STATION,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_ACCESS_TO_TRAIN_ASTRONAUTS_PROJECT
WORLD_GAMES_GRANT_PROJECT,EMERGENCY_WORLD_GAMES,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_ACCESS_TO_TRAIN_ATHLETES_PROJECT
CLIMATE_ACCORDS_GRANT_DECOMMISSION_COAL_POWER_PLANT_PROJECT,EMERGENCY_CLIMATE_ACCORDS,LOC_EMERGENCY_MEMBER_BUFF_DESCRIPTION_ACCESS_TO_DECOMMISSION_POWER_PLANT_PROJECTS
CLIMATE_ACCORDS_GRANT_DECOMMISSION_OIL_POWER_PLANT_PROJECT,EMERGENCY_CLIMATE_ACCORDS,
CLIMATE_ACCORDS_GRANT_DECOMMISSION_NUCLEAR_POWER_PLANT_PROJECT,EMERGENCY_CLIMATE_ACCORDS,
