ModifierID,EmergencyType,OnSuccess,Description,FirstPlace,TopTier,BottomTier
MILITARY_EMERGENCY_MEMBER_HEALING_REWARD,EMERGENCY_MILITARY,1,LOC_EMERGENCY_MEMBER_REWARD_DESCRIPTION_MILITARY_INCREASED_HEALING,0,0,0
MILITARY_EMERGENCY_TARGET_CITY_STRIKE_REWARD,EMERGENCY_MILITARY,0,LOC_EMERGENCY_TARGET_REWARD_DESCRIPTION_MILITARY_CITY_STRIKE,0,0,0
SETTLEMENT_EMERGENCY_MEMBER_GPT_REWARD,EMERGENCY_SETTLED_CITY,1,LOC_EMERGENCY_MEMBER_REWARD_DESCRIPTION_SETTLEMENT_GOLD_PER_TURN,0,0,0
SETTLEMENT_EMERGENCY_TARGET_GPT_REWARD,EMERGENCY_SETTLED_CITY,0,LOC_EMERGENCY_TARGET_REWARD_DESCRIPTION_SETTLEMENT_GOLD_PER_TURN,0,0,0
CITY_STATE_EMERGENCY_MEMBER_ENVOY_GOLD_REWARD,EMERGENCY_CAPTURE_CITY_STATE,1,LOC_EMERGENCY_MEMBER_REWARD_DESCRIPTION_CITY_STATE_GOLD_PER_ENVOY,0,0,0
CITY_STATE_EMERGENCY_TARGET_ENVOY_GOLD_REWARD,EMERGENCY_CAPTURE_CITY_STATE,0,LOC_EMERGENCY_TARGET_REWARD_DESCRIPTION_CITY_STATE_GOLD_FOR_TRADE_ROUTES,0,0,0
RELIGIOUS_EMERGENCY_MEMBER_RELIC_REWARD,EMERGENCY_RELIGIOUS,1,LOC_EMERGENCY_MEMBER_REWARD_DESCRIPTION_RELIGIOUS_RELICS,0,0,0
RELIGIOUS_EMERGENCY_TARGET_PRESSURE_REWARD,EMERGENCY_RELIGIOUS,0,LOC_EMERGENCY_TARGET_REWARD_DESCRIPTION_RELIGIOUS_PRESSURE,0,0,0
NUCLEAR_EMERGENCY_MEMBER_COMBAT_STRENGTH_ATTACK_REWARD,EMERGENCY_NUCLEAR,1,LOC_EMERGENCY_MEMBER_REWARD_DESCRIPTION_NUCLEAR_COMBAT_STRENGTH,0,0,0
NUCLEAR_EMERGENCY_MEMBER_COMBAT_STRENGTH_DEFEND_REWARD,EMERGENCY_NUCLEAR,1,,0,0,0
