ScoreSourceType,EmergencyType,Description,ScoreAmount,FromProject,MilitaryInEnemyTerritory,ReligiousInEnemyTerritory,AttackedEnemyCity,FromGold,KilledEnemyUnit,SpreadReligion,ReligionAttackedEnemy,ReligiousUnitsInEnemyTerritory,FromGreatPerson,FromFavor,FromBuilding,FromDistrict,FromCO2Footprint,FromAtWar,FromBadCO2Footprint,FromSacrificedUnitStrength
NOBEL_PRIZE_LITERATURE_SCORE_FROM_ARTIST,EMERGENCY_NOBEL_PRIZE_LITERATURE,LOC_EMERGENCY_SCORE_GREAT_ARTISTS_DESC,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_ARTIST,0,,,0,0,0,0
NOBEL_PRIZE_LITERATURE_SCORE_FROM_MUSICIAN,EMERGENCY_NOBEL_PRIZE_LITERATURE,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_MUSICIAN,0,,,0,0,0,0
NOBEL_PRIZE_LITERATURE_SCORE_FROM_WRITER,EMERGENCY_NOBEL_PRIZE_LITERATURE,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_WRITER,0,,,0,0,0,0
NOBEL_PRIZE_PEACE_SCORE_FROM_FAVOR,EMERGENCY_NOBEL_PRIZE_PEACE,LOC_EMERGENCY_SCORE_FAVOR_DESC,1,,0,0,0,0,0,0,0,0,,1,,,0,0,0,0
NOBEL_PRIZE_PHYSICS_SCORE_FROM_ENGINEER,EMERGENCY_NOBEL_PRIZE_PHYSICS,LOC_EMERGENCY_SCORE_GREAT_STEMS_DESC,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_ENGINEER,0,,,0,0,0,0
NOBEL_PRIZE_PHYSICS_SCORE_FROM_MERCHANT,EMERGENCY_NOBEL_PRIZE_PHYSICS,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_MERCHANT,0,,,0,0,0,0
NOBEL_PRIZE_PHYSICS_SCORE_FROM_SCIENTIST,EMERGENCY_NOBEL_PRIZE_PHYSICS,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_SCIENTIST,0,,,0,0,0,0
SEND_AID_SCORE_FROM_GOLD_REQUEST_AID,EMERGENCY_SEND_AID,LOC_EMERGENCY_SCORE_SEND_AID_GOLD_DESC,1,,0,0,0,1,0,0,0,0,,0,,,0,0,0,0
SEND_AID_SCORE_FROM_PROJECT_REQUEST_AID,EMERGENCY_SEND_AID,LOC_EMERGENCY_SCORE_SEND_AID_PROJECT_DESC,200,PROJECT_SEND_AID,0,0,0,0,0,0,0,0,,0,,,0,0,0,0
SEND_AID_SCORE_FROM_AT_WAR_REQUEST_AID,EMERGENCY_SEND_AID,LOC_EMERGENCY_SCORE_SEND_AID_WAR_DESC,-30,,0,0,0,0,0,0,0,0,,0,,,0,1,0,0
SEND_AID_SCORE_FROM_POLLUTION_REQUEST_AID,EMERGENCY_SEND_AID,LOC_EMERGENCY_SCORE_SEND_AID_CO2_DESC,-400,,0,0,0,0,0,0,0,0,,0,,,0,0,1,0
MILITARY_EMERGENCY_SCORE_MILITARY_IN_LAND,EMERGENCY_MILITARY,LOC_EMERGENCY_SCORE_MILITARY_IN_LAND_DESC,1,,1,0,0,0,0,0,0,0,,0,,,0,0,0,0
MILITARY_EMERGENCY_SCORE_ATTACK_CITY,EMERGENCY_MILITARY,LOC_EMERGENCY_SCORE_ATTACK_CITY_DESC,5,,0,0,1,0,0,0,0,0,,0,,,0,0,0,0
MILITARY_EMERGENCY_SCORE_KILLED_ENEMY,EMERGENCY_MILITARY,LOC_EMERGENCY_SCORE_KILL_ENEMY_MILITARY_DESC,5,,0,0,0,0,1,0,0,0,,0,,,0,0,0,0
CITY_STATE_EMERGENCY_SCORE_MILITARY_IN_LAND,EMERGENCY_CAPTURE_CITY_STATE,LOC_EMERGENCY_SCORE_MILITARY_IN_LAND_DESC,1,,1,0,0,0,0,0,0,0,,0,,,0,0,0,0
CITY_STATE_EMERGENCY_SCORE_ATTACK_CITY,EMERGENCY_CAPTURE_CITY_STATE,LOC_EMERGENCY_SCORE_ATTACK_CITY_DESC,5,,0,0,1,0,0,0,0,0,,0,,,0,0,0,0
CITY_STATE_EMERGENCY_SCORE_KILLED_ENEMY,EMERGENCY_CAPTURE_CITY_STATE,LOC_EMERGENCY_SCORE_KILL_ENEMY_MILITARY_DESC,5,,0,0,0,0,1,0,0,0,,0,,,0,0,0,0
NUCLEAR_EMERGENCY_SCORE_MILITARY_IN_LAND,EMERGENCY_NUCLEAR,LOC_EMERGENCY_SCORE_MILITARY_IN_LAND_DESC,1,,1,0,0,0,0,0,0,0,,0,,,0,0,0,0
NUCLEAR_EMERGENCY_SCORE_ATTACK_CITY,EMERGENCY_NUCLEAR,LOC_EMERGENCY_SCORE_ATTACK_CITY_DESC,5,,0,0,1,0,0,0,0,0,,0,,,0,0,0,0
NUCLEAR_EMERGENCY_SCORE_KILLED_ENEMY,EMERGENCY_NUCLEAR,LOC_EMERGENCY_SCORE_KILL_ENEMY_MILITARY_DESC,5,,0,0,0,0,1,0,0,0,,0,,,0,0,0,0
BACKSTAB_EMERGENCY_SCORE_MILITARY_IN_LAND,EMERGENCY_BACKSTAB,LOC_EMERGENCY_SCORE_MILITARY_IN_LAND_DESC,1,,1,0,0,0,0,0,0,0,,0,,,0,0,0,0
BACKSTAB_EMERGENCY_SCORE_ATTACK_CITY,EMERGENCY_BACKSTAB,LOC_EMERGENCY_SCORE_ATTACK_CITY_DESC,5,,0,0,1,0,0,0,0,0,,0,,,0,0,0,0
BACKSTAB_EMERGENCY_SCORE_KILLED_ENEMY,EMERGENCY_BACKSTAB,LOC_EMERGENCY_SCORE_KILL_ENEMY_MILITARY_DESC,5,,0,0,0,0,1,0,0,0,,0,,,0,0,0,0
RELIGIOUS_EMERGENCY_SCORE_UNITS_IN_LAND,EMERGENCY_RELIGIOUS,LOC_EMERGENCY_SCORE_RELIGION_IN_LAND_DESC,1,,0,1,0,0,0,0,0,0,,0,,,0,0,0,0
WORLDS_FAIR_SCORE_GPP_GENERALS,EMERGENCY_WORLDS_FAIR,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_GENERAL,0,,,0,0,0,0
WORLDS_FAIR_SCORE_GPP_ADMIRALS,EMERGENCY_WORLDS_FAIR,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_ADMIRAL,0,,,0,0,0,0
WORLDS_FAIR_SCORE_GPP_ENGINEERS,EMERGENCY_WORLDS_FAIR,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_ENGINEER,0,,,0,0,0,0
WORLDS_FAIR_SCORE_GPP_MERCHANTS,EMERGENCY_WORLDS_FAIR,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_MERCHANT,0,,,0,0,0,0
WORLDS_FAIR_SCORE_GPP_SCIENTISTS,EMERGENCY_WORLDS_FAIR,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_SCIENTIST,0,,,0,0,0,0
WORLDS_FAIR_SCORE_GPP_WRITERS,EMERGENCY_WORLDS_FAIR,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_WRITER,0,,,0,0,0,0
WORLDS_FAIR_SCORE_GPP_ARTISTS,EMERGENCY_WORLDS_FAIR,,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_ARTIST,0,,,0,0,0,0
WORLDS_FAIR_SCORE_GPP_MUSICIANS,EMERGENCY_WORLDS_FAIR,LOC_EMERGENCY_SCORE_GPP_DESC,1,,0,0,0,0,0,0,0,0,GREAT_PERSON_CLASS_MUSICIAN,0,,,0,0,0,0
SPACE_STATION_SCORE_PROJECT,EMERGENCY_SPACE_STATION,LOC_EMERGENCY_SCORE_ASTRONAUT_PROJECT_DESC,30,PROJECT_TRAIN_ASTRONAUTS,0,0,0,0,0,0,0,0,,0,,,0,0,0,0
SPACE_STATION_SCORE_SPACEPORTS,EMERGENCY_SPACE_STATION,LOC_EMERGENCY_SCORE_SPACEPORTS_DESC,5,,0,0,0,0,0,0,0,0,,0,,DISTRICT_SPACEPORT,0,0,0,0
