Type,Flavor,Description,ExtraEffects,ExtraRewards,ExtraFailureRewards,DescriptionShorter
Military,LOC_EMERGENCY_FLAVOR_MILITARY,LOC_EMERGENCY_DESCRIPTION_MILITARY,LOC_EMERGENCY_EXTRA_EFFECTS_MILITARY,,,LOC_WORLD_CONGRESS_MILITARY_EMERGENCY_SUMMARY
CityState,LOC_EMERGENCY_FLAVOR_CITY_STATE,LOC_EMERGENCY_DESCRIPTION_CITY_STATE,LOC_EMERGENCY_EXTRA_EFFECTS_CITY_STATE,,,LOC_WORLD_CONGRESS_CITY_STATE_EMERGENCY_SUMMARY
Religious,LOC_EMERGENCY_FLAVOR_RELIGIOUS,LOC_EMERGENCY_DESCRIPTION_RELIGIOUS,,,,LOC_WORLD_CONGRESS_RELIGIOUS_EMERGENCY_SUMMARY
Nuclear,LOC_EMERGENCY_FLAVOR_NUCLEAR,LOC_EMERGENCY_DESCRIPTION_NUCLEAR,LOC_EMERGENCY_EXTRA_EFFECTS_NUCLEAR,,,LOC_WORLD_CONGRESS_NUCLEAR_EMERGENCY_SUMMARY
Backstab,LOC_EMERGENCY_FLAVOR_BACKSTAB,LOC_EMERGENCY_DESCRIPTION_BACKSTAB,LOC_EMERGENCY_EXTRA_EFFECTS_BACKSTAB,,,LOC_WORLD_CONGRESS_BETRAYAL_EMERGENCY_SUMMARY
GreatArtists,LOC_EMERGENCY_FLAVOR_GREAT_ARTISTS,LOC_EMERGENCY_DESCRIPTION_GREAT_ARTISTS,,,,LOC_WORLD_CONGRESS_NOBEL_PRIZE_LITERATURE_SUMMARY
GreatStems,LOC_EMERGENCY_FLAVOR_GREAT_STEMS,LOC_EMERGENCY_DESCRIPTION_GREAT_STEMS,,,,LOC_WORLD_CONGRESS_NOBEL_PRIZE_SCIENCE_SUMMARY
Favor,LOC_EMERGENCY_FLAVOR_FAVOR,LOC_EMERGENCY_DESCRIPTION_FAVOR,,,,LOC_WORLD_CONGRESS_NOBEL_PRIZE_PEACE_SUMMARY
SendAid,LOC_EMERGENCY_FLAVOR_REQUEST_AID,LOC_EMERGENCY_DESCRIPTION_REQUEST_AID,,,,LOC_WORLD_CONGRESS_AID_REQUEST_SUMMARY
SendMilitaryAid,LOC_EMERGENCY_FLAVOR_REQUEST_MILITARY_AID,LOC_EMERGENCY_DESCRIPTION_REQUEST_MILITARY_AID,,,,LOC_WORLD_CONGRESS_MILITARY_AID_REQUEST_SUMMARY
WorldsFair,LOC_EMERGENCY_FLAVOR_SCORE_COMPETITION_CULTURAL,LOC_EMERGENCY_DESCRIPTION_SCORE_COMPETITION_CULTURAL,,,,LOC_WORLD_CONGRESS_WORLDS_FAIR_SUMMARY
SpaceStation,LOC_EMERGENCY_FLAVOR_SPACE_STATION,LOC_EMERGENCY_DESCRIPTION_SPACE_STATION,,,,LOC_WORLD_CONGRESS_ISS_SUMMARY
ClimateAccords,LOC_EMERGENCY_FLAVOR_CLIMATE_ACCORDS,LOC_EMERGENCY_DESCRIPTION_CLIMATE_ACCORDS,,,,LOC_WORLD_CONGRESS_CLIMATE_ACCORD_SUMMARY
WorldGames,LOC_EMERGENCY_FLAVOR_WORLD_GAMES,LOC_EMERGENCY_DESCRIPTION_WORLD_GAMES,,,,LOC_WORLD_CONGRESS_WORLD_GAMES_SUMMARY
