LeaderType,CivilizationType,ReligionType
LEADER_T_ROOSEVELT,,RELIGION_PROTESTANTISM
LEADER_SALADIN,,RELIGION_ISLAM
LEADER_PEDRO,,RELIGION_CATHOLICISM
LEADER_QIN,,RELIGION_TAOISM
LEADER_VICTORIA,,RELIGION_PROTESTANTISM
LEADER_CATHERINE_DE_MEDICI,,RELIGION_CATHOLICISM
LEADER_BARBAROSSA,,RELIGION_CATHOLICISM
LEADER_GANDHI,,RELIGION_HINDUISM
LEADER_HOJO,,RELIGION_BUDDHISM
LEADER_MVEMBA,,RELIGION_CATHOLICISM
LEADER_HARDRADA,,RELIGION_PROTESTANTISM
LEADER_PETER_GREAT,,RELIGION_ORTHODOXY
LEADER_PHILIP_II,,RELIGION_CATHOLICISM
LEADER_GITARJA,,RELIGION_HINDUISM
LEADER_JAYAVARMAN,,RELIGION_BUDDHISM
LEADER_JADWIGA,,RELIGION_CATHOLICISM
LEADER_CYRUS,,RELIGION_ZOROASTRIANISM
LEADER_CHANDRAGUPTA,,RELIGION_HINDUISM
LEADER_ROBERT_THE_BRUCE,,RELIGION_CATHOLICISM
LEADER_SEONDEOK,,RELIGION_BUDDHISM
LEADER_TAMAR,,RELIGION_ORTHODOXY
LEADER_WILHELMINA,,RELIGION_PROTESTANTISM
LEADER_DIDO,,RELIGION_JUDAISM
LEADER_ELEANOR_ENGLAND,,RELIGION_CATHOLICISM
LEADER_ELEANOR_FRANCE,,RELIGION_CATHOLICISM
LEADER_KRISTINA,,RELIGION_PROTESTANTISM
LEADER_LAURIER,,RELIGION_CATHOLICISM
LEADER_MANSA_MUSA,,RELIGION_ISLAM
LEADER_MATTHIAS_CORVINUS,,RELIGION_CATHOLICISM
LEADER_SULEIMAN,,RELIGION_ISLAM
LEADER_T_ROOSEVELT_ROUGHRIDER,,RELIGION_PROTESTANTISM
LEADER_ELIZABETH,,RELIGION_PROTESTANTISM
LEADER_HARALD_ALT,,RELIGION_ORTHODOXY
LEADER_VICTORIA_ALT,,RELIGION_PROTESTANTISM
LEADER_ABRAHAM_LINCOLN,,RELIGION_PROTESTANTISM
LEADER_SALADIN_ALT,,RELIGION_ISLAM
LEADER_YONGLE,,RELIGION_CONFUCIANISM
LEADER_WU_ZETIAN,,RELIGION_BUDDHISM
LEADER_QIN_ALT,,RELIGION_TAOISM
LEADER_SUNDIATA_KEITA,,RELIGION_ISLAM
LEADER_SIMON_BOLIVAR,,RELIGION_CATHOLICISM
LEADER_BASIL,,RELIGION_ORTHODOXY
LEADER_KUBLAI_KHAN_CHINA,,RELIGION_BUDDHISM
LEADER_KUBLAI_KHAN_MONGOLIA,,RELIGION_BUDDHISM
LEADER_CATHERINE_DE_MEDICI_ALT,,RELIGION_CATHOLICISM
LEADER_TOKUGAWA,,RELIGION_BUDDHISM
LEADER_NADER_SHAH,,RELIGION_ISLAM
LEADER_SULEIMAN_ALT,,RELIGION_ISLAM
LEADER_MENELIK,,RELIGION_ORTHODOXY
LEADER_LUDWIG,,RELIGION_CATHOLICISM
LEADER_THEODORA,,RELIGION_ORTHODOXY
LEADER_SEJONG,,RELIGION_CONFUCIANISM
LEADER_JOAO_III,,RELIGION_CATHOLICISM
