FeatureType,TerrainType
FEATURE_EVEREST,TERRAIN_GRASS
FEATURE_EVEREST,TERRAIN_GRASS_HILLS
FEATURE_EVEREST,TERRAIN_PLAINS
FEATURE_EVEREST,TERRAIN_PLAINS_HILLS
FEATURE_EVEREST,TERRAIN_DESERT
FEATURE_EVEREST,TERRAIN_DESERT_HILLS
FEATURE_EVEREST,TERRAIN_SNOW
FEATURE_EVEREST,TERRAIN_SNOW_HILLS
FEATURE_EVEREST,TERRAIN_TUNDRA
FEATURE_EVEREST,TERRAIN_TUNDRA_HILLS
FEATURE_EYJAFJALLAJOKULL,TERRAIN_SNOW
FEATURE_EYJAFJALLAJOKULL,TERRAIN_SNOW_HILLS
FEATURE_EYJAFJALLAJOKULL,TERRAIN_TUNDRA
FEATURE_EYJAFJALLAJOKULL,TERRAIN_TUNDRA_HILLS
FEATURE_MATTERHORN,TERRAIN_GRASS
FEATURE_MATTERHORN,TERRAIN_GRASS_HILLS
FEATURE_MATTERHORN,TERRAIN_PLAINS
FEATURE_MATTERHORN,TERRAIN_PLAINS_HILLS
FEATURE_MATTERHORN,TERRAIN_DESERT
FEATURE_MATTERHORN,TERRAIN_DESERT_HILLS
FEATURE_MATTERHORN,TERRAIN_SNOW
FEATURE_MATTERHORN,TERRAIN_SNOW_HILLS
FEATURE_MATTERHORN,TERRAIN_TUNDRA
FEATURE_MATTERHORN,TERRAIN_TUNDRA_HILLS
FEATURE_VESUVIUS,TERRAIN_GRASS
FEATURE_VESUVIUS,TERRAIN_GRASS_HILLS
FEATURE_VESUVIUS,TERRAIN_PLAINS
FEATURE_VESUVIUS,TERRAIN_PLAINS_HILLS
FEATURE_VESUVIUS,TERRAIN_DESERT
FEATURE_VESUVIUS,TERRAIN_DESERT_HILLS
FEATURE_VESUVIUS,TERRAIN_SNOW
FEATURE_VESUVIUS,TERRAIN_SNOW_HILLS
FEATURE_VESUVIUS,TERRAIN_TUNDRA
FEATURE_VESUVIUS,TERRAIN_TUNDRA_HILLS
