FeatureType,YieldType,YieldChange
FEATURE_EVEREST,YIELD_FAITH,1
FEATURE_GALAPAGOS,YIELD_SCIENCE,2
FEATURE_KILIMANJARO,YIELD_FOOD,2
FEATURE_TSINGY,YIELD_CULTURE,1
FEATURE_TSINGY,YIELD_SCIENCE,1
FEATURE_PIOPIOTAHI,YIELD_CULTURE,1
FEATURE_PIOPIOTAHI,YIELD_GOLD,1
FEATURE_YOSEMITE,YIELD_GOLD,1
FEATURE_YOSEMITE,YIELD_SCIENCE,1
FEATURE_EYJAFJALLAJOKULL,YIELD_CULTURE,1
FEATURE_GIANTS_CAUSEWAY,YIELD_CULTURE,1
FEATURE_EYJAFJALLAJOKULL,YIELD_FOOD,1
FEATURE_LYSEFJORDEN,YIELD_PRODUCTION,1
FEATURE_ULURU,YIELD_FAITH,2
FEATURE_ULURU,YIELD_CULTURE,2
FEATURE_DELICATE_ARCH,YIELD_FAITH,2
FEATURE_DELICATE_ARCH,YIELD_GOLD,1
FEATURE_MATTERHORN,YIELD_CULTURE,1
FEATURE_RORAIMA,YIELD_FAITH,1
FEATURE_RORAIMA,YIELD_SCIENCE,1
FEATURE_DEVILSTOWER,YIELD_FAITH,1
FEATURE_DEVILSTOWER,YIELD_PRODUCTION,1
FEATURE_VESUVIUS,YIELD_PRODUCTION,1
FEATURE_YOSEMITE,YIELD_FOOD,1
FEATURE_BERMUDA_TRIANGLE,YIELD_SCIENCE,5
FEATURE_PAITITI,YIELD_GOLD,3
FEATURE_PAITITI,YIELD_CULTURE,2
