FeatureType,TerrainType
FEATURE_DEAD_SEA,TERRAIN_GRASS_MOUNTAIN
FEATURE_DEAD_SEA,TERRAIN_PLAINS_MOUNTAIN
FEATURE_DEAD_SEA,TERRAIN_DESERT_MOUNTAIN
FEATURE_DEAD_SEA,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_DEAD_SEA,TERRAIN_SNOW_MOUNTAIN
FEATURE_KILIMANJARO,TERRAIN_GRASS_MOUNTAIN
FEATURE_KILIMANJARO,TERRAIN_PLAINS_MOUNTAIN
FEATURE_KILIMANJARO,TERRAIN_DESERT_MOUNTAIN
FEATURE_KILIMANJARO,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_KILIMANJARO,TERRAIN_SNOW_MOUNTAIN
FEATURE_TORRES_DEL_PAINE,TERRAIN_DESERT
FEATURE_TORRES_DEL_PAINE,TERRAIN_SNOW
FEATURE_TORRES_DEL_PAINE,TERRAIN_GRASS_MOUNTAIN
FEATURE_TORRES_DEL_PAINE,TERRAIN_PLAINS_MOUNTAIN
FEATURE_TORRES_DEL_PAINE,TERRAIN_DESERT_MOUNTAIN
FEATURE_TORRES_DEL_PAINE,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_TORRES_DEL_PAINE,TERRAIN_SNOW_MOUNTAIN
FEATURE_TSINGY,TERRAIN_GRASS_MOUNTAIN
FEATURE_TSINGY,TERRAIN_PLAINS_MOUNTAIN
FEATURE_TSINGY,TERRAIN_DESERT_MOUNTAIN
FEATURE_TSINGY,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_TSINGY,TERRAIN_SNOW_MOUNTAIN
FEATURE_YOSEMITE,TERRAIN_GRASS_MOUNTAIN
FEATURE_YOSEMITE,TERRAIN_PLAINS_MOUNTAIN
FEATURE_YOSEMITE,TERRAIN_DESERT_MOUNTAIN
FEATURE_YOSEMITE,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_YOSEMITE,TERRAIN_SNOW_MOUNTAIN
FEATURE_PANTANAL,TERRAIN_SNOW
FEATURE_ULURU,TERRAIN_GRASS_MOUNTAIN
FEATURE_ULURU,TERRAIN_PLAINS_MOUNTAIN
FEATURE_ULURU,TERRAIN_DESERT_MOUNTAIN
FEATURE_ULURU,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_ULURU,TERRAIN_SNOW_MOUNTAIN
FEATURE_ULURU,TERRAIN_GRASS_HILLS
FEATURE_ULURU,TERRAIN_PLAINS_HILLS
FEATURE_ULURU,TERRAIN_TUNDRA_HILLS
FEATURE_ULURU,TERRAIN_SNOW_HILLS
FEATURE_ULURU,TERRAIN_GRASS
FEATURE_ULURU,TERRAIN_PLAINS
FEATURE_ULURU,TERRAIN_TUNDRA
FEATURE_ULURU,TERRAIN_SNOW
FEATURE_BERMUDA_TRIANGLE,TERRAIN_COAST
