FeatureType,TerrainType
FEATURE_FLOODPLAINS,TERRAIN_DESERT
FEATURE_ICE,TERRAIN_COAST
FEATURE_ICE,TERRAIN_OCEAN
FEATURE_JUNGLE,TERRAIN_GRASS
FEATURE_JUNGLE,TERRAIN_GRASS_HILLS
FEATURE_JUNGLE,TERRAIN_PLAINS
FEATURE_JUNGLE,TERRAIN_PLAINS_HILLS
FEATURE_FOREST,TERRAIN_GRASS
FEATURE_FOREST,TERRAIN_PLAINS
FEATURE_FOREST,TERRAIN_TUNDRA
FEATURE_FOREST,TERRAIN_GRASS_HILLS
FEATURE_FOREST,TERRAIN_PLAINS_HILLS
FEATURE_FOREST,TERRAIN_TUNDRA_HILLS
FEATURE_OASIS,TERRAIN_DESERT
FEATURE_MARSH,TERRAIN_GRASS
FEATURE_BARRIER_REEF,TERRAIN_COAST
FEATURE_CLIFFS_DOVER,TERRAIN_PLAINS_HILLS
FEATURE_CLIFFS_DOVER,TERRAIN_GRASS_HILLS
FEATURE_CRATER_LAKE,TERRAIN_PLAINS
FEATURE_CRATER_LAKE,TERRAIN_TUNDRA
FEATURE_DEAD_SEA,TERRAIN_GRASS
FEATURE_DEAD_SEA,TERRAIN_DESERT
FEATURE_EVEREST,TERRAIN_GRASS_MOUNTAIN
FEATURE_EVEREST,TERRAIN_PLAINS_MOUNTAIN
FEATURE_EVEREST,TERRAIN_DESERT_MOUNTAIN
FEATURE_EVEREST,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_GALAPAGOS,TERRAIN_COAST
FEATURE_KILIMANJARO,TERRAIN_GRASS_MOUNTAIN
FEATURE_KILIMANJARO,TERRAIN_PLAINS_MOUNTAIN
FEATURE_KILIMANJARO,TERRAIN_DESERT_MOUNTAIN
FEATURE_KILIMANJARO,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_PANTANAL,TERRAIN_GRASS
FEATURE_PANTANAL,TERRAIN_PLAINS
FEATURE_PIOPIOTAHI,TERRAIN_GRASS
FEATURE_PIOPIOTAHI,TERRAIN_GRASS_HILLS
FEATURE_PIOPIOTAHI,TERRAIN_PLAINS
FEATURE_PIOPIOTAHI,TERRAIN_PLAINS_HILLS
FEATURE_TORRES_DEL_PAINE,TERRAIN_GRASS
FEATURE_TORRES_DEL_PAINE,TERRAIN_PLAINS
FEATURE_TORRES_DEL_PAINE,TERRAIN_TUNDRA
FEATURE_TORRES_DEL_PAINE,TERRAIN_GRASS_HILLS
FEATURE_TORRES_DEL_PAINE,TERRAIN_PLAINS_HILLS
FEATURE_TORRES_DEL_PAINE,TERRAIN_TUNDRA_HILLS
FEATURE_TSINGY,TERRAIN_GRASS
FEATURE_TSINGY,TERRAIN_PLAINS
FEATURE_TSINGY,TERRAIN_TUNDRA
FEATURE_TSINGY,TERRAIN_GRASS_HILLS
FEATURE_TSINGY,TERRAIN_PLAINS_HILLS
FEATURE_TSINGY,TERRAIN_TUNDRA_HILLS
FEATURE_YOSEMITE,TERRAIN_PLAINS
FEATURE_YOSEMITE,TERRAIN_TUNDRA
FEATURE_HA_LONG_BAY,TERRAIN_COAST
FEATURE_EYJAFJALLAJOKULL,TERRAIN_SNOW
FEATURE_EYJAFJALLAJOKULL,TERRAIN_TUNDRA
FEATURE_EYJAFJALLAJOKULL,TERRAIN_SNOW_HILLS
FEATURE_EYJAFJALLAJOKULL,TERRAIN_TUNDRA_HILLS
FEATURE_LYSEFJORDEN,TERRAIN_TUNDRA
FEATURE_LYSEFJORDEN,TERRAIN_TUNDRA_HILLS
FEATURE_LYSEFJORDEN,TERRAIN_PLAINS
FEATURE_LYSEFJORDEN,TERRAIN_PLAINS_HILLS
FEATURE_GIANTS_CAUSEWAY,TERRAIN_GRASS
FEATURE_GIANTS_CAUSEWAY,TERRAIN_PLAINS
FEATURE_GIANTS_CAUSEWAY,TERRAIN_COAST
FEATURE_ULURU,TERRAIN_DESERT
FEATURE_ULURU,TERRAIN_DESERT_HILLS
FEATURE_DELICATE_ARCH,TERRAIN_DESERT
FEATURE_DELICATE_ARCH,TERRAIN_DESERT_HILLS
FEATURE_EYE_OF_THE_SAHARA,TERRAIN_DESERT
FEATURE_EYE_OF_THE_SAHARA,TERRAIN_DESERT_HILLS
FEATURE_LAKE_RETBA,TERRAIN_GRASS
FEATURE_LAKE_RETBA,TERRAIN_PLAINS
FEATURE_MATTERHORN,TERRAIN_GRASS_MOUNTAIN
FEATURE_MATTERHORN,TERRAIN_PLAINS_MOUNTAIN
FEATURE_RORAIMA,TERRAIN_GRASS_MOUNTAIN
FEATURE_RORAIMA,TERRAIN_GRASS_HILLS
FEATURE_RORAIMA,TERRAIN_GRASS
FEATURE_RORAIMA,TERRAIN_PLAINS_MOUNTAIN
FEATURE_RORAIMA,TERRAIN_PLAINS_HILLS
FEATURE_RORAIMA,TERRAIN_PLAINS
FEATURE_UBSUNUR_HOLLOW,TERRAIN_TUNDRA
FEATURE_UBSUNUR_HOLLOW,TERRAIN_TUNDRA_HILLS
FEATURE_ZHANGYE_DANXIA,TERRAIN_GRASS_MOUNTAIN
FEATURE_ZHANGYE_DANXIA,TERRAIN_PLAINS_MOUNTAIN
FEATURE_ZHANGYE_DANXIA,TERRAIN_DESERT_MOUNTAIN
FEATURE_ZHANGYE_DANXIA,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_ZHANGYE_DANXIA,TERRAIN_SNOW_MOUNTAIN
FEATURE_REEF,TERRAIN_COAST
FEATURE_CHOCOLATEHILLS,TERRAIN_GRASS
FEATURE_CHOCOLATEHILLS,TERRAIN_GRASS_HILLS
FEATURE_CHOCOLATEHILLS,TERRAIN_GRASS_MOUNTAIN
FEATURE_CHOCOLATEHILLS,TERRAIN_PLAINS
FEATURE_CHOCOLATEHILLS,TERRAIN_PLAINS_HILLS
FEATURE_CHOCOLATEHILLS,TERRAIN_PLAINS_MOUNTAIN
FEATURE_DEVILSTOWER,TERRAIN_GRASS
FEATURE_DEVILSTOWER,TERRAIN_GRASS_HILLS
FEATURE_DEVILSTOWER,TERRAIN_PLAINS
FEATURE_DEVILSTOWER,TERRAIN_PLAINS_HILLS
FEATURE_DEVILSTOWER,TERRAIN_DESERT
FEATURE_DEVILSTOWER,TERRAIN_DESERT_HILLS
FEATURE_DEVILSTOWER,TERRAIN_TUNDRA
FEATURE_DEVILSTOWER,TERRAIN_TUNDRA_HILLS
FEATURE_GOBUSTAN,TERRAIN_PLAINS
FEATURE_GOBUSTAN,TERRAIN_PLAINS_HILLS
FEATURE_GOBUSTAN,TERRAIN_PLAINS_MOUNTAIN
FEATURE_IKKIL,TERRAIN_GRASS
FEATURE_IKKIL,TERRAIN_GRASS_HILLS
FEATURE_IKKIL,TERRAIN_PLAINS
FEATURE_IKKIL,TERRAIN_PLAINS_HILLS
FEATURE_PAMUKKALE,TERRAIN_GRASS
FEATURE_PAMUKKALE,TERRAIN_GRASS_HILLS
FEATURE_PAMUKKALE,TERRAIN_PLAINS
FEATURE_PAMUKKALE,TERRAIN_PLAINS_HILLS
FEATURE_PAMUKKALE,TERRAIN_DESERT
FEATURE_PAMUKKALE,TERRAIN_DESERT_HILLS
FEATURE_VESUVIUS,TERRAIN_PLAINS_MOUNTAIN
FEATURE_VESUVIUS,TERRAIN_GRASS_MOUNTAIN
FEATURE_WHITEDESERT,TERRAIN_DESERT
FEATURE_WHITEDESERT,TERRAIN_DESERT_HILLS
FEATURE_WHITEDESERT,TERRAIN_DESERT_MOUNTAIN
FEATURE_FLOODPLAINS_GRASSLAND,TERRAIN_GRASS
FEATURE_FLOODPLAINS_PLAINS,TERRAIN_PLAINS
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_GRASS
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_GRASS_HILLS
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_PLAINS
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_PLAINS_HILLS
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_DESERT
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_DESERT_HILLS
