FeatureType,Name,Description,Quote,Coast,NoCoast,NoRiver,NoAdjacentFeatures,RequiresRiver,MovementChange,SightThroughModifier,Impassable,NaturalWonder,RemoveTech,Removable,AddCivic,DefenseModifier,AddsFreshWater,Appeal,MinDistanceLand,MaxDistanceLand,NotNearFeature,Lake,Tiles,Adjacent,NoResource,DoubleAdjacentTerrainYield,NotCliff,MinDistanceNW,CustomPlacement,Forest,AntiquityPriority,QuoteAudio,Settlement,FollowRulesInWB,DangerValue
FEATURE_FLOODPLAINS,LOC_FEATURE_FLOODPLAINS_DESERT_NAME,LOC_FEATURE_FLOODPLAINS_DESERT_DESCRIPTION,,0,0,0,0,1,0,0,0,0,,0,,-2,0,-1,0,0,0,0,1,1,0,0,0,-1,,0,1,,1,1,0
FEATURE_ICE,LOC_FEATURE_ICE_NAME,,,0,0,0,0,0,0,0,1,0,,0,,0,0,0,0,0,0,0,1,1,0,0,0,-1,,0,0,,1,1,0
FEATURE_JUNGLE,LOC_FEATURE_JUNGLE_NAME,,,0,0,0,0,0,1,1,0,0,TECH_BRONZE_WORKING,1,,3,0,-1,0,0,0,0,1,1,0,0,0,-1,,1,5,,1,1,0
FEATURE_FOREST,LOC_FEATURE_FOREST_NAME,,,0,0,0,0,0,1,1,0,0,TECH_MINING,1,CIVIC_CONSERVATION,3,0,1,0,0,0,0,1,1,0,0,0,-1,,1,2,,1,1,0
FEATURE_OASIS,LOC_FEATURE_OASIS_NAME,,,0,1,1,1,0,0,0,0,0,,0,,0,1,1,0,0,0,0,1,1,0,0,0,-1,,0,2,,0,1,0
FEATURE_MARSH,LOC_FEATURE_MARSH_NAME,,,0,0,0,0,0,1,0,0,0,TECH_IRRIGATION,1,,-2,0,-1,0,0,0,0,1,1,0,0,0,-1,,0,2,,1,1,0
FEATURE_BARRIER_REEF,LOC_FEATURE_BARRIER_REEF_NAME,LOC_FEATURE_BARRIER_REEF_DESCRIPTION,LOC_FEATURE_BARRIER_REEF_QUOTE,0,0,1,0,0,0,0,0,1,,0,,0,0,2,1,1,0,0,2,1,0,0,0,8,,0,0,PLAY_BARRIER_REEF_QUOTE,0,0,0
FEATURE_CLIFFS_DOVER,LOC_FEATURE_CLIFFS_DOVER_NAME,LOC_FEATURE_CLIFFS_DOVER_XP2_DESCRIPTION,LOC_FEATURE_CLIFFS_DOVER_QUOTE,1,0,1,0,0,0,0,0,1,,0,,0,0,4,0,0,0,0,2,1,0,0,0,8,PLACEMENT_CLIFFS_DOVER,0,0,PLAY_CLIFFS_DOVER_QUOTE,0,0,0
FEATURE_CRATER_LAKE,LOC_FEATURE_CRATER_LAKE_NAME,LOC_FEATURE_CRATER_LAKE_DESCRIPTION,LOC_FEATURE_CRATER_LAKE_QUOTE,0,1,1,0,0,0,0,0,1,,0,,0,1,2,0,0,0,1,1,1,0,0,0,8,,0,0,PLAY_CRATER_LAKE_QUOTE,0,0,0
FEATURE_DEAD_SEA,LOC_FEATURE_DEAD_SEA_NAME,LOC_FEATURE_DEAD_SEA_DESCRIPTION,LOC_FEATURE_DEAD_SEA_QUOTE,0,1,1,1,0,0,0,0,1,,0,,0,0,2,0,0,0,1,2,1,0,0,0,8,,0,0,PLAY_DEAD_SEA_QUOTE,0,0,0
FEATURE_EVEREST,LOC_FEATURE_EVEREST_NAME,LOC_FEATURE_EVEREST_DESCRIPTION,LOC_FEATURE_EVEREST_QUOTE,0,1,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,3,1,0,0,0,8,,0,0,PLAY_EVEREST_QUOTE,0,0,0
FEATURE_GALAPAGOS,LOC_FEATURE_GALAPAGOS_NAME,LOC_FEATURE_GALAPAGOS_DESCRIPTION,LOC_FEATURE_GALAPAGOS_QUOTE,0,0,1,0,0,0,0,1,1,,0,,0,0,2,2,3,0,0,2,1,0,0,0,8,,0,0,PLAY_GALAPAGOS_QUOTE,0,0,0
FEATURE_KILIMANJARO,LOC_FEATURE_KILIMANJARO_NAME,LOC_FEATURE_KILIMANJARO_XP2_DESCRIPTION,LOC_FEATURE_KILIMANJARO_QUOTE,0,1,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,1,1,0,0,0,8,,0,0,PLAY_KILIMANJARO_QUOTE,0,0,0
FEATURE_PANTANAL,LOC_FEATURE_PANTANAL_NAME,LOC_FEATURE_PANTANAL_DESCRIPTION,LOC_FEATURE_PANTANAL_QUOTE,0,1,1,0,0,1,0,0,1,,0,,-2,0,2,0,0,0,0,4,1,0,0,0,8,,0,0,PLAY_PANTANAL_QUOTE,0,0,0
FEATURE_PIOPIOTAHI,LOC_FEATURE_PIOPIOTAHI_NAME,LOC_FEATURE_PIOPIOTAHI_DESCRIPTION,LOC_FEATURE_PIOPIOTAHI_QUOTE,0,0,1,0,0,0,1,1,1,,0,,0,0,2,0,0,0,0,3,1,0,0,0,8,PLACEMENT_PIOPIOTAHI,0,0,PLAY_PIOPIOTAHI_QUOTE,0,0,0
FEATURE_TORRES_DEL_PAINE,LOC_FEATURE_TORRES_DEL_PAINE_NAME,LOC_FEATURE_TORRES_DEL_PAINE_DESCRIPTION,LOC_FEATURE_TORRES_DEL_PAINE_QUOTE,0,1,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,2,1,1,1,0,8,PLACEMENT_TORRES_DEL_PAINE,0,0,PLAY_TORRES_DEL_PAINE_QUOTE,0,0,0
FEATURE_TSINGY,LOC_FEATURE_TSINGY_NAME,LOC_FEATURE_TSINGY_DESCRIPTION,LOC_FEATURE_TSINGY_QUOTE,0,1,1,0,0,0,1,1,1,,0,,0,0,2,0,0,0,0,1,1,0,0,0,8,,0,0,PLAY_TSINGY_QUOTE,0,0,0
FEATURE_YOSEMITE,LOC_FEATURE_YOSEMITE_NAME,LOC_FEATURE_YOSEMITE_XP2_DESCRIPTION,LOC_FEATURE_YOSEMITE_QUOTE,0,1,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,2,1,0,0,0,8,PLACEMENT_YOSEMITE,0,0,PLAY_YOSEMITE_QUOTE,0,0,0
FEATURE_HA_LONG_BAY,LOC_FEATURE_HA_LONG_BAY_NAME,LOC_FEATURE_HA_LONG_BAY_DESCRIPTION,LOC_FEATURE_HA_LONG_BAY_QUOTE,0,0,0,0,0,0,0,0,1,,0,,15,0,2,1,1,0,0,2,1,0,0,0,8,,0,0,PLAY_HA_LONG_BAY_QUOTE,0,0,0
FEATURE_EYJAFJALLAJOKULL,LOC_FEATURE_EYJAFJALLAJOKULL_NAME,LOC_FEATURE_EYJAFJALLAJOKULL_XP2_DESCRIPTION,LOC_FEATURE_EYJAFJALLAJOKULL_QUOTE,0,1,1,0,0,0,2,1,1,,0,,0,0,2,0,0,0,0,2,1,0,0,0,8,PLACEMENT_YOSEMITE,0,0,Play_EYJAFJALLAJOKULL_QUOTE,0,0,0
FEATURE_LYSEFJORDEN,LOC_FEATURE_LYSEFJORDEN_NAME,LOC_FEATURE_LYSEFJORDEN_DESCRIPTION,LOC_FEATURE_LYSEFJORDEN_QUOTE,0,0,1,1,0,0,1,1,1,,0,,0,0,2,0,0,0,0,3,1,0,0,0,8,PLACEMENT_PIOPIOTAHI,0,0,Play_LYSEFJORD_QUOTE,0,0,0
