FeatureType,Volcano,ValidWonderPlacement,ValidDistrictPlacement,Eruptable,ValidForReplacement
FEATURE_EYJAFJALLAJOKULL,1,0,0,0,0
FEATURE_VESUVIUS,1,0,0,0,0
FEATURE_KILIMANJARO,1,0,0,0,0
FEATURE_FLOODPLAINS,0,1,1,0,1
FEATURE_FLOODPLAINS_GRASSLAND,0,1,1,0,1
FEATURE_FLOODPLAINS_PLAINS,0,1,1,0,1
FEATURE_VOLCANO,1,0,0,0,0
FEATURE_VOLCANIC_SOIL,0,1,1,1,1
FEATURE_JUNGLE,0,0,0,0,1
FEATURE_FOREST,0,0,0,0,1
FEATURE_OASIS,0,0,0,0,1
FEATURE_MARSH,0,0,0,0,1
FEATURE_BURNING_FOREST,0,0,0,0,1
FEATURE_BURNT_FOREST,0,0,0,0,1
FEATURE_BURNING_JUNGLE,0,0,0,0,1
FEATURE_BURNT_JUNGLE,0,0,0,0,1
