ID,GameCapability,DependsOnCapability
1,CAPABILITY_CIVICS,CAPABILITY_CULTURE
2,CAPABILITY_CIVICS_CHOOSER,CAPABILITY_CIVICS
3,CAPABILITY_CIVICS_TREE,CAPABILITY_CIVICS
4,CAPABILITY_TECHNOLOGIES,CAPABILITY_SCIENCE
5,CAPABILITY_TECH_CHOOSER,CAPABILITY_TECHNOLOGIES
6,CAPABILITY_TECH_TREE,CAPABILITY_TECHNOLOGIES
7,CAPABILITY_CULTURE_BORDER_GROWTH,CAPABILITY_CULTURE
8,CAPABILITY_TRADE_VIEW,CAPABILITY_TRADE
9,CAPABILITY_DIPLOMACY_DEALS,CAPABILITY_DIPLOMACY
10,CAPABILITY_FOUND_PANTHEONS,CAPABILITY_RELIGION
11,CAPABILITY_FOUND_RELIGIONS,CAPABILITY_RELIGION
12,CAPABILITY_RELIGION_VIEW,CAPABILITY_RELIGION
13,CAPABILITY_GOVERNMENTS_VIEW,CAPABILITY_GOVERNMENTS
15,CAPABILITY_NEW_GREAT_WORKS,CAPABILITY_GREAT_WORKS
16,CAPABILITY_GREAT_WORKS_VIEW,CAPABILITY_GREAT_WORKS
17,CAPABILITY_GREAT_PEOPLE_CAN_RECRUIT,CAPABILITY_GREAT_PEOPLE
18,CAPABILITY_GREAT_PEOPLE_RECRUIT_WITH_GOLD,CAPABILITY_GREAT_PEOPLE
19,CAPABILITY_GREAT_PEOPLE_RECRUIT_WITH_GOLD,CAPABILITY_GOLD
20,CAPABILITY_GREAT_PEOPLE_RECRUIT_WITH_FAITH,CAPABILITY_GREAT_PEOPLE
21,CAPABILITY_GREAT_PEOPLE_RECRUIT_WITH_FAITH,CAPABILITY_FAITH
22,CAPABILITY_GREAT_PEOPLE_CAN_REJECT,CAPABILITY_GREAT_PEOPLE
23,CAPABILITY_GREAT_PEOPLE_VIEW,CAPABILITY_GREAT_PEOPLE
24,CAPABILITY_NEW_ESPIONAGE,CAPABILITY_ESPIONAGE
25,CAPABILITY_ESPIONAGE_VIEW,CAPABILITY_ESPIONAGE
26,CAPABILITY_LENS_RELIGION,CAPABILITY_RELIGION
27,CAPABILITY_LENS_GOVERNMENT,CAPABILITY_GOVERNMENTS
28,CAPABILITY_LENS_TOURISM,CAPABILITY_TOURISM
29,CAPABILITY_GOLDEN_AND_DARK_AGES,CAPABILITY_ERAS
30,CAPABILITY_HISTORIC_MOMENTS,CAPABILITY_ERAS
31,CAPABILITY_CITY_HUD_AMENITIES_CIVICS,CAPABILITY_CIVICS
32,CAPABILITY_CITY_HUD_AMENITIES_CIVICS,CAPABILITY_AMENITIES
33,CAPABILITY_CITY_HUD_AMENITIES_RELIGION,CAPABILITY_RELIGION
34,CAPABILITY_CITY_HUD_AMENITIES_RELIGION,CAPABILITY_AMENITIES
35,CAPABILITY_CITY_HUD_AMENITIES_GREAT_PEOPLE,CAPABILITY_GREAT_PEOPLE
36,CAPABILITY_CITY_HUD_AMENITIES_GREAT_PEOPLE,CAPABILITY_AMENITIES
37,CAPABILITY_CITY_HUD_AMENITIES_NATIONAL_PARKS,CAPABILITY_AMENITIES
38,CAPABILITY_CITY_HUD_AMENITIES_CITY_STATES,CAPABILITY_AMENITIES
39,CAPABILITY_CITY_HUD_AMENITIES_WAR_WEARINESS,CAPABILITY_AMENITIES
40,CAPABILITY_CITY_HUD_AMENITIES_BANKRUPTCY,CAPABILITY_AMENITIES
41,CAPABILITY_CITY_HUD_HOUSING_GREAT_PEOPLE,CAPABILITY_GREAT_PEOPLE
42,CAPABILITY_CITY_HUD_RELIGION_TAB,CAPABILITY_RELIGION
43,CAPABILITY_CITY_HUD_TRADING_POSTS,CAPABILITY_TRADE
44,CAPABILITY_FAITH_PURCHASE,CAPABILITY_FAITH
45,CAPABILITY_WORLD_CLIMATE_VIEW,CAPABILITY_WORLD_CLIMATE
