Type,Name,CommonName,Description,ArgumentType,DefaultValue,Required,MinValue,MaxValue,DatabaseKind
EFFECT_ADJUST_PLAYER_FREE_GREAT_PERSON_POINTS,Amount,,,int,,1,,,
EFFECT_ADJUST_FULL_ACCESS_ONE_STRATEGIC,Access,,,bool,,0,,,
EFFECT_ADJUST_PLAYER_TOURISM,Amount,,,int,,1,,,
EFFECT_ADJUST_PLOT_YIELD,YieldType,,One or more yield types separated by a comma.,database,,1,,,KIND_YIELD
EFFECT_ADJUST_PLOT_YIELD,Amount,,The amount of yield change.  Must be either a single value or multiple to match each yield type.,int,,1,,,
EFFECT_ADJUST_GREAT_PEOPLE_POINTS_PER_KILL,Amount,,,int,,0,,,
EFFECT_ADJUST_GREAT_PEOPLE_POINTS_PER_KILL,GreatPersonClassType,,,database,,1,,,KIND_GREAT_PERSON_CLASS
EFFECT_ADJUST_UNIT_IGNORE_RESOURCE_MAINTENANCE,Ignore,,"When set to true, the unit no longer accrues resource maintenance.",bool,false,0,,,
EFFECT_ADJUST_UNIT_WMD_PROTECTION,Blast,,The integer percent value of resistance to damage from a WMD blast.,int,,0,,,
EFFECT_ADJUST_UNIT_WMD_PROTECTION,Fallout,,The integer percent value of resistance to damage from WMD fallout.,int,,0,,,
EFFECT_ADJUST_UNIT_WATER_DAMAGE_PROTECTION,WaterDamage,,The integer percent value of resistance to damage from water,int,,0,,,
EFFECT_ATTACH_MODIFIER,ModifierId,,,text,,1,,,
EFFECT_ADJUST_BUILDING_FEATURE_YIELD_CHANGE,Amount,,,int,,1,,,
EFFECT_ADJUST_BUILDING_FEATURE_YIELD_CHANGE,FeatureType,,,database,,1,,,KIND_FEATURE
EFFECT_ADJUST_BUILDING_FEATURE_YIELD_CHANGE,YieldType,,,database,,1,,,KIND_YIELD
EFFECT_CITY_GRANT_HERO,HeroClassType,,The Hero Class to grant.,database,,1,,,KIND_HEROCLASS
EFFECT_CITY_GRANT_HERO,LocationBuildingType,,The Building in the city that the Hero will spawn at and be linked with.,database,,1,,,KIND_BUILDING
EFFECT_CITY_GRANT_RANDOM_RESOURCE_PRODUCT,ResourceType,,The type of Resource the product is made from.,text,,1,,,
EFFECT_DIPLOMACY_AGENDA_OPPORTUNIST,RecentSurpriseWarBonus,,,int,15,0,,,
EFFECT_DIPLOMACY_AGENDA_OPPORTUNIST,SurpriseWarDegradeTurns,,,int,3,0,,,
EFFECT_DIPLOMACY_AGENDA_OPPORTUNIST,EachSurpriseWarBonus,,,int,1,0,,,
EFFECT_DIPLOMACY_AGENDA_OPPORTUNIST,NeverSurpriseWarPenalty,,,int,-6,0,,,
EFFECT_GRANT_INFLUENCE_TOKEN,Amount,,,int,,1,,,
EFFECT_GRANT_PROMOTION,PromotionType,,,database,,1,,,KIND_UNITPROMOTION
EFFECT_GRANT_RANDOM_CIVIC_BOOST_BY_ERA,Amount,,,int,,1,,,
EFFECT_GRANT_RANDOM_CIVIC_BOOST_BY_ERA,StartEraType,,,database,,1,,,KIND_ERA
EFFECT_GRANT_RANDOM_CIVIC_BOOST_BY_ERA,EndEraType,,,database,,1,,,KIND_ERA
EFFECT_GRANT_RANDOM_TECHNOLOGY_BOOST_BY_ERA,Amount,,,int,,1,,,
EFFECT_GRANT_RANDOM_TECHNOLOGY_BOOST_BY_ERA,StartEraType,,,database,,1,,,KIND_ERA
EFFECT_GRANT_RANDOM_TECHNOLOGY_BOOST_BY_ERA,EndEraType,,,database,,1,,,KIND_ERA
EFFECT_GRANT_RELIC,Amount,,,int,,1,,,
EFFECT_GRANT_SPY,Amount,,,int,,1,,,
EFFECT_GRANT_UNIT_IN_EACH_DISTRICT,IgnoreDefensible,,,bool,True,0,,,
EFFECT_GRANT_UNIT_IN_EACH_DISTRICT,UnitType,,,database,,1,,,KIND_UNIT
EFFECT_GRANT_UNIT_IN_EACH_DISTRICT,UniqueOverride,,Whether or not to override with unique units,bool,False,0,,,
EFFECT_GRANT_UNIT_TYPE_UNLIMITED_PROMOTION_CHOICES,UnitType,,,database,,1,,,KIND_UNIT
EFFECT_GRANT_UNIT_WITH_EXPERIENCE,Experience,,,int,,1,,,
EFFECT_GRANT_UNIT_WITH_EXPERIENCE,UnitType,,,database,,1,,,KIND_UNIT
EFFECT_GRANT_UNIT_WITH_EXPERIENCE,UniqueOverride,,Whether or not to override with unique units,bool,False,0,,,
EFFECT_ADJUST_NATURAL_WONDER_RELIC,Amount,,,int,,1,,,
EFFECT_ADJUST_PLAYER_FEAUTE_REQUIRED_FOR_SPECIALTY_DISTRICTS,FeatureType,,,database,,1,,,KIND_FEATURE
EFFECT_PLAYER_DISCOVER_HERO,HeroClassType,,The Hero Class to grant.,database,,1,,,KIND_HEROCLASS
EFFECT_ADJUST_PLAYER_DISTRICT_AND_BUILDINGS_CREATE_UNIT_WITH_ABILITY_BY_CLASS,DistrictType,,,,,1,,,
EFFECT_ADJUST_PLAYER_DISTRICT_AND_BUILDINGS_CREATE_UNIT_WITH_ABILITY_BY_CLASS,UnitPromotionClass,,,,,1,,,
EFFECT_ADJUST_PLAYER_DISTRICT_AND_BUILDINGS_CREATE_UNIT_WITH_ABILITY_BY_CLASS,UnitAbilityType,,,,,0,,,
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_UNIT,DistrictType,,,database,,1,,,KIND_DISTRICT
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_UNIT,UnitType,,,database,,1,,,KIND_UNIT
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_YIELD,Amount,,,,,1,,,
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_YIELD,YieldType,,,,,1,,,
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_YIELD,DistrictType,,,,,0,,,
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_YIELD,YieldBasedOnAppeal,,,,,0,,,
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_YIELD,MustReplaceImprovement,,,,,0,,,
EFFECT_ADJUST_PLAYER_DISTRICT_CREATE_YIELD,ImprovementType,,,,,0,,,
EFFECT_TREAT_CAPITAL_AS_HOLY_CITY,Value,,,bool,,1,,,
EFFECT_TRIGGER_GAME_MECHANIC,MechanicName,,,text,,1,,,
EFFECT_ADJUST_GOVERNOR_IDENTITY_PRESSURE,Amount,,The delta amount of pressure to modify the strength.,int,,0,,,
EFFECT_ADJUST_GOVERNOR_IDENTITY_PRESSURE,DomesticCities,,"If true, the effect will apply the value to the Governor's external domestic pressure.",bool,false,0,,,
EFFECT_ADJUST_GOVERNOR_IDENTITY_PRESSURE,ForeignCities,,"If true, the effect will apply only once per",bool,false,0,,,
EFFECT_ADJUST_PLAYER_POST_COMBAT_LOYALTY,Amount,,The delta amount to change the city's current Loyalty,int,,0,,,
EFFECT_ADJUST_PLAYER_POST_COMBAT_LOYALTY,AffectLocal,,"If true, the effect will apply to the victor's city, if false it will apply to the enemy's city",bool,true,0,,,
EFFECT_ADJUST_PLAYER_POST_COMBAT_LOYALTY,AdditionalGoldenAge,,Adds an additional amount against targets in a golden age,int,,0,,,
EFFECT_ADJUST_PLAYER_POST_PILLAGE_LOYALTY,Amount,,The delta amount to change the city's current Loyalty,int,,0,,,
EFFECT_ADJUST_PLAYER_POST_PILLAGE_LOYALTY,AffectLocal,,"If true, the effect will apply to the victor's city, if false it will apply to the enemy's city",bool,true,0,,,
EFFECT_ADJUST_PLAYER_TOURISM_FROM_NATIONAL_PARKS,Amount,,,int,,1,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_CHANGE,Amount,,,int,,1,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_CHANGE,AffectDestination,,,bool,false,0,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_CHANGE,AffectOrigin,,,bool,false,0,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_CHANGE,YieldType,,,database,,1,,,KIND_YIELD
