Type,CommonName,Description,Tags,GameCapabilities,ContextInterfaces,SubjectInterfaces,SupportsRemove
COLLECTION_OWNER,,,,,,,
COLLECTION_ALL_ARTIFACT_EXTRACTIONS,,,,,,,
COLLECTION_ALL_CAPITAL_CITIES,,,,,,,
COLLECTION_ALL_CAPTURED_CITIES,,,,,,,
COLLECTION_ALL_PLAYERS,,,,,,,
COLLECTION_ALL_PLOT_YIELDS,AllPlotYields,A collection of all plot yield objects.,,,{8C5F89F4-5CF8-4DED-A5C4-DCBC1C2F514B},{0F636A11-F075-48F6-8B64-54CE8110919C},
COLLECTION_ALL_TEAMS,,,,,,,
COLLECTION_ALL_UNIT_DEATHS,,,,,,,
COLLECTION_ALL_UNITS,,,,,,,
COLLECTION_CITY_PLOT_YIELDS,,,,,,,
COLLECTION_COMBAT_RESULTS,CombatResults,A collection of all combat results.,,,{8C5F89F4-5CF8-4DED-A5C4-DCBC1C2F514B},{6258686F-6965-486D-8655-B29CB7906326},
COLLECTION_MAJOR_OPPOSING_PLAYERS,,A collection of all major players EXCEPT those in the owner's team.,,,{211EBD46-7DBA-4F44-83D8-2CE4C700D569},{3BCA4C49-F422-44AE-8A10-857B3ECEFD3A},
COLLECTION_MAJOR_OPPOSING_TEAMS,,A collection of all teams containing major players EXCEPT the owner team.,,,{211EBD46-7DBA-4F44-83D8-2CE4C700D569},{211EBD46-7DBA-4F44-83D8-2CE4C700D569},
COLLECTION_MAJOR_PLAYERS,,,,,,,
COLLECTION_MAJOR_TEAMS,,,,,,,
COLLECTION_OWNER_CITY,,A city object that is inferred from the owner rather than the owner itself.  Useful when stacking limitations are necessary.,,,{DE7BB784-1E7F-4245-95D5-517202F0CB64},,
COLLECTION_OWNER_PLAYER,,A player object that is inferred from the owner rather than the owner itself.  Useful when stacking limitations are necessary.,,,{3BCA4C49-F422-44AE-8A10-857B3ECEFD3A},,
COLLECTION_OWNER_UNIT,,A unit object that is inferred from the owner rather than the owner itself.  Useful when stacking limitations are necessary.,,,{B3DF7354-0054-4FA5-9423-324C7704DA9F},,
COLLECTION_PLAYER_CAPITAL_CITY,,,,,,,
COLLECTION_PLAYER_COMBAT,,,,,,,
COLLECTION_PLAYER_IMPROVEMENTS,,,,,,,
COLLECTION_PLAYER_PLOT_YIELDS,,,,,,,
COLLECTION_PLAYER_UNITS,,,,,,,
COLLECTION_SINGLE_PLOT_YIELDS,,,,,,,
COLLECTION_TEAM_CAPITAL_CITIES,,,,,,,
COLLECTION_TEAM_CAPTURED_CITIES,,,,,,,
COLLECTION_TEAM_PLAYERS,,,,,,,
COLLECTION_TEAM_UNITS,,,,,,,
COLLECTION_UNIT_COMBAT,,,,,,,
COLLECTION_ALL_CITIES,,,,,,,
COLLECTION_ALL_DISTRICTS,,,,,,,
COLLECTION_ALLIANCE_CITIES,,,,,,,
COLLECTION_ALLIANCE_COMBATS,,,,,,,
COLLECTION_ALLIANCE_DISTRICTS,,,,,,,
COLLECTION_ALLIANCE_PLAYERS,,,,,,,
COLLECTION_ALLIANCE_TRADEROUTES,,,,,,,
COLLECTION_ALLIANCE_TRAINED_UNITS,,,,,,,
COLLECTION_ALLIANCE_UNITS,,,,,,,
COLLECTION_CITY_DISTRICTS,,,,,,,
COLLECTION_CITY_TRAINED_UNITS,,,,,,,
COLLECTION_EMERGENCY_CAPITAL_CITIES,,,,,,,
COLLECTION_EMERGENCY_CITIES,,,,,,,
COLLECTION_EMERGENCY_COMBATS,,,,,,,
COLLECTION_EMERGENCY_DISTRICTS,,,,,,,
COLLECTION_EMERGENCY_PLAYERS,,,,,,,
COLLECTION_EMERGENCY_TRADE_ROUTES,,,,,,,
COLLECTION_EMERGENCY_UNITS,,,,,,,
COLLECTION_PLAYER_ALLIANCES,,,,,,,
COLLECTION_PLAYER_BUILT_CITIES,,,,,,,
COLLECTION_PLAYER_CAPTURED_CITIES,,,,,,,
COLLECTION_PLAYER_CITIES,,,,,,,
COLLECTION_PLAYER_CITY_STATE_UNITS,,,,,,,
COLLECTION_PLAYER_DISTRICTS,,,,,,,
COLLECTION_PLAYER_GOVERNORS,,,,,,,
COLLECTION_PLAYER_TRAINED_UNITS,,,,,,,
COLLECTION_PLAYER_COMBAT_RESULTS,CombatResults,A collection of all combat results.,,,{8C5F89F4-5CF8-4DED-A5C4-DCBC1C2F514B},{6258686F-6965-486D-8655-B29CB7906326},
COLLECTION_TEAM_CITIES,,,,,,,
COLLECTION_TEAM_DISTRICTS,,,,,,,
COLLECTION_UNIT_NEAREST_OWNER_CITY,,,,,,,
EFFECT_DO_NOTHING,,,,,,,
EFFECT_ADJUST_CITY_HIT_POINTS,,,,,,,
EFFECT_ADD_BELIEF,AddBelief,Awards an extra belief to a player's religion,,CAPABILITY_RELIGION,,{3BCA4C49-F422-44AE-8A10-857B3ECEFD3A},
EFFECT_ADD_CULTURE_BOMB_TRIGGER,,,,,,,
EFFECT_ADD_DIPLO_VISIBILITY,,,,,,,
EFFECT_ADD_EXPENDED_GREAT_PERSON_TILES,,,,,,,
EFFECT_ADD_PLAYER_BELIEF_YIELD,,,,,,,
EFFECT_ADD_PLAYER_PROJECT_AVAILABILITY,,,,,,,
EFFECT_ADD_RELIGIOUS_BELIEF_YIELD,,,,,,,
EFFECT_ADD_RELIGIOUS_BUILDING,,,,,,,
EFFECT_ADD_RELIGIOUS_BUILDING_MULTIPLIER,,,,,,,
EFFECT_ADD_RELIGIOUS_UNIT,,,,,,,
EFFECT_ADJUST_ACTIVE_BUILDING_PRODUCTION,,,,,,,
EFFECT_ADJUST_ADD_AMENITY_PER_ADJACENT_LUXURY,,,,,,,
EFFECT_ADJUST_ALL_DISTRICT_PRODUCTION_MODIFIER,,,,,,,
EFFECT_ADJUST_ALL_DISTRICTS_PRODUCTION,,,,,,,
EFFECT_ADJUST_ALL_PROJECTS_PRODUCTION,,,,,,,
EFFECT_ADJUST_CITY_CULTURE_BORDER_EXPANSION,,,,,,,
EFFECT_ADJUST_BUILDING_HOUSING,,,,,,,
EFFECT_ADJUST_BUILDING_PRODUCTION,,,,,,,
EFFECT_ADJUST_BUILDING_PURCHASE_COST,,,,,,,
EFFECT_ADJUST_BUILDING_SPREAD_CHARGES,,,,,,,
EFFECT_ADJUST_BUILDING_YIELD_MODIFIER,,,,,,,
EFFECT_ADJUST_CITIES_FRESHWATER_HOUSING_BONUS,,,,,,,
EFFECT_ADJUST_CITIES_HAS_URBAN_DEFENSES,,,,,,,
EFFECT_ADJUST_CITY_ALL_MILITARY_UNITS_PRODUCTION,,,,,,,
EFFECT_ADJUST_CITY_AMENITIES_FROM_CITY_STATES,,,,,,,
EFFECT_ADJUST_CITY_AMENITIES_FROM_GREAT_PEOPLE,,,,,,,
EFFECT_ADJUST_CITY_AMENITIES_FROM_RELIGION,,,,,,,
EFFECT_ADJUST_CITY_APPEAL,,,,,,,
EFFECT_ADJUST_CITY_CORPS_ARMY_PRODUCTION,,,,,,,
EFFECT_ADJUST_CITY_ENTERTAINMENT_FROM_WONDER_ADJACENT_TO_LAKE,,,,,,,
EFFECT_ADJUST_CITY_EXTRA_DISTRICTS,,,,,,,
EFFECT_ADJUST_CITY_GREATWORK_YIELD,,,,,,,
EFFECT_ADJUST_CITY_GROWTH,,,,,,,
EFFECT_ADJUST_CITY_HAPPINESS_GREAT_PERSON,,,,,,,
EFFECT_ADJUST_CITY_HAPPINESS_YIELD,,,,,,,
EFFECT_ADJUST_CITY_HOUSING_FROM_GREAT_PEOPLE,,,,,,,
EFFECT_ADJUST_CITY_HOUSING_FROM_GREAT_WORKS,,,,,,,
EFFECT_ADJUST_CITY_INNER_DEFENSE,,,,,,,
EFFECT_ADJUST_CITY_OUTER_DEFENSE,,,,,,,
EFFECT_ADJUST_CITY_POPULATION,,,,,,,
EFFECT_ADJUST_CITY_PRODUCTION_BUILDING,,,,,,,
EFFECT_ADJUST_CITY_PRODUCTION_DISTRICT,,,,,,,
EFFECT_ADJUST_CITY_PRODUCTION_UNIT,,,,,,,
EFFECT_ADJUST_CITY_PROPERTY,,,,,,,
EFFECT_ADJUST_CITY_RANGED_STRIKE,,,,,,,
EFFECT_ADJUST_CITY_RELIGION_EXTRA_PROMOTIONS,,,,,,,
EFFECT_ADJUST_CITY_RELIGION_ON_CAPTURE,,,,,,,
EFFECT_ADJUST_CITY_SPY_BONUS,,,,,,,
EFFECT_ADJUST_CITY_STATE_TRADE_ROUTE_DISTRICT_YIELD,,,,,,,
EFFECT_ADJUST_CITY_STATE_TRADE_ROUTE_FLAT_YIELD,,,,,,,
EFFECT_ADJUST_CITY_TOURISM_LATE_ERAS,,,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_FOR_DOMESTIC,,,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_FOR_INTERNATIONAL,,,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_LUXURY_RESOURCE_FOR_INTERNATIONAL,,,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_RESOURCE_FOR_DOMESTIC,,,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_RESOURCE_FOR_INTERNATIONAL,,,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_BONUS_RESOURCE_FOR_DOMESTIC,,,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_BONUS_RESOURCE_FOR_INTERNATIONAL,,,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_LUXURY_RESOURCE_FOR_INTERNATIONAL,,,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_STRATEGIC_RESOURCE_FOR_INTERNATIONAL,,,,,,,
EFFECT_ADJUST_CITY_YIELD_CHANGE,,,,,,,
EFFECT_ADJUST_CITY_YIELD_FROM_FOREIGN_TRADE_ROUTES_PASSING_THROUGH,,,,,,,
EFFECT_ADJUST_CITY_YIELD_MODIFIER,,,,,,,
EFFECT_ADJUST_CITY_YIELD_MODIFIER_FROM_FAITH,,,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_DISTRICT,,,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_MAJOR_TRADE_PARTNER,,,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_TERRAIN_TYPE,,,,,,,
EFFECT_ADJUST_CIVIC_BOOST,,,,,,,
EFFECT_ADJUST_CORPS_ARMY_PREREQ,,,,,,,
EFFECT_ADJUST_CULTURE_BOMB_CONVERTS_CITY,,,,,,,
EFFECT_ADJUST_DIPLOMATIC_ACTION_PREFERENCE,,,,,,,
EFFECT_ADJUST_PLAYER_DISTRICT_AIR_SLOTS,,,,,,,
EFFECT_ADJUST_DISTRICT_AMENITY,,,,,,,
EFFECT_ADJUST_DISTRICT_BASE_YIELD_CHANGE,,,,,,,
EFFECT_ADJUST_DISTRICT_EXTRA_ENTERTAINMENT,,,,,,,
EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_ENTERTAINMENT,,,,,,,
EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_RANGE,,,,,,,
EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_YIELD,,,,,,,
EFFECT_ADJUST_DISTRICT_HOUSING,,,,,,,
EFFECT_ADJUST_DISTRICT_PRODUCTION,,,,,,,
EFFECT_ADJUST_DISTRICT_PROPERTY,,,,,,,
EFFECT_ADJUST_DISTRICT_TOURISM_ADJACENCY_YIELD_MOFIFIER,,,,,,,
EFFECT_ADJUST_DISTRICT_TOURISM_CHANGE,,,,,,,
EFFECT_ADJUST_DISTRICT_WITHIN_ONE_HEX_ESPIONAGE_DEFENSE_BONUS,,,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_ADJACENCY_BONUS,,,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_CHANGE,,,,,,,
