GameSpeedType,MonthIncrement,TurnsPerIncrement
GAMESPEED_MARATHON,180,100
GAMESPEED_MARATHON,120,300
GAMESPEED_MARATHON,60,170
GAMESPEED_MARATHON,24,201
GAMESPEED_MARATHON,12,129
GAMESPEED_MARATHON,6,180
GAMESPEED_MARATHON,3,264
GAMESPEED_MARATHON,1,156
GAMESPEED_EPIC,300,140
GAMESPEED_EPIC,180,90
GAMESPEED_EPIC,120,40
GAMESPEED_EPIC,60,90
GAMESPEED_EPIC,24,70
GAMESPEED_EPIC,12,100
GAMESPEED_EPIC,6,220
GAMESPEED_STANDARD,480,75
GAMESPEED_STANDARD,300,60
GAMESPEED_STANDARD,240,25
GAMESPEED_STANDARD,120,50
GAMESPEED_STANDARD,60,60
GAMESPEED_STANDARD,24,50
GAMESPEED_STANDARD,12,120
GAMESPEED_STANDARD,6,60
GAMESPEED_QUICK,720,50
GAMESPEED_QUICK,480,30
GAMESPEED_QUICK,360,20
GAMESPEED_QUICK,240,30
GAMESPEED_QUICK,120,25
GAMESPEED_QUICK,60,40
GAMESPEED_QUICK,24,65
GAMESPEED_QUICK,12,70
GAMESPEED_ONLINE,960,35
GAMESPEED_ONLINE,600,30
GAMESPEED_ONLINE,480,20
GAMESPEED_ONLINE,240,20
GAMESPEED_ONLINE,120,30
GAMESPEED_ONLINE,48,25
GAMESPEED_ONLINE,24,60
GAMESPEED_ONLINE,12,30
