GoodyHut,SubTypeGoodyHut,Description,Weight,ModifierID,UpgradeUnit,Turn,Experience,Heal,Relic,Trader,MinOneCity,RequiresUnit
GOODYHUT_CULTURE,GOODYHUT_ONE_RELIC,LOC_GOODYHUT_CULTURE_RELIC_DESCRIPTION,15,GOODY_CULTURE_GRANT_ONE_RELIC,0,0,0,0,1,0,1,0
GOODYHUT_CULTURE,GOODYHUT_TWO_CIVIC_BOOSTS,,30,GOODY_CULTURE_GRANT_TWO_CIVIC_BOOSTS,0,30,0,0,0,0,0,0
GOODYHUT_CULTURE,GOODYHUT_ONE_CIVIC_BOOST,,55,GOODY_CULTURE_GRANT_ONE_CIVIC_BOOST,0,0,0,0,0,0,0,0
GOODYHUT_GOLD,GOODYHUT_LARGE_GOLD,LOC_GOODYHUT_LARGE_GOLD_DESCRIPTION,15,GOODY_GOLD_LARGE_MODIFIER,0,40,0,0,0,0,1,0
GOODYHUT_GOLD,GOODYHUT_MEDIUM_GOLD,LOC_GOODYHUT_MEDIUM_GOLD_DESCRIPTION,30,GOODY_GOLD_MEDIUM_MODIFIER,0,20,0,0,0,0,1,0
GOODYHUT_GOLD,GOODYHUT_SMALL_GOLD,LOC_GOODYHUT_SMALL_GOLD_DESCRIPTION,55,GOODY_GOLD_SMALL_MODIFIER,0,0,0,0,0,0,1,0
GOODYHUT_FAITH,GOODYHUT_LARGE_FAITH,LOC_GOODYHUT_LARGE_FAITH_DESCRIPTION,15,GOODY_FAITH_LARGE_MODIFIER,0,60,0,0,0,0,1,0
GOODYHUT_FAITH,GOODYHUT_MEDIUM_FAITH,LOC_GOODYHUT_MEDIUM_FAITH_DESCRIPTION,30,GOODY_FAITH_MEDIUM_MODIFIER,0,40,0,0,0,0,1,0
GOODYHUT_FAITH,GOODYHUT_SMALL_FAITH,LOC_GOODYHUT_SMALL_FAITH_DESCRIPTION,55,GOODY_FAITH_SMALL_MODIFIER,0,20,0,0,0,0,1,0
GOODYHUT_MILITARY,GOODYHUT_GRANT_SCOUT,LOC_GOODYHUT_MILITARY_GRANT_UNIT_DESCRIPTION,35,GOODY_MILITARY_GRANT_SCOUT,0,0,0,0,0,0,1,1
GOODYHUT_MILITARY,GOODYHUT_GRANT_UPGRADE,LOC_GOODYHUT_MILITARY_GRANT_UPGRADE_DESCRIPTION,0,GOODY_MILITARY_GRANT_UPGRADE,1,0,0,0,0,0,0,1
GOODYHUT_MILITARY,GOODYHUT_GRANT_EXPERIENCE,LOC_GOODYHUT_MILITARY_GRANT_EXPERIENCE_DESCRIPTION,20,GOODY_MILITARY_GRANT_EXPERIENCE,0,0,1,0,0,0,0,1
GOODYHUT_MILITARY,GOODYHUT_HEAL,LOC_GOODYHUT_MILITARY_HEAL_DESCRIPTION,25,GOODY_MILITARY_HEAL,0,0,0,4,0,0,0,1
GOODYHUT_SCIENCE,GOODYHUT_ONE_TECH,LOC_GOODYHUT_SCIENCE_ONE_TECH_DESCRIPTION,15,GOODY_SCIENCE_GRANT_ONE_TECH,0,50,0,0,0,0,1,0
GOODYHUT_SCIENCE,GOODYHUT_TWO_TECH_BOOSTS,,30,GOODY_SCIENCE_GRANT_TWO_TECH_BOOSTS,0,30,0,0,0,0,0,0
GOODYHUT_SCIENCE,GOODYHUT_ONE_TECH_BOOST,,55,GOODY_SCIENCE_GRANT_ONE_TECH_BOOST,0,0,0,0,0,0,0,0
GOODYHUT_SURVIVORS,GOODYHUT_ADD_POP,LOC_GOODYHUT_SURVIVORS_ADD_POP_DESCRIPTION,40,GOODY_SURVIVORS_ADD_POPULATION,0,0,0,0,0,0,1,1
GOODYHUT_SURVIVORS,GOODYHUT_GRANT_BUILDER,LOC_GOODYHUT_SURVIVORS_GRANT_UNIT_DESCRIPTION,35,GOODY_SURVIVORS_GRANT_BUILDER,0,0,0,0,0,0,1,1
GOODYHUT_SURVIVORS,GOODYHUT_GRANT_TRADER,LOC_GOODYHUT_SURVIVORS_GRANT_UNIT_DESCRIPTION,25,GOODY_SURVIVORS_GRANT_TRADER,0,15,0,0,0,1,1,1
GOODYHUT_SURVIVORS,GOODYHUT_GRANT_SETTLER,LOC_GOODYHUT_SURVIVORS_GRANT_UNIT_DESCRIPTION,0,GOODY_SURVIVORS_GRANT_SETTLER,0,0,0,0,0,0,1,1
GOODYHUT_DIPLOMACY,GOODYHUT_GOVERNOR_TITLE,LOC_GOODYHUT_DIPLOMACY_GOVERNOR_TITLE_DESCRIPTION,15,GOODY_DIPLOMACY_GRANT_GOVERNOR_TITLE,0,30,0,0,0,0,0,0
GOODYHUT_DIPLOMACY,GOODYHUT_ENVOY,LOC_GOODYHUT_DIPLOMACY_ENVOY_DESCRIPTION,40,GOODY_DIPLOMACY_GRANT_ENVOY,0,0,0,0,0,0,0,0
GOODYHUT_DIPLOMACY,GOODYHUT_FAVOR,LOC_GOODYHUT_DIPLOMACY_FAVOR_DESCRIPTION,45,GOODY_DIPLOMACY_GRANT_FAVOR,0,30,0,0,0,0,0,0
GOODYHUT_MILITARY,GOODYHUT_RESOURCES,LOC_GOODYHUT_MILITARY_RESOURCES_DESCRIPTION,20,GOODY_MILITARY_ADJUST_STRATEGIC_RESOURCES,0,0,0,0,0,0,0,0
METEOR_GOODIES,METEOR_GRANT_GOODIES,LOC_METEOR_GOODIES_GRANT_UNIT_DESCRIPTION,100,GOODY_METEOR_FREE_UNIT,0,0,0,0,0,0,0,0
