GossipType,VisibilityLevel,Description,Message,Filter,ErasUntilObsolete,LevelRequired,GroupType
GOSSIP_CONQUER_CITY,0,LOC_GOSSIPDESC_CONQUER_CITY,LOC_GOSSIP_CONQUER_CITY,1,0,0,MILITARY
GOSSIP_CREATE_PANTHEON,0,,LOC_GOSSIP_CREATE_PANTHEON,0,0,0,RELIGION
GOSSIP_FOUND_RELIGION,0,LOC_GOSSIPDESC_FOUND_RELIGION,LOC_GOSSIP_FOUND_RELIGION,0,0,0,RELIGION
GOSSIP_MAKE_DOW,0,LOC_GOSSIPDESC_MAKE_DOW,LOC_GOSSIP_MAKE_DOW,0,0,0,MILITARY
GOSSIP_RECEIVE_DOW,0,,LOC_GOSSIP_RECEIVE_DOW,1,0,0,MILITARY
GOSSIP_WMD_BUILT,4,LOC_GOSSIPDESC_WMD_BUILT,LOC_GOSSIP_WMD_BUILT,0,0,0,MILITARY
GOSSIP_WMD_STRIKE,0,LOC_GOSSIPDESC_WMD_STRIKE,LOC_GOSSIP_WMD_STRIKE,0,0,0,MILITARY
GOSSIP_SPACE_RACE_PROJECT_COMPLETED,0,LOC_GOSSIPDESC_SPACE_RACE_PROJECT_COMPLETED,LOC_GOSSIP_SPACE_RACE_PROJECT_COMPLETED,0,0,0,VICTORY
GOSSIP_ALLIED,1,LOC_GOSSIPDESC_ALLIED,LOC_GOSSIP_ALLIED,0,0,0,DIPLOMACY
GOSSIP_ANARCHY_BEGINS,1,,LOC_GOSSIP_ANARCHY_BEGINS,0,0,0,CULTURE
GOSSIP_CHANGE_GOVERNMENT,1,LOC_GOSSIPDESC_CHANGE_GOVERNMENT,LOC_GOSSIP_CHANGE_GOVERNMENT,0,0,0,CULTURE
GOSSIP_CITY_BESIEGED,1,,LOC_GOSSIP_CITY_BESIEGED,1,0,0,MILITARY
GOSSIP_CITY_LIBERATED,1,,LOC_GOSSIP_CITY_LIBERATED,1,0,0,MILITARY
GOSSIP_CITY_RAZED,1,,LOC_GOSSIP_CITY_RAZED,1,0,0,MILITARY
GOSSIP_CLEAR_CAMP,1,,LOC_GOSSIP_CLEAR_CAMP,1,0,0,MILITARY
GOSSIP_DECLARED_FRIENDSHIP,1,,LOC_GOSSIP_DECLARED_FRIENDSHIP,1,0,0,DIPLOMACY
GOSSIP_DELEGATION,1,,LOC_GOSSIP_DELEGATION,1,0,0,DIPLOMACY
GOSSIP_DENOUNCED,1,LOC_GOSSIPDESC_DENOUNCED,LOC_GOSSIP_DENOUNCED,0,0,0,DIPLOMACY
GOSSIP_FOUND_CITY,1,LOC_GOSSIPDESC_FOUND_CITY,LOC_GOSSIP_FOUND_CITY,1,0,0,SETTLEMENT
GOSSIP_PILLAGE,1,,LOC_GOSSIP_PILLAGE,1,0,0,MILITARY
GOSSIP_TRADE_DEAL,1,LOC_GOSSIPDESC_TRADE_DEAL,LOC_GOSSIP_TRADE_DEAL,1,0,0,DIPLOMACY
GOSSIP_TRADE_RENEGE,1,LOC_GOSSIPDESC_TRADE_RENEGE,LOC_GOSSIP_TRADE_RENEGE,1,0,0,DIPLOMACY
GOSSIP_TRAIN_UNIT,1,,LOC_GOSSIP_TRAIN_UNIT,1,1,0,MILITARY
GOSSIP_AGENDA_KUDOS,2,,LOC_GOSSIP_AGENDA_KUDOS,1,0,0,DIPLOMACY
GOSSIP_AGENDA_WARNING,2,,LOC_GOSSIP_AGENDA_WARNING,1,0,0,DIPLOMACY
GOSSIP_ARTIFACT_EXTRACTED,2,,LOC_GOSSIP_ARTIFACT_EXTRACTED,1,0,0,DISCOVER
GOSSIP_BARBARIAN_INVASION_STARTED,2,,LOC_GOSSIP_BARBARIAN_INVASION_STARTED,1,0,0,MILITARY
GOSSIP_BARBARIAN_RAID_STARTED,2,,LOC_GOSSIP_BARBARIAN_RAID_STARTED,1,0,0,MILITARY
GOSSIP_BEACH_RESORT_CREATED,2,,LOC_GOSSIP_BEACH_RESORT_CREATED,1,0,0,CITY
GOSSIP_CONSTRUCT_BUILDING,2,,LOC_GOSSIP_CONSTRUCT_BUILDING,1,1,0,CITY
GOSSIP_CONSTRUCT_DISTRICT,2,LOC_GOSSIPDESC_CONSTRUCT_DISTRICT,LOC_GOSSIP_CONSTRUCT_DISTRICT,1,1,0,CITY
GOSSIP_EMBASSY,2,,LOC_GOSSIP_EMBASSY,1,0,0,DIPLOMACY
GOSSIP_FIND_NATURAL_WONDER,2,,LOC_GOSSIP_FIND_NATURAL_WONDER,1,0,0,DISCOVER
GOSSIP_GREATPERSON_CREATED,2,LOC_GOSSIPDESC_GREATPERSON_CREATED,LOC_GOSSIP_GREATPERSON_CREATED,1,0,0,GREATPERSON
GOSSIP_INQUISITION_LAUNCHED,2,,LOC_GOSSIP_INQUISITION_LAUNCHED,1,0,0,RELIGION
GOSSIP_NATIONAL_PARK_CREATED,2,,LOC_GOSSIP_NATIONAL_PARK_CREATED,1,0,0,CULTURE
GOSSIP_POLICY_ENACTED,2,LOC_GOSSIPDESC_POLICY_ENACTED,LOC_GOSSIP_POLICY,1,1,0,CULTURE
GOSSIP_RELIC_RECEIVED,2,,LOC_GOSSIP_RELIC_RECEIVED,1,0,0,RELIGION
