GovernmentType,ModifierId
GOVERNMENT_AUTOCRACY,AUTOCRACY_CAPITAL
GOVERNMENT_AUTOCRACY,AUTOCRACY_TIER1
GOVERNMENT_AUTOCRACY,AUTOCRACY_TIER2
GOVERNMENT_AUTOCRACY,AUTOCRACY_TIER3
GOVERNMENT_OLIGARCHY,OLIGARCHY_MELEE
GOVERNMENT_CLASSICAL_REPUBLIC,CLASSICAL_REPUBLIC_AMENITY
GOVERNMENT_CLASSICAL_REPUBLIC,CLASSICAL_REPUBLIC_HOUSING
GOVERNMENT_MONARCHY,MONARCHY_WALLS_HOUSING
GOVERNMENT_MONARCHY,MONARCHY_CASTLE_HOUSING
GOVERNMENT_MONARCHY,MONARCHY_STARFORT_HOUSING
GOVERNMENT_THEOCRACY,THEOCRACY_RELIGIOUS
GOVERNMENT_THEOCRACY,THEOCRACY_RELIGIOUS_PEOPLE
GOVERNMENT_MERCHANT_REPUBLIC,MERCHANT_REPUBLIC_GOLD_MODIFIER
GOVERNMENT_FASCISM,FASCISM_ATTACK
GOVERNMENT_FASCISM,FASCISM_WAR_WEARINESS
GOVERNMENT_COMMUNISM,COMMUNISM_PRODUCTIVE_PEOPLE
GOVERNMENT_AUTOCRACY,AUTOCRACY_WONDERS
GOVERNMENT_OLIGARCHY,OLIGARCHY_UNIT_EXPERIENCE
GOVERNMENT_CLASSICAL_REPUBLIC,CLASSICAL_REPUBLIC_GREAT_PEOPLE
GOVERNMENT_MONARCHY,MONARCHY_ENVOYS
GOVERNMENT_THEOCRACY,THEOCRACY_FAITH_PURCHASE
GOVERNMENT_MERCHANT_REPUBLIC,MERCHANT_REPUBLIC_DISTRICTS
GOVERNMENT_FASCISM,FASCISM_UNIT_PRODUCTION
GOVERNMENT_DEMOCRACY,DEMOCRACY_GOLD_PURCHASE
GOVERNMENT_DEMOCRACY,DEMOCRACY_TRADEROUTEFOODTOALLY
GOVERNMENT_DEMOCRACY,DEMOCRACY_TRADEROUTEPRODUCTIONTOALLY
GOVERNMENT_DEMOCRACY,DEMOCRACY_TRADEROUTEFOODFROMALLY
GOVERNMENT_DEMOCRACY,DEMOCRACY_TRADEROUTEPRODUCTIONFROMALLY
GOVERNMENT_DEMOCRACY,DEMOCRACY_TRADEROUTEFOODTOSUZERAIN
GOVERNMENT_DEMOCRACY,DEMOCRACY_TRADEROUTEPRODUCTIONTOSUZERAIN
GOVERNMENT_DEMOCRACY,DEMOCRACY_TRADEROUTEFOODFROMSUZERAIN
GOVERNMENT_DEMOCRACY,DEMOCRACY_TRADEROUTEPRODUCTIONFROMSUZERAIN
GOVERNMENT_DEMOCRACY,DEMOCRACY_ALLIANCEPOINTS
GOVERNMENT_COMMUNISM,COMMUNISM_SCIENCE
GOVERNMENT_CORPORATE_LIBERTARIANISM,CORPORATE_LIBERTARIANISM_RESOURCE_EXTRACTION
GOVERNMENT_CORPORATE_LIBERTARIANISM,CORPORATE_LIBERTARIANISM_COMMERCIAL_HUB_PRODUCTION
GOVERNMENT_CORPORATE_LIBERTARIANISM,CORPORATE_LIBERTARIANISM_ENCAMPMENT_PRODUCTION
GOVERNMENT_CORPORATE_LIBERTARIANISM,CORPORATE_LIBERTARIANISM_SCIENCE_PENALTY
GOVERNMENT_DIGITAL_DEMOCRACY,DIGITAL_DEMOCRACY_CITY_AMENITIES
GOVERNMENT_DIGITAL_DEMOCRACY,DIGITAL_DEMOCRACY_DISTRICT_CULTURE
GOVERNMENT_DIGITAL_DEMOCRACY,DIGITAL_DEMOCRACY_COMBAT_STRENGTH_PENALTY
GOVERNMENT_SYNTHETIC_TECHNOCRACY,SYNTHETIC_TECHNOCRACY_CITY_POWER
GOVERNMENT_SYNTHETIC_TECHNOCRACY,SYNTHETIC_TECHNOCRACY_CITY_PROJECT_PRODUCTION
GOVERNMENT_SYNTHETIC_TECHNOCRACY,SYNTHETIC_TECHNOCRACY_TOURISM_PENALTY
GOVERNMENT_MONARCHY,MONARCHY_STARFORT_FAVOR
GOVERNMENT_AUTOCRACY,CONSULATE_TIER1
GOVERNMENT_AUTOCRACY,CHANCERY_TIER2
