GovernmentType,GovernmentSlotType,NumSlots
GOVERNMENT_CHIEFDOM,SLOT_MILITARY,1
GOVERNMENT_CHIEFDOM,SLOT_ECONOMIC,1
GOVERNMENT_AUTOCRACY,SLOT_MILITARY,1
GOVERNMENT_AUTOCRACY,SLOT_ECONOMIC,1
GOVERNMENT_AUTOCRACY,SLOT_DIPLOMATIC,1
GOVERNMENT_AUTOCRACY,SLOT_WILDCARD,1
GOVERNMENT_OLIGARCHY,SLOT_MILITARY,2
GOVERNMENT_OLIGARCHY,SLOT_ECONOMIC,1
GOVERNMENT_OLIGARCHY,SLOT_WILDCARD,1
GOVERNMENT_CLASSICAL_REPUBLIC,SLOT_ECONOMIC,2
GOVERNMENT_CLASSICAL_REPUBLIC,SLOT_DIPLOMATIC,1
GOVERNMENT_CLASSICAL_REPUBLIC,SLOT_WILDCARD,1
GOVERNMENT_MONARCHY,SLOT_MILITARY,2
GOVERNMENT_MONARCHY,SLOT_ECONOMIC,1
GOVERNMENT_MONARCHY,SLOT_DIPLOMATIC,1
GOVERNMENT_MONARCHY,SLOT_WILDCARD,2
GOVERNMENT_THEOCRACY,SLOT_MILITARY,2
GOVERNMENT_THEOCRACY,SLOT_ECONOMIC,2
GOVERNMENT_THEOCRACY,SLOT_DIPLOMATIC,1
GOVERNMENT_THEOCRACY,SLOT_WILDCARD,1
GOVERNMENT_MERCHANT_REPUBLIC,SLOT_MILITARY,1
GOVERNMENT_MERCHANT_REPUBLIC,SLOT_ECONOMIC,2
GOVERNMENT_MERCHANT_REPUBLIC,SLOT_DIPLOMATIC,2
GOVERNMENT_MERCHANT_REPUBLIC,SLOT_WILDCARD,1
GOVERNMENT_FASCISM,SLOT_MILITARY,4
GOVERNMENT_FASCISM,SLOT_ECONOMIC,1
GOVERNMENT_FASCISM,SLOT_DIPLOMATIC,1
GOVERNMENT_FASCISM,SLOT_WILDCARD,2
GOVERNMENT_COMMUNISM,SLOT_MILITARY,3
GOVERNMENT_COMMUNISM,SLOT_ECONOMIC,3
GOVERNMENT_COMMUNISM,SLOT_DIPLOMATIC,1
GOVERNMENT_COMMUNISM,SLOT_WILDCARD,1
GOVERNMENT_DEMOCRACY,SLOT_MILITARY,1
GOVERNMENT_DEMOCRACY,SLOT_ECONOMIC,3
GOVERNMENT_DEMOCRACY,SLOT_DIPLOMATIC,2
GOVERNMENT_DEMOCRACY,SLOT_WILDCARD,2
GOVERNMENT_CORPORATE_LIBERTARIANISM,SLOT_MILITARY,3
GOVERNMENT_CORPORATE_LIBERTARIANISM,SLOT_ECONOMIC,1
GOVERNMENT_CORPORATE_LIBERTARIANISM,SLOT_DIPLOMATIC,1
GOVERNMENT_CORPORATE_LIBERTARIANISM,SLOT_WILDCARD,5
GOVERNMENT_DIGITAL_DEMOCRACY,SLOT_MILITARY,1
GOVERNMENT_DIGITAL_DEMOCRACY,SLOT_ECONOMIC,1
GOVERNMENT_DIGITAL_DEMOCRACY,SLOT_DIPLOMATIC,3
GOVERNMENT_DIGITAL_DEMOCRACY,SLOT_WILDCARD,5
GOVERNMENT_SYNTHETIC_TECHNOCRACY,SLOT_MILITARY,1
GOVERNMENT_SYNTHETIC_TECHNOCRACY,SLOT_ECONOMIC,3
GOVERNMENT_SYNTHETIC_TECHNOCRACY,SLOT_DIPLOMATIC,1
GOVERNMENT_SYNTHETIC_TECHNOCRACY,SLOT_WILDCARD,5
