GovernmentType,Name,PrereqCivic,InherentBonusDesc,AccumulatedBonusShortDesc,AccumulatedBonusDesc,OtherGovernmentIntolerance,InfluencePointsPerTurn,InfluencePointsThreshold,InfluenceTokensPerThreshold,BonusType,PolicyToUnlock,Tier
GOVERNMENT_CHIEFDOM,LOC_GOVERNMENT_CHIEFDOM_NAME,,LOC_GOVT_INHERENT_BONUS_CHIEFDOM,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_CHIEFDOM,LOC_GOVT_ACCUMULATED_BONUS_CHIEFDOM,0,1,100,1,NO_GOVERNMENTBONUS,,
GOVERNMENT_AUTOCRACY,LOC_GOVERNMENT_AUTOCRACY_NAME,CIVIC_POLITICAL_PHILOSOPHY,LOC_GOVT_INHERENT_BONUS_AUTOCRACY_ETHIOPIA,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_AUTOCRACY_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_AUTOCRACY_XP1,0,3,100,1,GOVERNMENTBONUS_WONDER_CONSTRUCTION,POLICY_GOV_AUTOCRACY,Tier1
GOVERNMENT_OLIGARCHY,LOC_GOVERNMENT_OLIGARCHY_NAME,CIVIC_POLITICAL_PHILOSOPHY,LOC_GOVT_INHERENT_BONUS_OLIGARCHY_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_OLIGARCHY_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_OLIGARCHY_XP1,0,3,100,1,GOVERNMENTBONUS_COMBAT_EXPERIENCE,POLICY_GOV_OLIGARCHY,Tier1
GOVERNMENT_CLASSICAL_REPUBLIC,LOC_GOVERNMENT_CLASSICAL_REPUBLIC_NAME,CIVIC_POLITICAL_PHILOSOPHY,LOC_GOVT_INHERENT_BONUS_CLASSREP_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_CLASSREP_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_CLASSREP_XP1,0,3,100,1,GOVERNMENTBONUS_GREAT_PEOPLE,POLICY_GOV_CLASSICAL_REPUBLIC,Tier1
GOVERNMENT_MONARCHY,LOC_GOVERNMENT_MONARCHY_NAME,CIVIC_DIVINE_RIGHT,LOC_GOVT_INHERENT_BONUS_MONARCHY_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_MONARCHY_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_MONARCHY_XP1,0,5,150,2,GOVERNMENTBONUS_ENVOYS,POLICY_GOV_MONARCHY,Tier2
GOVERNMENT_THEOCRACY,LOC_GOVERNMENT_THEOCRACY_NAME,CIVIC_REFORMED_CHURCH,LOC_GOVT_INHERENT_BONUS_THEOCRACY_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_THEOCRACY_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_THEOCRACY_XP1,0,5,150,2,GOVERNMENTBONUS_FAITH_PURCHASES,POLICY_GOV_THEOCRACY,Tier2
GOVERNMENT_MERCHANT_REPUBLIC,LOC_GOVERNMENT_MERCHANT_REPUBLIC_NAME,CIVIC_EXPLORATION,LOC_GOVT_INHERENT_BONUS_MERCHREP_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_MERCHREP_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_MERCHREP_XP1,0,5,150,2,GOVERNMENTBONUS_GOLD_PURCHASES,POLICY_GOV_MERCHANT_REPUBLIC,Tier2
GOVERNMENT_FASCISM,LOC_GOVERNMENT_FASCISM_NAME,CIVIC_TOTALITARIANISM,LOC_GOVT_INHERENT_BONUS_FASCISM_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_FASCISM_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_FASCISM_XP1,-20,7,200,3,GOVERNMENTBONUS_UNIT_PRODUCTION,POLICY_GOV_FASCISM,Tier3
GOVERNMENT_COMMUNISM,LOC_GOVERNMENT_COMMUNISM_NAME,CIVIC_CLASS_STRUGGLE,LOC_GOVT_INHERENT_BONUS_COMMUNISM_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_COMMUNISM_XP2,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_COMMUNISM_XP2,-20,7,200,3,GOVERNMENTBONUS_OVERALL_PRODUCTION,POLICY_GOV_COMMUNISM,Tier3
GOVERNMENT_DEMOCRACY,LOC_GOVERNMENT_DEMOCRACY_NAME,CIVIC_SUFFRAGE,LOC_GOVT_INHERENT_BONUS_DEMOCRACY_XP2,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_DEMOCRACY_XP1,LOC_GOVT_ACCUMULATED_BONUS_BRIEF_DEMOCRACY_XP1,-20,7,200,3,GOVERNMENTBONUS_DISTRICT_PROJECTS,POLICY_GOV_DEMOCRACY,Tier3
