GovernorPromotionType,HiddenWithoutPrereqs,EarliestGameEra
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1,0,
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_2,1,ERA_MEDIEVAL
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3,1,ERA_INDUSTRIAL
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4,1,ERA_ATOMIC
GOVERNOR_PROMOTION_HERMETIC_ORDER_1,0,
GOVERNOR_PROMOTION_HERMETIC_ORDER_2,1,ERA_MEDIEVAL
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,1,ERA_INDUSTRIAL
GOVERNOR_PROMOTION_HERMETIC_ORDER_4,1,ERA_ATOMIC
GOVERNOR_PROMOTION_VOIDSINGERS_1,0,
GOVERNOR_PROMOTION_VOIDSINGERS_2,1,ERA_MEDIEVAL
GOVERNOR_PROMOTION_VOIDSINGERS_3,1,ERA_INDUSTRIAL
GOVERNOR_PROMOTION_VOIDSINGERS_4,1,ERA_ATOMIC
GOVERNOR_PROMOTION_SANGUINE_PACT_1,0,
GOVERNOR_PROMOTION_SANGUINE_PACT_2,1,ERA_MEDIEVAL
GOVERNOR_PROMOTION_SANGUINE_PACT_3,1,ERA_INDUSTRIAL
GOVERNOR_PROMOTION_SANGUINE_PACT_4,1,ERA_ATOMIC
