GovernorPromotionType,ModifierId
GOVERNOR_PROMOTION_REDOUBT,DEFENDER_ADJUST_CITY_DEFENSE_STRENGTH
GOVERNOR_PROMOTION_EMBRASURE,CITY_DEFENDER_ADJUST_ATTACKS_PER_TURN
GOVERNOR_PROMOTION_EMBRASURE,CITY_DEFENDER_FREE_PROMOTIONS
GOVERNOR_PROMOTION_GARRISON_COMMANDER,GARRISON_COMMANDER_ADJUST_CITY_COMBAT_BONUS
GOVERNOR_PROMOTION_GARRISON_COMMANDER,PRESTIGE_IDENTITY_PRESSURE_TO_DOMESTIC_CITIES
GOVERNOR_PROMOTION_DEFENSE_LOGISTICS,DEFENSE_LOGISTICS_SIEGE_PROTECTION
GOVERNOR_PROMOTION_DEFENSE_LOGISTICS,DEFENSE_LOGISTICS_BONUS_STRATEGICS
GOVERNOR_PROMOTION_AIR_DEFENSE_INITIATIVE,AIR_DEFENSE_INITIATIVE_ANTI_AIR_BONUS
GOVERNOR_PROMOTION_EDUCATOR_ARMS_RACE_PROPONENT,EDUCATOR_FASTER_MANHATTAN_PROJECT_RESEARCH
GOVERNOR_PROMOTION_EDUCATOR_ARMS_RACE_PROPONENT,EDUCATOR_FASTER_OPERATION_IVY_RESEARCH
GOVERNOR_PROMOTION_EDUCATOR_ARMS_RACE_PROPONENT,EDUCATOR_FASTER_NUCLEAR_DEVICE_PRODUCTION
GOVERNOR_PROMOTION_EDUCATOR_ARMS_RACE_PROPONENT,EDUCATOR_FASTER_THERMONUCLEAR_DEVICE_PRODUCTION
GOVERNOR_PROMOTION_AMBASSADOR_MESSENGER,MESSENGER_GRANT_FREE_ENVOYS
GOVERNOR_PROMOTION_AMBASSADOR_EMISSARY,EMISSARY_IDENTITY_PRESSURE_TO_FOREIGN_CITIES
GOVERNOR_PROMOTION_AMBASSADOR_AFFLUENCE,AFFLUENCE_COPY_LUXURIES_FOR_IMPORT
GOVERNOR_PROMOTION_AMBASSADOR_FOREIGN_INVESTOR,FOREIGN_INVESTOR_COPY_STRATEGICS_FOR_IMPORT
GOVERNOR_PROMOTION_AMBASSADOR_PUPPETEER,AMBASSADOR_ADJUST_CITY_ENVOY_MODIFIER
GOVERNOR_PROMOTION_LOCAL_INFORMANTS,LOCAL_INFORMANTS_SPY_DEFENSE_BONUS
GOVERNOR_PROMOTION_CARDINAL_BISHOP,CARDINAL_BISHOP_PRESSURE
GOVERNOR_PROMOTION_CARDINAL_BISHOP,CARDINAL_BISHOP_FAITH_DISTRICT
GOVERNOR_PROMOTION_CARDINAL_GRAND_INQUISITOR,CARDINAL_GRAND_INQUISITOR_COMBAT
GOVERNOR_PROMOTION_CARDINAL_DIVINE_ARCHITECT,CARDINAL_FAITH_PURCHASE_DISTRICT
GOVERNOR_PROMOTION_CARDINAL_LAYING_ON_OF_HANDS,CARDINAL_LAYING_ON_OF_HANDS_HEAL
GOVERNOR_PROMOTION_CARDINAL_LAYING_ON_OF_HANDS,CARDINAL_LAYING_ON_OF_HANDS_RELIGIOUS_HEAL
GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD,CARDINAL_CITADEL_OF_GOD_PRESSURE
GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD,CARDINAL_CITADEL_OF_GOD_COMBAT
GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD,CARDINAL_CITADEL_OF_GOD_FAITH_FINISH_BUILDINGS
GOVERNOR_PROMOTION_CARDINAL_PATRON_SAINT,CARDINAL_PATRON_SAINT_PROMOTION
GOVERNOR_PROMOTION_RESOURCE_MANAGER_GROUNDBREAKER,GROUNDBREAKER_BONUS_HARVEST_YIELDS
GOVERNOR_PROMOTION_RESOURCE_MANAGER_SURPLUS_LOGISTICS,SURPLUS_LOGISTICS_EXTRA_GROWTH
GOVERNOR_PROMOTION_RESOURCE_MANAGER_SURPLUS_LOGISTICS,SURPLUS_LOGISTICS_TRADE_ROUTE_FOOD
GOVERNOR_PROMOTION_RESOURCE_MANAGER_BLACK_MARKETEER,BLACK_MARKETEER_STRATEGIC_RESOURCE_COST_DISCOUNT
GOVERNOR_PROMOTION_RESOURCE_MANAGER_EXPEDITION,EXPEDITION_ADJUST_SETTLERS_CONSUME_POPULATION
GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST,INDUSTRIALIST_COAL_POWER_PLANT_PRODUCTION
GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST,INDUSTRIALIST_OIL_POWER_PLANT_PRODUCTION
GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST,INDUSTRIALIST_NUCLEAR_POWER_PLANT_PRODUCTION
GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST,INDUSTRIALIST_RESOURCE_POWER_PROVIDED
GOVERNOR_PROMOTION_RESOURCE_MANAGER_VERTICAL_INTEGRATION,VERTICAL_INTEGRATION_PRODUCTION_REGIONAL_STACKING
GOVERNOR_PROMOTION_BUILDER_GUILDMASTER,GUILDMASTER_ADDITIONAL_BUILDER_CHARGES
GOVERNOR_PROMOTION_REINFORCED_INFRASTRUCTURE,REINFORCED_INFRASTRUCTURE_PREVENET_STRUCTURAL_DAMAGE
GOVERNOR_PROMOTION_AQUACULTURE,AQUACULTURE_CAN_BUILD_FISHERY
GOVERNOR_PROMOTION_ZONING_COMMISSIONER,ZONING_COMMISSIONER_FASTER_DISTRICT_CONSTRUCTION
GOVERNOR_PROMOTION_WATER_WORKS,WATER_WORKS_NEIGHBORHOOD_HOUSING
GOVERNOR_PROMOTION_WATER_WORKS,WATER_WORKS_AQUEDUCT_HOUSING
GOVERNOR_PROMOTION_WATER_WORKS,WATER_WORKS_CANAL_AMENITY
GOVERNOR_PROMOTION_WATER_WORKS,WATER_WORKS_DAM_AMENITY
GOVERNOR_PROMOTION_PARKS_RECREATION,PARKS_RECREATION_CAN_BUILD_CITY_PARK
GOVERNOR_PROMOTION_EDUCATOR_LIBRARIAN,LIBRARIAN_SCIENCE_YIELD_BONUS
GOVERNOR_PROMOTION_EDUCATOR_LIBRARIAN,LIBRARIAN_CULTURE_YIELD_BONUS
GOVERNOR_PROMOTION_EDUCATOR_CONNOISSEUR,CONNOISSEUR_CULTURE_CITIZEN
GOVERNOR_PROMOTION_EDUCATOR_RESEARCHER,RESEARCHER_SCIENCE_CITIZEN
GOVERNOR_PROMOTION_EDUCATOR_GRANTS,EDUCATOR_INCREASE_CITY_GREAT_PERSON_POINT_BONUS
GOVERNOR_PROMOTION_EDUCATOR_SPACE_INITIATIVE,EDUCATOR_FASTER_SPACE_RACE_PRODUCTION
GOVERNOR_PROMOTION_MERCHANT_CURATOR,CURATOR_DOUBLE_SCULPTURE_TOURISM
GOVERNOR_PROMOTION_MERCHANT_CURATOR,CURATOR_DOUBLE_PORTRAIT_TOURISM
GOVERNOR_PROMOTION_MERCHANT_CURATOR,CURATOR_DOUBLE_LANDSCAPE_TOURISM
GOVERNOR_PROMOTION_MERCHANT_CURATOR,CURATOR_DOUBLE_RELIGIOUS_TOURISM
GOVERNOR_PROMOTION_MERCHANT_CURATOR,CURATOR_DOUBLE_WRITING_TOURISM
GOVERNOR_PROMOTION_MERCHANT_CURATOR,CURATOR_DOUBLE_MUSIC_TOURISM
GOVERNOR_PROMOTION_MERCHANT_LAND_ACQUISITION,LAND_ACQUISITION_FASTER_PLOT_ANNEXING
GOVERNOR_PROMOTION_MERCHANT_LAND_ACQUISITION,FOREIGN_EXCHANGE_GOLD_FROM_FOREIGN_TRADE_PASSING_THROUGH
GOVERNOR_PROMOTION_MERCHANT_HARBORMASTER,HARBORMASTER_BONUS_COMMERCIAL_HUB_ADJACENCY
GOVERNOR_PROMOTION_MERCHANT_HARBORMASTER,HARBORMASTER_BONUS_HARBOR_ADJACENCY
GOVERNOR_PROMOTION_MERCHANT_TAX_COLLECTOR,TAX_COLLECTOR_ADJUST_CITIZEN_GPT
GOVERNOR_PROMOTION_MERCHANT_CONTRACTOR,CONTRACTOR_ENABLE_DISTRICT_PURCHASE
GOVERNOR_PROMOTION_MERCHANT_FORESTRY_MANAGEMENT,FORESTRY_MANAGEMENT_FEATURE_NO_IMPROVEMENT_APPEAL
GOVERNOR_PROMOTION_MERCHANT_FORESTRY_MANAGEMENT,FORESTRY_MANAGEMENT_FEATURE_NO_IMPROVEMENT_GOLD
GOVERNOR_PROMOTION_MERCHANT_RENEWABLE_ENERGY,RENEWABLE_ENERGY_IMPROVEMENT_PLOTS_GOLD
GOVERNOR_PROMOTION_MERCHANT_RENEWABLE_ENERGY,RENEWABLE_ENERGY_IMPROVEMENT_BUILDING_GOLD
GOVERNOR_PROMOTION_PASHA,PASHA_BONUS_UNIT_PRODUCTION
GOVERNOR_PROMOTION_HEAD_FALCONER,HEAD_FALCONER_ADJUST_CITY_COMBAT_BONUS
GOVERNOR_PROMOTION_SERASKER,SERASKER_ADJUST_GOVERNOR_COMBAT_DISTRICT
GOVERNOR_PROMOTION_KHASS_ODA_BASHI,KHASS_ODA_BASHI_ADJUST_ALLIANCE_POINTS
GOVERNOR_PROMOTION_CAPOU_AGHA,CAPOU_AGHA_ADJUST_GRIEVANCES
GOVERNOR_PROMOTION_GRAND_VISIER,GRAND_VIZIER_ADJUST_IGNORE_CULTURAL_IDENTITY
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1_ECONOMIC_POLICY_SLOT
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1_ENVOY_FROM_TRADE_ROUTE
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_2,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_2_UNLOCK_GILDED_VAULT
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3_WILDCARD_POLICY_SLOT
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3_LOYALTY_FROM_COUNTERSPY
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3_AMENITY_FROM_COUNTERSPY
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3_SPY_CAPACITY
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4_SPY_SUCCESS_GRANTS_SCIENCE
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4_SPY_SUCCESS_GRANTS_CULTURE
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4_SPY_SUCCESS_GRANTS_GOLD
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4_SPY_SUCCESS_GRANTS_FAITH
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4_GOLD_INTEREST
GOVERNOR_PROMOTION_HERMETIC_ORDER_1,GOVERNOR_PROMOTION_HERMETIC_ORDER_1_UNLOCK_LEY_LINE
GOVERNOR_PROMOTION_HERMETIC_ORDER_2,GOVERNOR_PROMOTION_HERMETIC_ORDER_2_UNLOCK_ALCHEMICAL_SOCIETY
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_GREAT_ARTIST_LEY_LINE_CULTURE
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_GREAT_ADMIRAL_LEY_LINE_SCIENCE
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_GREAT_ENGINEER_LEY_LINE_PRODUCTION
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_GREAT_GENERAL_LEY_LINE_SCIENCE
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_GREAT_MERCHANT_LEY_LINE_GOLD
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_GREAT_MUSICIAN_LEY_LINE_CULTURE
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_GREAT_PROPHET_LEY_LINE_FAITH
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_GREAT_SCIENTIST_LEY_LINE_SCIENCE
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_GREAT_WRITER_LEY_LINE_CULTURE
GOVERNOR_PROMOTION_HERMETIC_ORDER_4,HERMETIC_ORDER_ALLOW_PROJECT
GOVERNOR_PROMOTION_VOIDSINGERS_1,GOVERNOR_PROMOTION_VOIDSINGERS_1_UNLOCK_OLD_GOD_OBELISK
GOVERNOR_PROMOTION_VOIDSINGERS_2,GOVERNOR_PROMOTION_VOIDSINGERS_2_GOLD_FROM_FAITH
GOVERNOR_PROMOTION_VOIDSINGERS_2,GOVERNOR_PROMOTION_VOIDSINGERS_2_SCIENCE_FROM_FAITH
GOVERNOR_PROMOTION_VOIDSINGERS_2,GOVERNOR_PROMOTION_VOIDSINGERS_2_CULTURE_FROM_FAITH
GOVERNOR_PROMOTION_VOIDSINGERS_3,SECRET_SOCIETY_UNLOCK_CULTIST_UNIT
GOVERNOR_PROMOTION_VOIDSINGERS_4,VOIDSINGERS_ALLOW_PROJECT_DARK_SUMMONING
GOVERNOR_PROMOTION_SANGUINE_PACT_1,SECRET_SOCIETY_GRANT_VAMPIRE
