GovernorPromotionType,PrereqGovernorPromotion
GOVERNOR_PROMOTION_GARRISON_COMMANDER,GOVERNOR_PROMOTION_REDOUBT
GOVERNOR_PROMOTION_DEFENSE_LOGISTICS,GOVERNOR_PROMOTION_REDOUBT
GOVERNOR_PROMOTION_EMBRASURE,GOVERNOR_PROMOTION_DEFENSE_LOGISTICS
GOVERNOR_PROMOTION_EMBRASURE,GOVERNOR_PROMOTION_GARRISON_COMMANDER
GOVERNOR_PROMOTION_AIR_DEFENSE_INITIATIVE,GOVERNOR_PROMOTION_EMBRASURE
GOVERNOR_PROMOTION_EDUCATOR_ARMS_RACE_PROPONENT,GOVERNOR_PROMOTION_EMBRASURE
GOVERNOR_PROMOTION_AMBASSADOR_EMISSARY,GOVERNOR_PROMOTION_AMBASSADOR_MESSENGER
GOVERNOR_PROMOTION_AMBASSADOR_AFFLUENCE,GOVERNOR_PROMOTION_AMBASSADOR_MESSENGER
GOVERNOR_PROMOTION_LOCAL_INFORMANTS,GOVERNOR_PROMOTION_AMBASSADOR_EMISSARY
GOVERNOR_PROMOTION_AMBASSADOR_FOREIGN_INVESTOR,GOVERNOR_PROMOTION_AMBASSADOR_AFFLUENCE
GOVERNOR_PROMOTION_AMBASSADOR_PUPPETEER,GOVERNOR_PROMOTION_LOCAL_INFORMANTS
GOVERNOR_PROMOTION_AMBASSADOR_PUPPETEER,GOVERNOR_PROMOTION_AMBASSADOR_FOREIGN_INVESTOR
GOVERNOR_PROMOTION_CARDINAL_GRAND_INQUISITOR,GOVERNOR_PROMOTION_CARDINAL_BISHOP
GOVERNOR_PROMOTION_CARDINAL_LAYING_ON_OF_HANDS,GOVERNOR_PROMOTION_CARDINAL_BISHOP
GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD,GOVERNOR_PROMOTION_CARDINAL_GRAND_INQUISITOR
GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD,GOVERNOR_PROMOTION_CARDINAL_LAYING_ON_OF_HANDS
GOVERNOR_PROMOTION_CARDINAL_PATRON_SAINT,GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD
GOVERNOR_PROMOTION_CARDINAL_DIVINE_ARCHITECT,GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD
GOVERNOR_PROMOTION_RESOURCE_MANAGER_SURPLUS_LOGISTICS,GOVERNOR_PROMOTION_RESOURCE_MANAGER_GROUNDBREAKER
GOVERNOR_PROMOTION_RESOURCE_MANAGER_EXPEDITION,GOVERNOR_PROMOTION_RESOURCE_MANAGER_GROUNDBREAKER
GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST,GOVERNOR_PROMOTION_RESOURCE_MANAGER_SURPLUS_LOGISTICS
GOVERNOR_PROMOTION_RESOURCE_MANAGER_BLACK_MARKETEER,GOVERNOR_PROMOTION_RESOURCE_MANAGER_EXPEDITION
GOVERNOR_PROMOTION_RESOURCE_MANAGER_VERTICAL_INTEGRATION,GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST
GOVERNOR_PROMOTION_RESOURCE_MANAGER_VERTICAL_INTEGRATION,GOVERNOR_PROMOTION_RESOURCE_MANAGER_BLACK_MARKETEER
GOVERNOR_PROMOTION_ZONING_COMMISSIONER,GOVERNOR_PROMOTION_BUILDER_GUILDMASTER
GOVERNOR_PROMOTION_AQUACULTURE,GOVERNOR_PROMOTION_BUILDER_GUILDMASTER
GOVERNOR_PROMOTION_REINFORCED_INFRASTRUCTURE,GOVERNOR_PROMOTION_ZONING_COMMISSIONER
GOVERNOR_PROMOTION_WATER_WORKS,GOVERNOR_PROMOTION_AQUACULTURE
GOVERNOR_PROMOTION_PARKS_RECREATION,GOVERNOR_PROMOTION_WATER_WORKS
GOVERNOR_PROMOTION_PARKS_RECREATION,GOVERNOR_PROMOTION_REINFORCED_INFRASTRUCTURE
GOVERNOR_PROMOTION_EDUCATOR_CONNOISSEUR,GOVERNOR_PROMOTION_EDUCATOR_LIBRARIAN
GOVERNOR_PROMOTION_EDUCATOR_RESEARCHER,GOVERNOR_PROMOTION_EDUCATOR_LIBRARIAN
GOVERNOR_PROMOTION_EDUCATOR_GRANTS,GOVERNOR_PROMOTION_EDUCATOR_CONNOISSEUR
GOVERNOR_PROMOTION_EDUCATOR_GRANTS,GOVERNOR_PROMOTION_EDUCATOR_RESEARCHER
GOVERNOR_PROMOTION_MERCHANT_CURATOR,GOVERNOR_PROMOTION_EDUCATOR_GRANTS
GOVERNOR_PROMOTION_EDUCATOR_SPACE_INITIATIVE,GOVERNOR_PROMOTION_EDUCATOR_GRANTS
GOVERNOR_PROMOTION_MERCHANT_HARBORMASTER,GOVERNOR_PROMOTION_MERCHANT_LAND_ACQUISITION
GOVERNOR_PROMOTION_MERCHANT_FORESTRY_MANAGEMENT,GOVERNOR_PROMOTION_MERCHANT_LAND_ACQUISITION
GOVERNOR_PROMOTION_MERCHANT_TAX_COLLECTOR,GOVERNOR_PROMOTION_MERCHANT_HARBORMASTER
GOVERNOR_PROMOTION_MERCHANT_TAX_COLLECTOR,GOVERNOR_PROMOTION_MERCHANT_FORESTRY_MANAGEMENT
