GovernorType,GovernorPromotion
GOVERNOR_THE_DEFENDER,GOVERNOR_PROMOTION_REDOUBT
GOVERNOR_THE_DEFENDER,GOVERNOR_PROMOTION_GARRISON_COMMANDER
GOVERNOR_THE_DEFENDER,GOVERNOR_PROMOTION_DEFENSE_LOGISTICS
GOVERNOR_THE_DEFENDER,GOVERNOR_PROMOTION_EMBRASURE
GOVERNOR_THE_DEFENDER,GOVERNOR_PROMOTION_AIR_DEFENSE_INITIATIVE
GOVERNOR_THE_DEFENDER,GOVERNOR_PROMOTION_EDUCATOR_ARMS_RACE_PROPONENT
GOVERNOR_THE_AMBASSADOR,GOVERNOR_PROMOTION_AMBASSADOR_MESSENGER
GOVERNOR_THE_AMBASSADOR,GOVERNOR_PROMOTION_AMBASSADOR_EMISSARY
GOVERNOR_THE_AMBASSADOR,GOVERNOR_PROMOTION_LOCAL_INFORMANTS
GOVERNOR_THE_AMBASSADOR,GOVERNOR_PROMOTION_AMBASSADOR_AFFLUENCE
GOVERNOR_THE_AMBASSADOR,GOVERNOR_PROMOTION_AMBASSADOR_FOREIGN_INVESTOR
GOVERNOR_THE_AMBASSADOR,GOVERNOR_PROMOTION_AMBASSADOR_PUPPETEER
GOVERNOR_THE_CARDINAL,GOVERNOR_PROMOTION_CARDINAL_BISHOP
GOVERNOR_THE_CARDINAL,GOVERNOR_PROMOTION_CARDINAL_GRAND_INQUISITOR
GOVERNOR_THE_CARDINAL,GOVERNOR_PROMOTION_CARDINAL_LAYING_ON_OF_HANDS
GOVERNOR_THE_CARDINAL,GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD
GOVERNOR_THE_CARDINAL,GOVERNOR_PROMOTION_CARDINAL_PATRON_SAINT
GOVERNOR_THE_CARDINAL,GOVERNOR_PROMOTION_CARDINAL_DIVINE_ARCHITECT
GOVERNOR_THE_RESOURCE_MANAGER,GOVERNOR_PROMOTION_RESOURCE_MANAGER_GROUNDBREAKER
GOVERNOR_THE_RESOURCE_MANAGER,GOVERNOR_PROMOTION_RESOURCE_MANAGER_SURPLUS_LOGISTICS
GOVERNOR_THE_RESOURCE_MANAGER,GOVERNOR_PROMOTION_RESOURCE_MANAGER_EXPEDITION
GOVERNOR_THE_RESOURCE_MANAGER,GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST
GOVERNOR_THE_RESOURCE_MANAGER,GOVERNOR_PROMOTION_RESOURCE_MANAGER_BLACK_MARKETEER
GOVERNOR_THE_RESOURCE_MANAGER,GOVERNOR_PROMOTION_RESOURCE_MANAGER_VERTICAL_INTEGRATION
GOVERNOR_THE_BUILDER,GOVERNOR_PROMOTION_BUILDER_GUILDMASTER
GOVERNOR_THE_BUILDER,GOVERNOR_PROMOTION_ZONING_COMMISSIONER
GOVERNOR_THE_BUILDER,GOVERNOR_PROMOTION_AQUACULTURE
GOVERNOR_THE_BUILDER,GOVERNOR_PROMOTION_REINFORCED_INFRASTRUCTURE
GOVERNOR_THE_BUILDER,GOVERNOR_PROMOTION_WATER_WORKS
GOVERNOR_THE_BUILDER,GOVERNOR_PROMOTION_PARKS_RECREATION
GOVERNOR_THE_EDUCATOR,GOVERNOR_PROMOTION_EDUCATOR_LIBRARIAN
GOVERNOR_THE_EDUCATOR,GOVERNOR_PROMOTION_EDUCATOR_CONNOISSEUR
GOVERNOR_THE_EDUCATOR,GOVERNOR_PROMOTION_EDUCATOR_RESEARCHER
GOVERNOR_THE_EDUCATOR,GOVERNOR_PROMOTION_EDUCATOR_GRANTS
GOVERNOR_THE_EDUCATOR,GOVERNOR_PROMOTION_MERCHANT_CURATOR
GOVERNOR_THE_EDUCATOR,GOVERNOR_PROMOTION_EDUCATOR_SPACE_INITIATIVE
GOVERNOR_THE_MERCHANT,GOVERNOR_PROMOTION_MERCHANT_LAND_ACQUISITION
GOVERNOR_THE_MERCHANT,GOVERNOR_PROMOTION_MERCHANT_HARBORMASTER
GOVERNOR_THE_MERCHANT,GOVERNOR_PROMOTION_MERCHANT_FORESTRY_MANAGEMENT
GOVERNOR_THE_MERCHANT,GOVERNOR_PROMOTION_MERCHANT_TAX_COLLECTOR
GOVERNOR_THE_MERCHANT,GOVERNOR_PROMOTION_MERCHANT_RENEWABLE_ENERGY
GOVERNOR_THE_MERCHANT,GOVERNOR_PROMOTION_MERCHANT_CONTRACTOR
GOVERNOR_IBRAHIM,GOVERNOR_PROMOTION_PASHA
GOVERNOR_IBRAHIM,GOVERNOR_PROMOTION_HEAD_FALCONER
GOVERNOR_IBRAHIM,GOVERNOR_PROMOTION_SERASKER
GOVERNOR_IBRAHIM,GOVERNOR_PROMOTION_KHASS_ODA_BASHI
GOVERNOR_IBRAHIM,GOVERNOR_PROMOTION_CAPOU_AGHA
GOVERNOR_IBRAHIM,GOVERNOR_PROMOTION_GRAND_VISIER
GOVERNOR_OWLS_OF_MINERVA,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1
GOVERNOR_OWLS_OF_MINERVA,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_2
GOVERNOR_OWLS_OF_MINERVA,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3
GOVERNOR_OWLS_OF_MINERVA,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4
GOVERNOR_HERMETIC_ORDER,GOVERNOR_PROMOTION_HERMETIC_ORDER_1
GOVERNOR_HERMETIC_ORDER,GOVERNOR_PROMOTION_HERMETIC_ORDER_2
GOVERNOR_HERMETIC_ORDER,GOVERNOR_PROMOTION_HERMETIC_ORDER_3
GOVERNOR_HERMETIC_ORDER,GOVERNOR_PROMOTION_HERMETIC_ORDER_4
GOVERNOR_VOIDSINGERS,GOVERNOR_PROMOTION_VOIDSINGERS_1
GOVERNOR_VOIDSINGERS,GOVERNOR_PROMOTION_VOIDSINGERS_2
GOVERNOR_VOIDSINGERS,GOVERNOR_PROMOTION_VOIDSINGERS_3
GOVERNOR_VOIDSINGERS,GOVERNOR_PROMOTION_VOIDSINGERS_4
GOVERNOR_SANGUINE_PACT,GOVERNOR_PROMOTION_SANGUINE_PACT_1
GOVERNOR_SANGUINE_PACT,GOVERNOR_PROMOTION_SANGUINE_PACT_2
GOVERNOR_SANGUINE_PACT,GOVERNOR_PROMOTION_SANGUINE_PACT_3
GOVERNOR_SANGUINE_PACT,GOVERNOR_PROMOTION_SANGUINE_PACT_4
