GovernorPromotionType,Name,Description,Level,Column,BaseAbility
GOVERNOR_PROMOTION_REDOUBT,LOC_GOVERNOR_PROMOTION_REDOUBT_NAME,LOC_GOVERNOR_PROMOTION_REDOUBT_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_GARRISON_COMMANDER,LOC_GOVERNOR_PROMOTION_GARRISON_COMMANDER_NAME,LOC_GOVERNOR_PROMOTION_GARRISON_COMMANDER_DESCRIPTION,1,0,0
GOVERNOR_PROMOTION_DEFENSE_LOGISTICS,LOC_GOVERNOR_PROMOTION_DEFENSE_LOGISTICS_NAME,LOC_GOVERNOR_PROMOTION_DEFENSE_LOGISTICS_DESCRIPTION,1,2,0
GOVERNOR_PROMOTION_EMBRASURE,LOC_GOVERNOR_PROMOTION_EMBRASURE_NAME,LOC_GOVERNOR_PROMOTION_EMBRASURE_DESCRIPTION,2,1,0
GOVERNOR_PROMOTION_AIR_DEFENSE_INITIATIVE,LOC_GOVERNOR_PROMOTION_AIR_DEFENSE_INITIATIVE_NAME,LOC_GOVERNOR_PROMOTION_AIR_DEFENSE_INITIATIVE_DESCRIPTION,3,0,0
GOVERNOR_PROMOTION_EDUCATOR_ARMS_RACE_PROPONENT,LOC_GOVERNOR_PROMOTION_EDUCATOR_ARMS_RACE_PROPONENT_NAME,LOC_GOVERNOR_PROMOTION_EDUCATOR_ARMS_RACE_PROPONENT_DESCRIPTION,3,2,0
GOVERNOR_PROMOTION_AMBASSADOR_MESSENGER,LOC_GOVERNOR_PROMOTION_AMBASSADOR_MESSENGER_NAME,LOC_GOVERNOR_PROMOTION_AMBASSADOR_MESSENGER_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_AMBASSADOR_EMISSARY,LOC_GOVERNOR_PROMOTION_AMBASSADOR_EMISSARY_NAME,LOC_GOVERNOR_PROMOTION_AMBASSADOR_EMISSARY_DESCRIPTION,1,0,0
GOVERNOR_PROMOTION_AMBASSADOR_AFFLUENCE,LOC_GOVERNOR_PROMOTION_AMBASSADOR_AFFLUENCE_NAME,LOC_GOVERNOR_PROMOTION_AMBASSADOR_AFFLUENCE_DESCRIPTION,1,2,0
GOVERNOR_PROMOTION_LOCAL_INFORMANTS,LOC_GOVERNOR_PROMOTION_LOCAL_INFORMANTS_NAME,LOC_GOVERNOR_PROMOTION_LOCAL_INFORMANTS_DESCRIPTION,2,0,0
GOVERNOR_PROMOTION_AMBASSADOR_FOREIGN_INVESTOR,LOC_GOVERNOR_PROMOTION_AMBASSADOR_FOREIGN_INVESTOR_NAME,LOC_GOVERNOR_PROMOTION_AMBASSADOR_FOREIGN_INVESTOR_DESCRIPTION,2,2,0
GOVERNOR_PROMOTION_AMBASSADOR_PUPPETEER,LOC_GOVERNOR_PROMOTION_AMBASSADOR_PUPPETEER_NAME,LOC_GOVERNOR_PROMOTION_AMBASSADOR_PUPPETEER_DESCRIPTION,3,1,0
GOVERNOR_PROMOTION_CARDINAL_BISHOP,LOC_GOVERNOR_PROMOTION_CARDINAL_BISHOP_NAME,LOC_GOVERNOR_PROMOTION_CARDINAL_BISHOP_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_CARDINAL_GRAND_INQUISITOR,LOC_GOVERNOR_PROMOTION_CARDINAL_GRAND_INQUISITOR_NAME,LOC_GOVERNOR_PROMOTION_CARDINAL_GRAND_INQUISITOR_DESCRIPTION,1,0,0
GOVERNOR_PROMOTION_CARDINAL_LAYING_ON_OF_HANDS,LOC_GOVERNOR_PROMOTION_CARDINAL_LAYING_ON_OF_HANDS_NAME,LOC_GOVERNOR_PROMOTION_CARDINAL_LAYING_ON_OF_HANDS_DESCRIPTION,1,2,0
