GovernorType,Name,Description,IdentityPressure,Title,ShortTitle,TransitionStrength,AssignCityState,Image,PortraitImage,PortraitImageSelected,TraitType
GOVERNOR_THE_DEFENDER,LOC_GOVERNOR_THE_DEFENDER_NAME,LOC_GOVERNOR_THE_DEFENDER_DESCRIPTION,8,LOC_GOVERNOR_THE_DEFENDER_TITLE,LOC_GOVERNOR_THE_DEFENDER_SHORT_TITLE,150,0,GOVERNOR_CITY_DEFENDER,GovernorNormal_Defender,GovernorSelected_Defender,
GOVERNOR_THE_AMBASSADOR,LOC_GOVERNOR_THE_AMBASSADOR_NAME,LOC_GOVERNOR_THE_AMBASSADOR_DESCRIPTION,8,LOC_GOVERNOR_THE_AMBASSADOR_TITLE,LOC_GOVERNOR_THE_AMBASSADOR_SHORT_TITLE,100,1,GOVERNOR_THE_AMBASSADOR,GovernorNormal_Ambassador,GovernorSelected_Ambassador,
GOVERNOR_THE_CARDINAL,LOC_GOVERNOR_THE_CARDINAL_NAME,LOC_GOVERNOR_THE_CARDINAL_DESCRIPTION,8,LOC_GOVERNOR_THE_CARDINAL_TITLE,LOC_GOVERNOR_THE_CARDINAL_SHORT_TITLE,100,0,GOVERNOR_CARDINAL,GovernorNormal_Cardinal,GovernorSelected_Cardinal,
GOVERNOR_THE_RESOURCE_MANAGER,LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME,LOC_GOVERNOR_THE_RESOURCE_MANAGER_DESCRIPTION,8,LOC_GOVERNOR_THE_RESOURCE_MANAGER_TITLE,LOC_GOVERNOR_THE_RESOURCE_MANAGER_SHORT_TITLE,100,0,GOVERNOR_STRATEGIC_RESOURCE_MANAGER,GovernorNormal_ResourceManager,GovernorSelected_ResourceManager,
GOVERNOR_THE_BUILDER,LOC_GOVERNOR_THE_BUILDER_NAME,LOC_GOVERNOR_THE_BUILDER_DESCRIPTION,8,LOC_GOVERNOR_THE_BUILDER_TITLE,LOC_GOVERNOR_THE_BUILDER_SHORT_TITLE,100,0,GOVERNOR_DISTRICT_PRODUCTION_MANAGER,GovernorNormal_Builder,GovernorSelected_Builder,
GOVERNOR_THE_EDUCATOR,LOC_GOVERNOR_THE_EDUCATOR_NAME,LOC_GOVERNOR_THE_EDUCATOR_DESCRIPTION,8,LOC_GOVERNOR_THE_EDUCATOR_TITLE,LOC_GOVERNOR_THE_EDUCATOR_SHORT_TITLE,100,0,GOVERNOR_EDUCATOR,GovernorNormal_Educator,GovernorSelected_Educator,
GOVERNOR_THE_MERCHANT,LOC_GOVERNOR_THE_MERCHANT_NAME,LOC_GOVERNOR_THE_MERCHANT_DESCRIPTION,8,LOC_GOVERNOR_THE_MERCHANT_TITLE,LOC_GOVERNOR_THE_MERCHANT_SHORT_TITLE,100,0,GOVERNOR_BREAD_AND_CIRCUSES,GovernorNormal_Merchant,GovernorSelected_Merchant,
GOVERNOR_IBRAHIM,LOC_GOVERNOR_IBRAHIM_NAME,LOC_GOVERNOR_IBRAHIM_DESCRIPTION,8,LOC_GOVERNOR_IBRAHIM_TITLE,LOC_GOVERNOR_IBRAHIM_SHORT_TITLE,150,1,GOVERNOR_IBRAHIM,GovernorNormalXP2_GrandVisier,GovernorSelectedXP2_GrandVisier,TRAIT_LEADER_SULEIMAN_GOVERNOR
GOVERNOR_OWLS_OF_MINERVA,LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME,LOC_SECRETSOCIETY_OWLS_OF_MINERVA_DESCRIPTION,10,LOC_SECRETSOCIETY,LOC_SECRETSOCIETY,100,0,GOVERNOR_CARDINAL,GovernorNormalSTK_OwlsOfMinerva,GovernorSelectedSTK_OwlsOfMinerva,
GOVERNOR_HERMETIC_ORDER,LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME,LOC_SECRETSOCIETY_HERMETIC_ORDER_DESCRIPTION,10,LOC_SECRETSOCIETY,LOC_SECRETSOCIETY,100,0,GOVERNOR_CARDINAL,GovernorNormalSTK_HermeticOrder,GovernorSelectedSTK_HermeticOrder,
GOVERNOR_VOIDSINGERS,LOC_SECRETSOCIETY_VOIDSINGERS_NAME,LOC_SECRETSOCIETY_VOIDSINGERS_DESCRIPTION,10,LOC_SECRETSOCIETY,LOC_SECRETSOCIETY,100,0,GOVERNOR_CARDINAL,GovernorNormalSTK_VoidSingers,GovernorSelectedSTK_VoidSingers,
GOVERNOR_SANGUINE_PACT,LOC_SECRETSOCIETY_SANGUINE_PACT_NAME,LOC_SECRETSOCIETY_SANGUINE_PACT_DESCRIPTION,10,LOC_SECRETSOCIETY,LOC_SECRETSOCIETY,100,0,GOVERNOR_CARDINAL,GovernorNormalSTK_SanguinePact,GovernorSelectedSTK_SanguinePact,
