GreatPersonClassType,Name,UnitType,DistrictType,MaxPlayerInstances,PseudoYieldType,IconString,ActionIcon,AvailableInTimeline,GenerateDuplicateIndividuals
GREAT_PERSON_CLASS_GENERAL,LOC_GREAT_PERSON_CLASS_GENERAL_NAME,UNIT_GREAT_GENERAL,DISTRICT_ENCAMPMENT,,PSEUDOYIELD_GPP_GENERAL,[ICON_GreatGeneral],ICON_UNITOPERATION_GENERAL_ACTION,1,0
GREAT_PERSON_CLASS_ADMIRAL,LOC_GREAT_PERSON_CLASS_ADMIRAL_NAME,UNIT_GREAT_ADMIRAL,DISTRICT_HARBOR,,PSEUDOYIELD_GPP_ADMIRAL,[ICON_GreatAdmiral],ICON_UNITOPERATION_ADMIRAL_ACTION,1,0
GREAT_PERSON_CLASS_ENGINEER,LOC_GREAT_PERSON_CLASS_ENGINEER_NAME,UNIT_GREAT_ENGINEER,DISTRICT_INDUSTRIAL_ZONE,,PSEUDOYIELD_GPP_ENGINEER,[ICON_GreatEngineer],ICON_UNITOPERATION_ENGINEER_ACTION,1,0
GREAT_PERSON_CLASS_MERCHANT,LOC_GREAT_PERSON_CLASS_MERCHANT_NAME,UNIT_GREAT_MERCHANT,DISTRICT_COMMERCIAL_HUB,,PSEUDOYIELD_GPP_MERCHANT,[ICON_GreatMerchant],ICON_UNITOPERATION_MERCHANT_ACTION,1,0
GREAT_PERSON_CLASS_PROPHET,LOC_GREAT_PERSON_CLASS_PROPHET_NAME,UNIT_GREAT_PROPHET,DISTRICT_HOLY_SITE,1.0,PSEUDOYIELD_GPP_PROPHET,[ICON_GreatProphet],ICON_UNITOPERATION_FOUND_RELIGION,1,0
GREAT_PERSON_CLASS_SCIENTIST,LOC_GREAT_PERSON_CLASS_SCIENTIST_NAME,UNIT_GREAT_SCIENTIST,DISTRICT_CAMPUS,,PSEUDOYIELD_GPP_SCIENTIST,[ICON_GreatScientist],ICON_UNITOPERATION_SCIENTIST_ACTION,1,0
GREAT_PERSON_CLASS_WRITER,LOC_GREAT_PERSON_CLASS_WRITER_NAME,UNIT_GREAT_WRITER,DISTRICT_THEATER,,PSEUDOYIELD_GPP_WRITER,[ICON_GreatWriter],ICON_UNITOPERATION_WRITER_ACTION,1,0
GREAT_PERSON_CLASS_ARTIST,LOC_GREAT_PERSON_CLASS_ARTIST_NAME,UNIT_GREAT_ARTIST,DISTRICT_THEATER,,PSEUDOYIELD_GPP_ARTIST,[ICON_GreatArtist],ICON_UNITOPERATION_ARTIST_ACTION,1,0
GREAT_PERSON_CLASS_MUSICIAN,LOC_GREAT_PERSON_CLASS_MUSICIAN_NAME,UNIT_GREAT_MUSICIAN,DISTRICT_THEATER,,PSEUDOYIELD_GPP_MUSICIAN,[ICON_GreatMusician],ICON_UNITOPERATION_MUSICIAN_ACTION,1,0
GREAT_PERSON_CLASS_COMANDANTE_GENERAL,LOC_GREAT_PERSON_CLASS_COMANDANTE_GENERAL_NAME,UNIT_COMANDANTE_GENERAL,DISTRICT_ENCAMPMENT,,PSEUDOYIELD_GPP_GENERAL,[ICON_GreatGeneral],ICON_UNIT_COMANDANTE_GENERAL,0,1
