GreatPersonIndividualType,ModifierId,AttachmentTargetType
GREAT_PERSON_INDIVIDUAL_ARTEMISIA,GREATPERSON_ARTEMISIA_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_GAIUS_DUILIUS,GREATPERSON_GAIUS_DUILIUS_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_THEMISTOCLES,GREATPERSON_THEMISTOCLES_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON,GREATPERSON_LEIF_ERIKSON_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_FRANCIS_DRAKE,GREATPERSON_FRANCIS_DRAKE_ACTIVE_PLUNDER_BONUS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_SANTA_CRUZ,GREATPERSON_SANTA_CRUZ_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_YI_SUN_SIN,GREATPERSON_YI_SUN_SIN_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_CHING_SHIH,GREATPERSON_CHING_SHIH_ACTIVE_PLUNDER_BONUS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_LASKARINA_BOUBOULINA,GREATPERSON_LASKARINA_BOUBOULINA_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_LASKARINA_BOUBOULINA,GREATPERSON_LASKARINA_BOUBOULINA_ACTIVE_UNIT_BONUS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_FRANZ_VON_HIPPER,GREATPERSON_FRANZ_VON_HIPPER_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_GREATPERSON
GREAT_PERSON_INDIVIDUAL_JOAQUIM_MARQUES_LISBOA,GREATPERSON_JOAQUIM_MARQUES_LISBOA_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_PLAYER
GREAT_PERSON_INDIVIDUAL_SERGEY_GORSHKOV,GREATPERSON_SERGEY_GORSHKOV_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_SERGEY_GORSHKOV,GREATPERSON_SERGEY_GORSHKOV_ACTIVE_UNIT_BONUS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_CLANCY_FERNANDO,GREATPERSON_CLANCY_FERNANDO_ACTIVE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_CLANCY_FERNANDO,GREATPERSON_CLANCY_FERNANDO_ACTIVE_UNIT_BONUS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_UNIT_DOMAIN_MILITARY_IN_TILE
GREAT_PERSON_INDIVIDUAL_BI_SHENG,GREATPERSON_EXTRA_DISTRICT_CAPACITY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_BI_SHENG,GREATPERSON_PRINTINGTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ISIDORE_OF_MILETUS,GREATPERSON_GRANT_PRODUCTION_IN_CITY_MEDIEVAL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_WONDER_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE,GREATPERSON_WALLS,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE,GREATPERSON_CASTLE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI,GREATPERSON_GRANT_PRODUCTION_IN_CITY_RENAISSANCE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_WONDER_IN_TILE
GREAT_PERSON_INDIVIDUAL_LEONARDO_DA_VINCI,GREATPERSON_WORKSHOP_CULTURE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_LEONARDO_DA_VINCI,GREATPERSON_1MODERNTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ADA_LOVELACE,GREATPERSON_EXTRA_DISTRICT_CAPACITY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ADA_LOVELACE,GREATPERSON_COMPUTERSTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_GUSTAVE_EIFFEL,GREATPERSON_GRANT_PRODUCTION_IN_CITY_INDUSTRIAL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_WONDER_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAMES_WATT,GREATPERSON_WORKSHOP,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAMES_WATT,GREATPERSON_FACTORY,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JAMES_WATT,GREATPERSON_FACTORIES_PRODUCTION,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ALVAR_AALTO,GREATPERSON_CITY_APPEAL_SMALL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_NIKOLA_TESLA,GREATPERSON_EXTRA_REGIONAL_BUILDING_RANGE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_NIKOLA_TESLA,GREATPERSON_EXTRA_REGIONAL_BUILDING_PRODUCTION,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ROBERT_GODDARD,GREATPERSON_SPACE_RACE_PRODUCTION_RATE_SMALL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_ROBERT_GODDARD,GREATPERSON_ROCKETRYTECHBOOST,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOHN_A_ROEBLING,GREATPERSON_CITY_HOUSING_MEDIUM,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOHN_A_ROEBLING,GREATPERSON_CITY_AMENITIES_SMALL,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JANE_DREW,GREATPERSON_CITY_HOUSING_LARGE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JANE_DREW,GREATPERSON_CITY_AMENITIES_LARGE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_SERGEI_KOROLEV,GREATPERSON_GRANT_PRODUCTION_IN_CITY_EARLY_SPACE_RACE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_CHARLES_CORREA,GREATPERSON_CITY_APPEAL_LARGE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOSEPH_PAXTON,GREATPERSON_EXTRA_REGIONAL_BUILDING_RANGE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_JOSEPH_PAXTON,GREATPERSON_EXTRA_REGIONAL_BUILDING_ENTERTAINMENT,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
GREAT_PERSON_INDIVIDUAL_WERNHER_VON_BRAUN,GREATPERSON_SPACE_RACE_PRODUCTION_RATE_LARGE,GREAT_PERSON_ACTION_ATTACHMENT_TARGET_DISTRICT_IN_TILE
