GreatPersonIndividualType,ModifierId
GREAT_PERSON_INDIVIDUAL_ARTEMISIA,GREATPERSON_COMBAT_STRENGTH_AOE_CLASSICAL_SEA
GREAT_PERSON_INDIVIDUAL_ARTEMISIA,GREATPERSON_MOVEMENT_AOE_CLASSICAL_SEA
GREAT_PERSON_INDIVIDUAL_GAIUS_DUILIUS,GREATPERSON_COMBAT_STRENGTH_AOE_CLASSICAL_SEA
GREAT_PERSON_INDIVIDUAL_GAIUS_DUILIUS,GREATPERSON_MOVEMENT_AOE_CLASSICAL_SEA
GREAT_PERSON_INDIVIDUAL_THEMISTOCLES,GREATPERSON_COMBAT_STRENGTH_AOE_CLASSICAL_SEA
GREAT_PERSON_INDIVIDUAL_THEMISTOCLES,GREATPERSON_MOVEMENT_AOE_CLASSICAL_SEA
GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON,GREATPERSON_COMBAT_STRENGTH_AOE_MEDIEVAL_SEA
GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON,GREATPERSON_MOVEMENT_AOE_MEDIEVAL_SEA
GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA,GREATPERSON_COMBAT_STRENGTH_AOE_MEDIEVAL_SEA
GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA,GREATPERSON_MOVEMENT_AOE_MEDIEVAL_SEA
GREAT_PERSON_INDIVIDUAL_ZHENG_HE,GREATPERSON_COMBAT_STRENGTH_AOE_MEDIEVAL_SEA
GREAT_PERSON_INDIVIDUAL_ZHENG_HE,GREATPERSON_MOVEMENT_AOE_MEDIEVAL_SEA
GREAT_PERSON_INDIVIDUAL_FRANCIS_DRAKE,GREATPERSON_COMBAT_STRENGTH_AOE_RENAISSANCE_SEA
GREAT_PERSON_INDIVIDUAL_FRANCIS_DRAKE,GREATPERSON_MOVEMENT_AOE_RENAISSANCE_SEA
GREAT_PERSON_INDIVIDUAL_SANTA_CRUZ,GREATPERSON_COMBAT_STRENGTH_AOE_RENAISSANCE_SEA
GREAT_PERSON_INDIVIDUAL_SANTA_CRUZ,GREATPERSON_MOVEMENT_AOE_RENAISSANCE_SEA
GREAT_PERSON_INDIVIDUAL_YI_SUN_SIN,GREATPERSON_COMBAT_STRENGTH_AOE_RENAISSANCE_SEA
GREAT_PERSON_INDIVIDUAL_YI_SUN_SIN,GREATPERSON_MOVEMENT_AOE_RENAISSANCE_SEA
GREAT_PERSON_INDIVIDUAL_CHING_SHIH,GREATPERSON_COMBAT_STRENGTH_AOE_INDUSTRIAL_SEA
GREAT_PERSON_INDIVIDUAL_CHING_SHIH,GREATPERSON_MOVEMENT_AOE_INDUSTRIAL_SEA
