GreatPersonIndividualType,Name,GreatPersonClassType,EraType,ActionCharges,ActionRequiresOwnedTile,ActionRequiresUnownedTile,ActionRequiresAdjacentMountain,ActionRequiresAdjacentOwnedTile,ActionRequiresAdjacentBarbarianUnit,ActionRequiresOnOrAdjacentNaturalWonder,ActionRequiresOnOrAdjacentFeatureType,ActionRequiresIncompleteWonder,ActionRequiresIncompleteSpaceRaceProject,ActionRequiresVisibleLuxury,ActionRequiresNoMilitaryUnit,ActionRequiresPlayerRelicSlot,ActionRequiresMilitaryUnitDomain,ActionRequiresUnitMilitaryFormation,ActionRequiresNearbyUnitWithTagA,ActionRequiresNearbyUnitWithTagB,ActionRequiresLandMilitaryUnitWithinXTiles,ActionRequiresEnemyMilitaryUnitWithinXTiles,ActionRequiresCityGreatWorkObjectType,ActionRequiresCompletedDistrictType,ActionRequiresMissingBuildingType,ActionRequiresGoldCost,ActionNameTextOverride,ActionEffectTextOverride,ActionEffectTileHighlighting,BirthNameTextOverride,BirthEffectTextOverride,AreaHighlightRadius,Gender,ActionRequiresEnemyTerritory,ActionRequiresCityStateTerritory,ActionRequiresNonHostileTerritory,ActionRequiresSuzerainTerritory,ActionRequiresUnitCanGainExperience
GREAT_PERSON_INDIVIDUAL_ARTEMISIA,LOC_GREAT_PERSON_INDIVIDUAL_ARTEMISIA_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_CLASSICAL,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_SEA,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,F,0,0,0,0,1
GREAT_PERSON_INDIVIDUAL_GAIUS_DUILIUS,LOC_GREAT_PERSON_INDIVIDUAL_GAIUS_DUILIUS_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_CLASSICAL,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_SEA,STANDARD_MILITARY_FORMATION,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_THEMISTOCLES,LOC_GREAT_PERSON_INDIVIDUAL_THEMISTOCLES_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_CLASSICAL,1,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON,LOC_GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_MEDIEVAL,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA,LOC_GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_MEDIEVAL,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_ZHENG_HE,LOC_GREAT_PERSON_INDIVIDUAL_ZHENG_HE_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_MEDIEVAL,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_HARBOR,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,1,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_FRANCIS_DRAKE,LOC_GREAT_PERSON_INDIVIDUAL_FRANCIS_DRAKE_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_RENAISSANCE,1,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_SANTA_CRUZ,LOC_GREAT_PERSON_INDIVIDUAL_SANTA_CRUZ_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_RENAISSANCE,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_SEA,STANDARD_MILITARY_FORMATION,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_YI_SUN_SIN,LOC_GREAT_PERSON_INDIVIDUAL_YI_SUN_SIN_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_RENAISSANCE,1,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_CHING_SHIH,LOC_GREAT_PERSON_INDIVIDUAL_CHING_SHIH_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_INDUSTRIAL,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,F,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_HORATIO_NELSON,LOC_GREAT_PERSON_INDIVIDUAL_HORATIO_NELSON_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_INDUSTRIAL,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,DISTRICT_HARBOR,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,1,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_LASKARINA_BOUBOULINA,LOC_GREAT_PERSON_INDIVIDUAL_LASKARINA_BOUBOULINA_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_INDUSTRIAL,1,0,0,0,0,0,0,,0,0,0,0,0,DOMAIN_SEA,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,F,0,0,0,0,1
GREAT_PERSON_INDIVIDUAL_FRANZ_VON_HIPPER,LOC_GREAT_PERSON_INDIVIDUAL_FRANZ_VON_HIPPER_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_MODERN,1,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_JOAQUIM_MARQUES_LISBOA,LOC_GREAT_PERSON_INDIVIDUAL_JOAQUIM_MARQUES_LISBOA_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_MODERN,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_CHESTER_NIMITZ,LOC_GREAT_PERSON_INDIVIDUAL_CHESTER_NIMITZ_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_ATOMIC,1,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,M,0,0,0,0,0
GREAT_PERSON_INDIVIDUAL_GRACE_HOPPER,LOC_GREAT_PERSON_INDIVIDUAL_GRACE_HOPPER_NAME,GREAT_PERSON_CLASS_ADMIRAL,ERA_ATOMIC,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,LOC_GREATPERSON_ACTION_NAME_RETIRE,,0,,,2.0,F,0,0,0,0,0
