GreatWorkSlotType,GreatWorkObjectType
GREATWORKSLOT_WRITING,GREATWORKOBJECT_WRITING
GREATWORKSLOT_PALACE,GREATWORKOBJECT_SCULPTURE
GREATWORKSLOT_PALACE,GREATWORKOBJECT_PORTRAIT
GREATWORKSLOT_PALACE,GREATWORKOBJECT_LANDSCAPE
GREATWORKSLOT_PALACE,GREATWORKOBJECT_RELIGIOUS
GREATWORKSLOT_PALACE,GREATWORKOBJECT_WRITING
GREATWORKSLOT_PALACE,GREATWORKOBJECT_MUSIC
GREATWORKSLOT_PALACE,GREATWORKOBJECT_RELIC
GREATWORKSLOT_ART,GREATWORKOBJECT_SCULPTURE
GREATWORKSLOT_ART,GREATWORKOBJECT_PORTRAIT
GREATWORKSLOT_ART,GREATWORKOBJECT_LANDSCAPE
GREATWORKSLOT_ART,GREATWORKOBJECT_RELIGIOUS
GREATWORKSLOT_CATHEDRAL,GREATWORKOBJECT_RELIGIOUS
GREATWORKSLOT_ARTIFACT,GREATWORKOBJECT_ARTIFACT
GREATWORKSLOT_MUSIC,GREATWORKOBJECT_MUSIC
GREATWORKSLOT_RELIC,GREATWORKOBJECT_RELIC
GREATWORKSLOT_HERO,GREATWORKOBJECT_HERO
