GreatWorkType,YieldType,YieldChange
GREATWORK_BHASA_1,YIELD_CULTURE,2
GREATWORK_BHASA_2,YIELD_CULTURE,2
GREATWORK_HOMER_1,YIELD_CULTURE,2
GREATWORK_HOMER_2,YIELD_CULTURE,2
GREATWORK_OVID_1,YIELD_CULTURE,2
GREATWORK_OVID_2,YIELD_CULTURE,2
GREATWORK_QU_YUAN_1,YIELD_CULTURE,2
GREATWORK_QU_YUAN_2,YIELD_CULTURE,2
GREATWORK_CHAUCER_1,YIELD_CULTURE,2
GREATWORK_CHAUCER_2,YIELD_CULTURE,2
GREATWORK_LI_BAI_1,YIELD_CULTURE,2
GREATWORK_LI_BAI_2,YIELD_CULTURE,2
GREATWORK_MURASAKI_1,YIELD_CULTURE,2
GREATWORK_MURASAKI_2,YIELD_CULTURE,2
GREATWORK_CAVENDISH_1,YIELD_CULTURE,2
GREATWORK_CAVENDISH_2,YIELD_CULTURE,2
GREATWORK_CERVANTES_1,YIELD_CULTURE,2
GREATWORK_CERVANTES_2,YIELD_CULTURE,2
GREATWORK_MACHIAVELLI_1,YIELD_CULTURE,2
GREATWORK_MACHIAVELLI_2,YIELD_CULTURE,2
GREATWORK_SHAKESPEARE_1,YIELD_CULTURE,2
GREATWORK_SHAKESPEARE_2,YIELD_CULTURE,2
GREATWORK_D_AULNOY_1,YIELD_CULTURE,2
GREATWORK_D_AULNOY_2,YIELD_CULTURE,2
GREATWORK_PUSHKIN_1,YIELD_CULTURE,2
GREATWORK_PUSHKIN_2,YIELD_CULTURE,2
GREATWORK_POE_1,YIELD_CULTURE,2
GREATWORK_POE_2,YIELD_CULTURE,2
GREATWORK_AUSTEN_1,YIELD_CULTURE,2
GREATWORK_AUSTEN_2,YIELD_CULTURE,2
GREATWORK_GOETHE_1,YIELD_CULTURE,2
GREATWORK_GOETHE_2,YIELD_CULTURE,2
GREATWORK_SHELLEY_1,YIELD_CULTURE,2
GREATWORK_SHELLEY_2,YIELD_CULTURE,2
GREATWORK_JOYCE_1,YIELD_CULTURE,2
GREATWORK_JOYCE_2,YIELD_CULTURE,2
GREATWORK_DICKINSON_1,YIELD_CULTURE,2
GREATWORK_DICKINSON_2,YIELD_CULTURE,2
GREATWORK_TOLSTOY_1,YIELD_CULTURE,2
GREATWORK_TOLSTOY_2,YIELD_CULTURE,2
GREATWORK_TWAIN_1,YIELD_CULTURE,2
GREATWORK_TWAIN_2,YIELD_CULTURE,2
GREATWORK_FITZGERALD_1,YIELD_CULTURE,2
GREATWORK_FITZGERALD_2,YIELD_CULTURE,2
GREATWORK_WELLS_1,YIELD_CULTURE,2
GREATWORK_WELLS_2,YIELD_CULTURE,2
GREATWORK_TAGORE_1,YIELD_CULTURE,2
GREATWORK_TAGORE_2,YIELD_CULTURE,2
GREATWORK_CAPEK_1,YIELD_CULTURE,2
GREATWORK_CAPEK_2,YIELD_CULTURE,2
GREATWORK_SUN_TZU,YIELD_CULTURE,2
GREATWORK_RUBLEV_1,YIELD_CULTURE,3
GREATWORK_RUBLEV_2,YIELD_CULTURE,3
GREATWORK_RUBLEV_3,YIELD_CULTURE,3
GREATWORK_BOSCH_1,YIELD_CULTURE,3
GREATWORK_BOSCH_2,YIELD_CULTURE,3
GREATWORK_BOSCH_3,YIELD_CULTURE,3
GREATWORK_DONATELLO_1,YIELD_CULTURE,3
GREATWORK_DONATELLO_2,YIELD_CULTURE,3
GREATWORK_DONATELLO_3,YIELD_CULTURE,3
GREATWORK_MICHELANGELO_1,YIELD_CULTURE,3
GREATWORK_MICHELANGELO_2,YIELD_CULTURE,3
GREATWORK_MICHELANGELO_3,YIELD_CULTURE,3
GREATWORK_YING_1,YIELD_CULTURE,3
GREATWORK_YING_2,YIELD_CULTURE,3
GREATWORK_YING_3,YIELD_CULTURE,3
GREATWORK_TITIAN_1,YIELD_CULTURE,3
GREATWORK_TITIAN_2,YIELD_CULTURE,3
GREATWORK_TITIAN_3,YIELD_CULTURE,3
GREATWORK_GRECO_1,YIELD_CULTURE,3
GREATWORK_GRECO_2,YIELD_CULTURE,3
GREATWORK_GRECO_3,YIELD_CULTURE,3
GREATWORK_REMBRANDT_1,YIELD_CULTURE,3
GREATWORK_REMBRANDT_2,YIELD_CULTURE,3
GREATWORK_REMBRANDT_3,YIELD_CULTURE,3
GREATWORK_ANGUISSOLA_1,YIELD_CULTURE,3
