GreatWorkType,GreatWorkObjectType,GreatPersonIndividualType,Name,Audio,Image,Quote,Tourism,EraType
GREATWORK_BHASA_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_BHASA,LOC_GREATWORK_BHASA_1_NAME,GREAT_WRITING_QUOTE_1,,LOC_GREATWORK_BHASA_1_QUOTE,2,
GREATWORK_BHASA_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_BHASA,LOC_GREATWORK_BHASA_2_NAME,GREAT_WRITING_QUOTE_2,,LOC_GREATWORK_BHASA_2_QUOTE,2,
GREATWORK_HOMER_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_HOMER,LOC_GREATWORK_HOMER_1_NAME,GREAT_WRITING_QUOTE_3,,LOC_GREATWORK_HOMER_1_QUOTE,2,
GREATWORK_HOMER_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_HOMER,LOC_GREATWORK_HOMER_2_NAME,GREAT_WRITING_QUOTE_4,,LOC_GREATWORK_HOMER_2_QUOTE,2,
GREATWORK_OVID_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_OVID,LOC_GREATWORK_OVID_1_NAME,GREAT_WRITING_QUOTE_5,,LOC_GREATWORK_OVID_1_QUOTE,2,
GREATWORK_OVID_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_OVID,LOC_GREATWORK_OVID_2_NAME,GREAT_WRITING_QUOTE_6,,LOC_GREATWORK_OVID_2_QUOTE,2,
GREATWORK_QU_YUAN_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_QU_YUAN,LOC_GREATWORK_QU_YUAN_1_NAME,GREAT_WRITING_QUOTE_7,,LOC_GREATWORK_QU_YUAN_1_QUOTE,2,
GREATWORK_QU_YUAN_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_QU_YUAN,LOC_GREATWORK_QU_YUAN_2_NAME,GREAT_WRITING_QUOTE_8,,LOC_GREATWORK_QU_YUAN_2_QUOTE,2,
GREATWORK_CHAUCER_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_GEOFFREY_CHAUCER,LOC_GREATWORK_CHAUCER_1_NAME,GREAT_WRITING_QUOTE_11,,LOC_GREATWORK_CHAUCER_1_QUOTE,2,
GREATWORK_CHAUCER_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_GEOFFREY_CHAUCER,LOC_GREATWORK_CHAUCER_2_NAME,GREAT_WRITING_QUOTE_12,,LOC_GREATWORK_CHAUCER_2_QUOTE,2,
GREATWORK_LI_BAI_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_LI_BAI,LOC_GREATWORK_LI_BAI_1_NAME,GREAT_WRITING_QUOTE_13,,LOC_GREATWORK_LI_BAI_1_QUOTE,2,
