GreatWorkType,RequiredGovernor
GREATWORK_RELIC_25,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_26,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_27,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_28,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_29,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_30,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_31,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_32,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_33,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_34,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_35,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_36,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_37,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_38,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_39,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_40,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_41,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_42,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_43,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_44,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_45,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_46,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_47,GOVERNOR_VOIDSINGERS
GREATWORK_RELIC_48,GOVERNOR_VOIDSINGERS
