HeroClassType,EraType,CombatStrength,RangedCombatStrength,AbilityCharges
HEROCLASS_ANANSI,ERA_CLASSICAL,28,40.0,
HEROCLASS_ANANSI,ERA_MEDIEVAL,36,48.0,
HEROCLASS_ANANSI,ERA_RENAISSANCE,48,60.0,
HEROCLASS_ANANSI,ERA_INDUSTRIAL,60,72.0,
HEROCLASS_ANANSI,ERA_MODERN,72,88.0,
HEROCLASS_ANANSI,ERA_ATOMIC,84,102.0,
HEROCLASS_ANANSI,ERA_INFORMATION,88,106.0,
HEROCLASS_ARTHUR,ERA_CLASSICAL,50,,
HEROCLASS_ARTHUR,ERA_MEDIEVAL,64,,
HEROCLASS_ARTHUR,ERA_RENAISSANCE,72,,
HEROCLASS_ARTHUR,ERA_INDUSTRIAL,80,,
HEROCLASS_ARTHUR,ERA_MODERN,94,,
HEROCLASS_ARTHUR,ERA_ATOMIC,108,,
HEROCLASS_ARTHUR,ERA_INFORMATION,120,,
HEROCLASS_BEOWULF,ERA_CLASSICAL,46,,
HEROCLASS_BEOWULF,ERA_MEDIEVAL,60,,
HEROCLASS_BEOWULF,ERA_RENAISSANCE,72,,
HEROCLASS_BEOWULF,ERA_INDUSTRIAL,86,,
HEROCLASS_BEOWULF,ERA_MODERN,98,,
HEROCLASS_BEOWULF,ERA_ATOMIC,108,,
HEROCLASS_BEOWULF,ERA_INFORMATION,118,,
HEROCLASS_HERCULES,ERA_CLASSICAL,48,,
HEROCLASS_HERCULES,ERA_MEDIEVAL,62,,
HEROCLASS_HERCULES,ERA_RENAISSANCE,76,,
HEROCLASS_HERCULES,ERA_INDUSTRIAL,88,,
HEROCLASS_HERCULES,ERA_MODERN,102,,
HEROCLASS_HERCULES,ERA_ATOMIC,112,,
HEROCLASS_HERCULES,ERA_INFORMATION,122,,
HEROCLASS_HIPPOLYTA,ERA_CLASSICAL,44,,
HEROCLASS_HIPPOLYTA,ERA_MEDIEVAL,58,,
HEROCLASS_HIPPOLYTA,ERA_RENAISSANCE,70,,
HEROCLASS_HIPPOLYTA,ERA_INDUSTRIAL,82,,
HEROCLASS_HIPPOLYTA,ERA_MODERN,94,,
HEROCLASS_HIPPOLYTA,ERA_ATOMIC,104,,
HEROCLASS_HIPPOLYTA,ERA_INFORMATION,114,,
HEROCLASS_HUNAHPU,ERA_CLASSICAL,42,,
HEROCLASS_HUNAHPU,ERA_MEDIEVAL,54,,
HEROCLASS_HUNAHPU,ERA_RENAISSANCE,64,,
HEROCLASS_HUNAHPU,ERA_INDUSTRIAL,76,,
HEROCLASS_HUNAHPU,ERA_MODERN,88,,
HEROCLASS_HUNAHPU,ERA_ATOMIC,96,,
HEROCLASS_HUNAHPU,ERA_INFORMATION,106,,
HEROCLASS_MAUI,ERA_CLASSICAL,42,,
HEROCLASS_MAUI,ERA_MEDIEVAL,54,,
HEROCLASS_MAUI,ERA_RENAISSANCE,66,,
HEROCLASS_MAUI,ERA_INDUSTRIAL,78,,
HEROCLASS_MAUI,ERA_MODERN,90,,
HEROCLASS_MAUI,ERA_ATOMIC,100,,
HEROCLASS_MAUI,ERA_INFORMATION,108,,
HEROCLASS_MULAN,ERA_CLASSICAL,24,36.0,
HEROCLASS_MULAN,ERA_MEDIEVAL,32,44.0,
HEROCLASS_MULAN,ERA_RENAISSANCE,42,54.0,
HEROCLASS_MULAN,ERA_INDUSTRIAL,54,66.0,
HEROCLASS_MULAN,ERA_MODERN,64,80.0,
HEROCLASS_MULAN,ERA_ATOMIC,74,92.0,
HEROCLASS_MULAN,ERA_INFORMATION,78,96.0,
HEROCLASS_OYA,ERA_CLASSICAL,42,,
HEROCLASS_OYA,ERA_MEDIEVAL,54,,
HEROCLASS_OYA,ERA_RENAISSANCE,66,,
HEROCLASS_OYA,ERA_INDUSTRIAL,78,,
HEROCLASS_OYA,ERA_MODERN,90,,
HEROCLASS_OYA,ERA_ATOMIC,98,,
HEROCLASS_OYA,ERA_INFORMATION,108,,
HEROCLASS_SINBAD,ERA_CLASSICAL,42,,
HEROCLASS_SINBAD,ERA_MEDIEVAL,52,,
HEROCLASS_SINBAD,ERA_RENAISSANCE,60,,
HEROCLASS_SINBAD,ERA_INDUSTRIAL,72,,
HEROCLASS_SINBAD,ERA_MODERN,88,,
HEROCLASS_SINBAD,ERA_ATOMIC,102,,
HEROCLASS_SINBAD,ERA_INFORMATION,114,,
HEROCLASS_WUKONG,ERA_CLASSICAL,44,,
HEROCLASS_WUKONG,ERA_MEDIEVAL,56,,
HEROCLASS_WUKONG,ERA_RENAISSANCE,68,,
HEROCLASS_WUKONG,ERA_INDUSTRIAL,80,,
HEROCLASS_WUKONG,ERA_MODERN,92,,
HEROCLASS_WUKONG,ERA_ATOMIC,102,,
HEROCLASS_WUKONG,ERA_INFORMATION,110,,
HEROCLASS_ANANSI,ERA_FUTURE,90,108.0,
HEROCLASS_ARTHUR,ERA_FUTURE,132,,
HEROCLASS_BEOWULF,ERA_FUTURE,130,,
HEROCLASS_HERCULES,ERA_FUTURE,136,,
HEROCLASS_HIPPOLYTA,ERA_FUTURE,126,,
HEROCLASS_HUNAHPU,ERA_FUTURE,116,,
HEROCLASS_MAUI,ERA_FUTURE,120,,
HEROCLASS_MULAN,ERA_FUTURE,80,98.0,
HEROCLASS_OYA,ERA_FUTURE,118,,
HEROCLASS_SINBAD,ERA_FUTURE,126,,
HEROCLASS_WUKONG,ERA_FUTURE,122,,
