HeroClassType,UnitCommandType,Passive
HEROCLASS_ANANSI,UNITCOMMAND_RESOURCE_INSPIRE,0
HEROCLASS_ARTHUR,UNITCOMMAND_TRANSFORM_UNIT,0
HEROCLASS_BEOWULF,UNITCOMMAND_KILL_WEAKER_UNIT,0
HEROCLASS_HERCULES,UNITCOMMAND_COMPLETE_DISTRICT,0
HEROCLASS_HERCULES,UNITCOMMAND_DESTROY_DEVELOPMENT,0
HEROCLASS_HIMIKO,UNITCOMMAND_GRANT_ENVOY,0
HEROCLASS_HIMIKO,UNITCOMMAND_FORCE_LEVY_MILITARY,0
HEROCLASS_HIPPOLYTA,UNITCOMMAND_RESTORE_UNIT_MOVES,0
HEROCLASS_MAUI,UNITCOMMAND_CREATE_RANDOM_RESOURCE,0
HEROCLASS_OYA,UNITCOMMAND_AREA_DAMAGE_HEAL,0
HEROCLASS_SINBAD,UNITCOMMAND_NAVAL_GOLD_RAID,0
