HeroClassType,Name,Description,UnitType,CreationProjectType,ArtifactGreatWorkType,EpicGreatWorkType,DiscoveryMinEraType
HEROCLASS_ANANSI,LOC_UNIT_HERO_ANANSI_NAME,LOC_UNIT_HERO_ANANSI_DESCRIPTION,UNIT_HERO_ANANSI,PROJECT_CREATE_HERO_ANANSI,GREATWORK_HERO_SYMBOL_ANANSI,GREATWORK_HERO_EPIC_ANANSI,
HEROCLASS_ARTHUR,LOC_UNIT_HERO_ARTHUR_NAME,LOC_UNIT_HERO_ARTHUR_DESCRIPTION,UNIT_HERO_ARTHUR,PROJECT_CREATE_HERO_ARTHUR,GREATWORK_HERO_SYMBOL_ARTHUR,GREATWORK_HERO_EPIC_ARTHUR,
HEROCLASS_BEOWULF,LOC_UNIT_HERO_BEOWULF_NAME,LOC_UNIT_HERO_BEOWULF_DESCRIPTION,UNIT_HERO_BEOWULF,PROJECT_CREATE_HERO_BEOWULF,GREATWORK_HERO_SYMBOL_BEOWULF,GREATWORK_HERO_EPIC_BEOWULF,
HEROCLASS_HERCULES,LOC_UNIT_HERO_HERCULES_NAME,LOC_UNIT_HERO_HERCULES_DESCRIPTION,UNIT_HERO_HERCULES,PROJECT_CREATE_HERO_HERCULES,GREATWORK_HERO_SYMBOL_HERCULES,GREATWORK_HERO_EPIC_HERCULES,
HEROCLASS_HIMIKO,LOC_UNIT_HERO_HIMIKO_NAME,LOC_UNIT_HERO_HIMIKO_DESCRIPTION,UNIT_HERO_HIMIKO,PROJECT_CREATE_HERO_HIMIKO,GREATWORK_HERO_SYMBOL_HIMIKO,GREATWORK_HERO_EPIC_HIMIKO,
HEROCLASS_HIPPOLYTA,LOC_UNIT_HERO_HIPPOLYTA_NAME,LOC_UNIT_HERO_HIPPOLYTA_DESCRIPTION,UNIT_HERO_HIPPOLYTA,PROJECT_CREATE_HERO_HIPPOLYTA,GREATWORK_HERO_SYMBOL_HIPPOLYTA,GREATWORK_HERO_EPIC_HIPPOLYTA,
HEROCLASS_HUNAHPU,LOC_UNIT_HERO_HUNAHPU_NAME,LOC_UNIT_HERO_HUNAHPU_DESCRIPTION,UNIT_HERO_HUNAHPU,PROJECT_CREATE_HERO_HUNAHPU,GREATWORK_HERO_SYMBOL_HUNAHPU,GREATWORK_HERO_EPIC_HUNAHPU,
HEROCLASS_MAUI,LOC_UNIT_HERO_MAUI_NAME,LOC_UNIT_HERO_MAUI_DESCRIPTION,UNIT_HERO_MAUI,PROJECT_CREATE_HERO_MAUI,GREATWORK_HERO_SYMBOL_MAUI,GREATWORK_HERO_EPIC_MAUI,
HEROCLASS_MULAN,LOC_UNIT_HERO_MULAN_NAME,LOC_UNIT_HERO_MULAN_DESCRIPTION,UNIT_HERO_MULAN,PROJECT_CREATE_HERO_MULAN,GREATWORK_HERO_SYMBOL_MULAN,GREATWORK_HERO_EPIC_MULAN,
HEROCLASS_OYA,LOC_UNIT_HERO_OYA_NAME,LOC_UNIT_HERO_OYA_DESCRIPTION,UNIT_HERO_OYA,PROJECT_CREATE_HERO_OYA,GREATWORK_HERO_SYMBOL_OYA,GREATWORK_HERO_EPIC_OYA,
HEROCLASS_SINBAD,LOC_UNIT_HERO_SINBAD_NAME,LOC_UNIT_HERO_SINBAD_DESCRIPTION,UNIT_HERO_SINBAD,PROJECT_CREATE_HERO_SINBAD,GREATWORK_HERO_SYMBOL_SINBAD,GREATWORK_HERO_EPIC_SINBAD,
HEROCLASS_WUKONG,LOC_UNIT_HERO_WUKONG_NAME,LOC_UNIT_HERO_WUKONG_DESCRIPTION,UNIT_HERO_WUKONG,PROJECT_CREATE_HERO_WUKONG,GREATWORK_HERO_SYMBOL_WUKONG,GREATWORK_HERO_EPIC_WUKONG,
