HistoricLeader,Quote,Score
LOC_UI_ENDGAME_RANKING_LEADER_1_NAME,LOC_UI_ENDGAME_RANKING_LEADER_1_QUOTE,2500
LOC_UI_ENDGAME_RANKING_LEADER_2_NAME,LOC_UI_ENDGAME_RANKING_LEADER_2_QUOTE,2250
LOC_UI_ENDGAME_RANKING_LEADER_3_NAME,LOC_UI_ENDGAME_RANKING_LEADER_3_QUOTE,2000
LOC_UI_ENDGAME_RANKING_LEADER_4_NAME,LOC_UI_ENDGAME_RANKING_LEADER_4_QUOTE,1900
LOC_UI_ENDGAME_RANKING_LEADER_5_NAME,LOC_UI_ENDGAME_RANKING_LEADER_5_QUOTE,1800
LOC_UI_ENDGAME_RANKING_LEADER_6_NAME,LOC_UI_ENDGAME_RANKING_LEADER_6_QUOTE,1700
LOC_UI_ENDGAME_RANKING_LEADER_7_NAME,LOC_UI_ENDGAME_RANKING_LEADER_7_QUOTE,1600
LOC_UI_ENDGAME_RANKING_LEADER_8_NAME,LOC_UI_ENDGAME_RANKING_LEADER_8_QUOTE,1500
LOC_UI_ENDGAME_RANKING_LEADER_9_NAME,LOC_UI_ENDGAME_RANKING_LEADER_9_QUOTE,1400
LOC_UI_ENDGAME_RANKING_LEADER_10_NAME,LOC_UI_ENDGAME_RANKING_LEADER_10_QUOTE,1300
LOC_UI_ENDGAME_RANKING_LEADER_11_NAME,LOC_UI_ENDGAME_RANKING_LEADER_11_QUOTE,1200
LOC_UI_ENDGAME_RANKING_LEADER_12_NAME,LOC_UI_ENDGAME_RANKING_LEADER_12_QUOTE,1100
LOC_UI_ENDGAME_RANKING_LEADER_13_NAME,LOC_UI_ENDGAME_RANKING_LEADER_13_QUOTE,1000
LOC_UI_ENDGAME_RANKING_LEADER_14_NAME,LOC_UI_ENDGAME_RANKING_LEADER_14_QUOTE,900
LOC_UI_ENDGAME_RANKING_LEADER_15_NAME,LOC_UI_ENDGAME_RANKING_LEADER_15_QUOTE,800
LOC_UI_ENDGAME_RANKING_LEADER_16_NAME,LOC_UI_ENDGAME_RANKING_LEADER_16_QUOTE,700
LOC_UI_ENDGAME_RANKING_LEADER_17_NAME,LOC_UI_ENDGAME_RANKING_LEADER_17_QUOTE,600
LOC_UI_ENDGAME_RANKING_LEADER_18_NAME,LOC_UI_ENDGAME_RANKING_LEADER_18_QUOTE,500
LOC_UI_ENDGAME_RANKING_LEADER_19_NAME,LOC_UI_ENDGAME_RANKING_LEADER_19_QUOTE,400
LOC_UI_ENDGAME_RANKING_LEADER_20_NAME,LOC_UI_ENDGAME_RANKING_LEADER_20_QUOTE,300
LOC_UI_ENDGAME_RANKING_LEADER_21_NAME,LOC_UI_ENDGAME_RANKING_LEADER_21_QUOTE,0
