LeaderType,AgendaType
LEADER_BARBAROSSA,AGENDA_IRON_CROWN
LEADER_CATHERINE_DE_MEDICI,AGENDA_BLACK_QUEEN
LEADER_CLEOPATRA,AGENDA_QUEEN_OF_NILE
LEADER_GANDHI,AGENDA_PEACEKEEPER
LEADER_GILGAMESH,AGENDA_ALLY_OF_ENKIDU
LEADER_GORGO,AGENDA_WITH_YOUR_SHIELD_OR_ON_IT
LEADER_HARDRADA,AGENDA_LAST_VIKING_KING
LEADER_HOJO,AGENDA_BUSHIDO
LEADER_MVEMBA,AGENDA_ENTHUSIASTIC_DISCIPLE
LEADER_PEDRO,AGENDA_GREAT_PERSON_OBSESSED
LEADER_PERICLES,AGENDA_DELIAN_LEAGUE
LEADER_PETER_GREAT,AGENDA_WESTERNIZER
LEADER_PHILIP_II,AGENDA_COUNTER_REFORMER
LEADER_QIN,AGENDA_WONDER_OBSESSED
LEADER_SALADIN,AGENDA_AYYUBID_DYNASTY
LEADER_TOMYRIS,AGENDA_BACKSTAB_AVERSE
LEADER_TRAJAN,AGENDA_OPTIMUS_PRINCEPS
LEADER_VICTORIA,AGENDA_SUN_NEVER_SETS
LEADER_MONTEZUMA,AGENDA_TLATOANI
LEADER_GITARJA,AGENDA_ARCHIPELAGIC_STATE
LEADER_JAYAVARMAN,AGENDA_END_TO_SUFFERING
LEADER_JADWIGA,AGENDA_SAINT
LEADER_AMANITORE,AGENDA_CITY_PLANNER
LEADER_ALEXANDER,AGENDA_SHORT_LIFE_GLORY
LEADER_CYRUS,AGENDA_BACKSTABBER
LEADER_JOHN_CURTIN,AGENDA_PERPETUALLY_ON_GUARD
LEADER_CHANDRAGUPTA,AGENDA_MAURYA_EMPIRE
LEADER_GENGHIS_KHAN,AGENDA_HORSE_LORD
LEADER_LAUTARO,AGENDA_SPIRIT_OF_TUCAPEL
LEADER_POUNDMAKER,AGENDA_IRON_CONFEDERACY
LEADER_ROBERT_THE_BRUCE,AGENDA_FLOWER_OF_SCOTLAND
LEADER_SEONDEOK,AGENDA_CHEOMSEONGDAE
LEADER_SHAKA,AGENDA_HORN_CHEST_LOINS
LEADER_TAMAR,AGENDA_NARIKALA_FORTRESS
LEADER_WILHELMINA,AGENDA_BILLIONAIRE
LEADER_DIDO,AGENDA_SICILIAN_WARS
LEADER_ELEANOR_ENGLAND,AGENDA_ANGEVIN_EMPIRE
LEADER_ELEANOR_FRANCE,AGENDA_ANGEVIN_EMPIRE
LEADER_KRISTINA,AGENDA_PATRON_OF_ARTS
LEADER_KUPE,AGENDA_KAITIAKITANGA
LEADER_LAURIER,AGENDA_CANADIAN_EXPEDITIONARY
LEADER_MANSA_MUSA,AGENDA_LORD_OF_MINES
LEADER_MATTHIAS_CORVINUS,AGENDA_RAVEN_BANNER
LEADER_PACHACUTI,AGENDA_SAPA_INCA
LEADER_SULEIMAN,AGENDA_LAWGIVER
LEADER_T_ROOSEVELT_ROUGHRIDER,AGENDA_BIG_STICK_POLICY
LEADER_T_ROOSEVELT,AGENDA_BULL_MOOSE
LEADER_ELIZABETH,AGENDA_TRADE_AGREEMENT
LEADER_HARALD_ALT,AGENDA_SAGA
LEADER_VICTORIA_ALT,AGENDA_INDUSTRIAL_REVOLUTION
LEADER_ABRAHAM_LINCOLN,AGENDA_PRESERVER_OF_THE_UNION
LEADER_SALADIN_ALT,AGENDA_SULTAN
LEADER_NZINGA_MBANDE,AGENDA_DECOLONIZATION
LEADER_QIN_ALT,AGENDA_SIHAI
LEADER_YONGLE,AGENDA_YINDING
LEADER_WU_ZETIAN,AGENDA_COURT_INTRIGUE
LEADER_RAMSES,AGENDA_MAAT
LEADER_CLEOPATRA_ALT,AGENDA_PREFER_FOOD
LEADER_SUNDIATA_KEITA,AGENDA_LION_OF_MALI
LEADER_LADY_SIX_SKY,AGENDA_LADY_SIX_SKY
LEADER_SIMON_BOLIVAR,AGENDA_SIMON_BOLIVAR
LEADER_JULIUS_CAESAR,AGENDA_GALLIC_WARS
LEADER_BASIL,AGENDA_BASIL_ZEALOT
LEADER_AMBIORIX,AGENDA_AMBIORIX_ARMY
LEADER_LADY_TRIEU,AGENDA_TRIEU_DEFENDER
LEADER_KUBLAI_KHAN_CHINA,AGENDA_KUBLAI_PAX
LEADER_KUBLAI_KHAN_MONGOLIA,AGENDA_KUBLAI_PAX
LEADER_CATHERINE_DE_MEDICI_ALT,AGENDA_MAGNIFICENCES
LEADER_TOKUGAWA,AGENDA_SAKOKU
LEADER_NADER_SHAH,AGENDA_PREFER_LANDPOWER
LEADER_SULEIMAN_ALT,AGENDA_GOLDEN_AGE
LEADER_MENELIK,AGENDA_ETHIOPIAN_HIGHLANDS
LEADER_HAMMURABI,AGENDA_HAMMURABI_DISTRICTS
LEADER_LUDWIG,AGENDA_ETERNAL
LEADER_THEODORA,AGENDA_NEW_ROME
LEADER_SEJONG,AGENDA_SEJONG
LEADER_JOAO_III,AGENDA_JOAO_EXPLORER
