ImprovementType,ModifierID
IMPROVEMENT_MISSION,MISSION_NEWCONTINENT_FAITH
IMPROVEMENT_MISSION,MISSION_NEWCONTINENT_PRODUCTION
IMPROVEMENT_MISSION,MISSION_NEWCONTINENT_FOOD
IMPROVEMENT_SPHINX,SPHINX_WONDERADJACENCY_FAITH
IMPROVEMENT_STEPWELL,STEPWELL_FARMADJACENCY_FOOD
IMPROVEMENT_STEPWELL,STEPWELL_HOLYSITEADJACENCY_FAITH
IMPROVEMENT_STEPWELL,STEPWELL_HOUSING_WITHTECH
IMPROVEMENT_ZIGGURAT,ZIGGURAT_RIVERADJACENCY_CULTURE
IMPROVEMENT_KAMPUNG,KAMPUNG_HOUSING_WITHTECH
IMPROVEMENT_MONASTERY,MONASTERY_HOUSING
IMPROVEMENT_CAMP,TEMPLE_ARTEMIS_CAMP_AMENITY
IMPROVEMENT_PASTURE,TEMPLE_ARTEMIS_PASTURE_AMENITY
IMPROVEMENT_PLANTATION,TEMPLE_ARTEMIS_PLANTATION_AMENITY
IMPROVEMENT_GOLF_COURSE,GOLFCOURSE_AMENITY
IMPROVEMENT_GOLF_COURSE,GOLFCOURSE_HOUSING_WITHGLOBLIZATION
IMPROVEMENT_MEKEWAP,MEKEWAP_HOUSING_WITHCIVILSERVICE
IMPROVEMENT_MEKEWAP,MEKEWAP_LUXURY_GOLD
IMPROVEMENT_GOLF_COURSE,GOLFCOURSE_AMENITIES
IMPROVEMENT_FISHERY,FISHERY_GOVERNOR_PRODUCTION
IMPROVEMENT_CITY_PARK,CITY_PARK_GOVERNOR_CULTURE
IMPROVEMENT_CITY_PARK,CITY_PARK_WATER_AMENITY
IMPROVEMENT_SOLAR_FARM,SOLAR_FARM_GENERATE_POWER
IMPROVEMENT_WIND_FARM,WIND_FARM_GENERATE_POWER
IMPROVEMENT_GEOTHERMAL_PLANT,GEOTHERMAL_GENERATE_POWER
IMPROVEMENT_OFFSHORE_WIND_FARM,OFFSHORE_WIND_FARM_GENERATE_POWER
IMPROVEMENT_MOAI,MOAI_COASTADJACENCY_CULTURE
IMPROVEMENT_MOAI,MOAI_VOLCANICADJACENCY_CULTURE
IMPROVEMENT_NAZCA_LINE,NAZCA_LINE_ADJACENCY_FAITH
IMPROVEMENT_NAZCA_LINE,NAZCA_LINE_ADJACENCY_FAITH_RESOURCE
IMPROVEMENT_NAZCA_LINE,NAZCA_LINE_ADJACENCY_FOOD_DESERT_CIVIL_SERVICE
IMPROVEMENT_NAZCA_LINE,NAZCA_LINE_ADJACENCY_FOOD_DESERT_HILLS_CIVIL_SERVICE
IMPROVEMENT_NAZCA_LINE,NAZCA_LINE_ADJACENCY_PRODUCTION_FLAT_MASS_PRODUCTION
IMPROVEMENT_MOUND,MOUND_AMENITY_MAX_ONE
IMPROVEMENT_MOUND,MOUND_AMENITY_MAX_TWO
IMPROVEMENT_MOUND,MOUND_HOUSING
IMPROVEMENT_SKI_RESORT,SKI_RESORT_AMENITY
IMPROVEMENT_MOUNTAIN_TUNNEL,MOUNTAIN_PORTAL
IMPROVEMENT_SPHINX,SPHINX_FLOODPLAINS_CULTURE
IMPROVEMENT_SOLAR_FARM,MERCHANT_RENEWABLE_ENERGY_SOLAR_FARM_GENERATE_POWER
IMPROVEMENT_WIND_FARM,MERCHANT_RENEWABLE_ENERGY_WIND_FARM_GENERATE_POWER
IMPROVEMENT_GEOTHERMAL_PLANT,MERCHANT_RENEWABLE_ENERGY_GEOTHERMAL_GENERATE_POWER
IMPROVEMENT_OFFSHORE_WIND_FARM,MERCHANT_RENEWABLE_ENERGY_OFFSHORE_WIND_FARM_GENERATE_POWER
IMPROVEMENT_ICE_HOCKEY_RINK,ICEHOCKEYRINK_CULTURE_STADIUM
IMPROVEMENT_ICE_HOCKEY_RINK,ICEHOCKEYRINK_AMENITY
IMPROVEMENT_TERRACE_FARM,TERRACE_FARM_PRODUCTION_FRESH_WATER_NO_AQUEDUCT
IMPROVEMENT_OPEN_AIR_MUSEUM,OPEN_AIR_MUSEUM_LOYALTY
IMPROVEMENT_OPEN_AIR_MUSEUM,OPEN_AIR_MUSEUM_CULTURE_FOR_TERRAIN_CLASS_CITIES
IMPROVEMENT_MOUNTAIN_ROAD,MOUNTAIN_PORTAL
IMPROVEMENT_PLANTATION,PLANTATION_NEGATIVE_LOYALTY
IMPROVEMENT_FARM,FARM_HOUSING_WITH_MAYAB_TRAIT
