ImprovementType,YieldChangeId
IMPROVEMENT_FARM,Farms_MedievalAdjacency
IMPROVEMENT_FARM,Farms_MechanizedAdjacency
IMPROVEMENT_KURGAN,Kurgan_Faith
IMPROVEMENT_KURGAN,Kurgan_Faith_Stirrups
IMPROVEMENT_MISSION,Mission_Science_HolySite
IMPROVEMENT_MISSION,Mission_Science_Campus
IMPROVEMENT_CHATEAU,Chateau_WonderEarly
IMPROVEMENT_CHATEAU,Chateau_WonderLate
IMPROVEMENT_CHATEAU,Chateau_River
IMPROVEMENT_KAMPUNG,Kampung_FoodFishingBoats
IMPROVEMENT_MONASTERY,Monastery_DistrictAdjacency
IMPROVEMENT_PYRAMID,Pyramid_CityCenterAdjacency
IMPROVEMENT_PYRAMID,Pyramid_CampusAdjacency
IMPROVEMENT_PYRAMID,Pyramid_CommercialHubAdjacency
IMPROVEMENT_PYRAMID,Pyramid_HarborAdjacency
IMPROVEMENT_PYRAMID,Pyramid_HolySiteAdjacency
IMPROVEMENT_PYRAMID,Pyramid_IndustrialZoneAdjacency
IMPROVEMENT_PYRAMID,Pyramid_TheaterAdjacency
IMPROVEMENT_PAIRIDAEZA,Pairidaeza_CityCenterAdjacency
IMPROVEMENT_PAIRIDAEZA,Pairidaeza_CommercialHubAdjacency
IMPROVEMENT_PAIRIDAEZA,Pairidaeza_HolySiteAdjacency
IMPROVEMENT_PAIRIDAEZA,Pairidaeza_TheaterAdjacency
IMPROVEMENT_OUTBACK_STATION,Outback_Pasture_Food
IMPROVEMENT_OUTBACK_STATION,Outback_Outback_Production
IMPROVEMENT_OUTBACK_STATION,Outback_Outback_Food
IMPROVEMENT_PASTURE,Pasture_Outback_Production
IMPROVEMENT_MINE,Mine_ScienceSeowonAdjacency
IMPROVEMENT_FARM,Farm_FoodSeowonAdjacency
IMPROVEMENT_GOLF_COURSE,GolfCourse_CityCenterAdjacency
IMPROVEMENT_GOLF_COURSE,GolfCourse_EntertainmentComplexAdjacency
IMPROVEMENT_MEKEWAP,Mekewap_FirstBonusAdjacency
IMPROVEMENT_MEKEWAP,Mekewap_SecondBonusAdjacency
IMPROVEMENT_MEKEWAP,Mekewap_ThirdBonusAdjacency
IMPROVEMENT_POLDER,Polder_Polder_Food_Early
IMPROVEMENT_POLDER,Polder_Polder_Food_Late
IMPROVEMENT_POLDER,Polder_Polder_Production
IMPROVEMENT_FISHERY,Fishery_SeaResourceAdjacency
IMPROVEMENT_SEASTEAD,Seastead_Fishingboats_Production
IMPROVEMENT_FISHING_BOATS,Fishingboats_Seastead_Production
IMPROVEMENT_SEASTEAD,Seastead_Reef_Culture
IMPROVEMENT_MOAI,Moai_FirstBonusAdjacency
IMPROVEMENT_MOAI,Moai_SecondBonusAdjacency
IMPROVEMENT_MOUND,Mound_MedievalAdjacency
IMPROVEMENT_MOUND,Mound_MechanizedAdjacency
IMPROVEMENT_COLOSSAL_HEAD,ColossalHead_FaithForestEarly
IMPROVEMENT_COLOSSAL_HEAD,ColossalHead_FaithJungleEarly
IMPROVEMENT_COLOSSAL_HEAD,ColossalHead_FaithForestLate
IMPROVEMENT_COLOSSAL_HEAD,ColossalHead_FaithJungleLate
IMPROVEMENT_GREAT_WALL,GreatWall_Gold
IMPROVEMENT_GREAT_WALL,GreatWall_Culture
IMPROVEMENT_ICE_HOCKEY_RINK,Hockey_TundraAdjacency
IMPROVEMENT_ICE_HOCKEY_RINK,Hockey_TundraHillsAdjacency
IMPROVEMENT_ICE_HOCKEY_RINK,Hockey_SnowAdjacency
IMPROVEMENT_ICE_HOCKEY_RINK,Hockey_SnowHillsAdjacency
IMPROVEMENT_TERRACE_FARM,Terrace_GrassMountainAdjacency
IMPROVEMENT_TERRACE_FARM,Terrace_PlainsMountainAdjacency
IMPROVEMENT_TERRACE_FARM,Terrace_DesertMountainAdjacency
IMPROVEMENT_TERRACE_FARM,Terrace_TundraMountainAdjacency
IMPROVEMENT_TERRACE_FARM,Terrace_SnowMountainAdjacency
