Id,ImprovementType,YieldType,BonusYieldChange,PrereqTech,PrereqCivic
1,IMPROVEMENT_CAMP,YIELD_PRODUCTION,1,,CIVIC_MERCANTILISM
3,IMPROVEMENT_FISHING_BOATS,YIELD_GOLD,2,TECH_CARTOGRAPHY,
4,IMPROVEMENT_FISHING_BOATS,YIELD_FOOD,1,TECH_PLASTICS,
5,IMPROVEMENT_LUMBER_MILL,YIELD_PRODUCTION,1,TECH_STEEL,
6,IMPROVEMENT_MINE,YIELD_PRODUCTION,1,TECH_APPRENTICESHIP,
7,IMPROVEMENT_MINE,YIELD_PRODUCTION,1,TECH_INDUSTRIALIZATION,
8,IMPROVEMENT_PASTURE,YIELD_FOOD,1,TECH_STIRRUPS,
10,IMPROVEMENT_PLANTATION,YIELD_FOOD,1,TECH_SCIENTIFIC_THEORY,
11,IMPROVEMENT_PLANTATION,YIELD_GOLD,2,,CIVIC_GLOBALIZATION
13,IMPROVEMENT_QUARRY,YIELD_PRODUCTION,1,TECH_ROCKETRY,
17,IMPROVEMENT_MISSION,YIELD_SCIENCE,2,,CIVIC_CULTURAL_HERITAGE
18,IMPROVEMENT_SPHINX,YIELD_CULTURE,1,,CIVIC_NATURAL_HISTORY
19,IMPROVEMENT_STEPWELL,YIELD_FAITH,1,,CIVIC_FEUDALISM
20,IMPROVEMENT_STEPWELL,YIELD_FOOD,1,,CIVIC_PROFESSIONAL_SPORTS
21,IMPROVEMENT_ZIGGURAT,YIELD_CULTURE,1,,CIVIC_NATURAL_HISTORY
100,IMPROVEMENT_CAMP,YIELD_FOOD,1,,CIVIC_MERCANTILISM
23,IMPROVEMENT_KAMPUNG,YIELD_PRODUCTION,1,,CIVIC_CIVIL_ENGINEERING
22,IMPROVEMENT_PAIRIDAEZA,YIELD_CULTURE,1,,CIVIC_DIPLOMATIC_SERVICE
24,IMPROVEMENT_MEKEWAP,YIELD_PRODUCTION,1,,CIVIC_CIVIL_SERVICE
25,IMPROVEMENT_POLDER,YIELD_GOLD,4,,CIVIC_CIVIL_ENGINEERING
226,IMPROVEMENT_MINE,YIELD_PRODUCTION,1,TECH_SMART_MATERIALS,
227,IMPROVEMENT_LUMBER_MILL,YIELD_PRODUCTION,1,TECH_CYBERNETICS,
228,IMPROVEMENT_OIL_WELL,YIELD_PRODUCTION,1,TECH_PREDICTIVE_SYSTEMS,
229,IMPROVEMENT_OFFSHORE_OIL_RIG,YIELD_PRODUCTION,1,TECH_PREDICTIVE_SYSTEMS,
230,IMPROVEMENT_QUARRY,YIELD_PRODUCTION,1,TECH_GUNPOWDER,
231,IMPROVEMENT_QUARRY,YIELD_PRODUCTION,1,TECH_PREDICTIVE_SYSTEMS,
232,IMPROVEMENT_PASTURE,YIELD_PRODUCTION,1,TECH_REPLACEABLE_PARTS,
233,IMPROVEMENT_PASTURE,YIELD_FOOD,1,TECH_ROBOTICS,
224,IMPROVEMENT_PLANTATION,YIELD_FOOD,1,,CIVIC_FEUDALISM
225,IMPROVEMENT_FISHING_BOATS,YIELD_PRODUCTION,1,,CIVIC_COLONIALISM
225,IMPROVEMENT_CAMP,YIELD_GOLD,2,TECH_SYNTHETIC_MATERIALS,
26,IMPROVEMENT_ICE_HOCKEY_RINK,YIELD_PRODUCTION,2,,CIVIC_PROFESSIONAL_SPORTS
27,IMPROVEMENT_ICE_HOCKEY_RINK,YIELD_FOOD,2,,CIVIC_PROFESSIONAL_SPORTS
