ImprovementType,TourismSource,PrereqCivic,PrereqTech,ScalingFactor
IMPROVEMENT_CHATEAU,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_GREAT_WALL,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_PASTURE,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_PLANTATION,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_SPHINX,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_ZIGGURAT,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_KURGAN,TOURISMSOURCE_FAITH,,TECH_FLIGHT,100
IMPROVEMENT_BEACH_RESORT,TOURISMSOURCE_APPEAL,,,100
IMPROVEMENT_KAMPUNG,TOURISMSOURCE_FOOD,,TECH_FLIGHT,100
IMPROVEMENT_ALCAZAR,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_PAIRIDAEZA,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_CHEMAMULL,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_GOLF_COURSE,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_CITY_PARK,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_SEASTEAD,TOURISMSOURCE_CULTURE,,,100
IMPROVEMENT_MOAI,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_SKI_RESORT,TOURISMSOURCE_APPEAL,,,100
IMPROVEMENT_COLOSSAL_HEAD,TOURISMSOURCE_FAITH,,TECH_FLIGHT,100
IMPROVEMENT_ICE_HOCKEY_RINK,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_OPEN_AIR_MUSEUM,TOURISMSOURCE_CULTURE,,,100
IMPROVEMENT_BATEY,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,100
IMPROVEMENT_MINE,TOURISMSOURCE_CULTURE,,TECH_FLIGHT,0
IMPROVEMENT_ROCK_HEWN_CHURCH,TOURISMSOURCE_FAITH,,TECH_FLIGHT,100
