ImprovementType,UnitType,ConsumesCharge,ValidRepairOnly
IMPROVEMENT_FARM,UNIT_BUILDER,1,0
IMPROVEMENT_MINE,UNIT_BUILDER,1,0
IMPROVEMENT_QUARRY,UNIT_BUILDER,1,0
IMPROVEMENT_FISHING_BOATS,UNIT_BUILDER,1,0
IMPROVEMENT_PASTURE,UNIT_BUILDER,1,0
IMPROVEMENT_PLANTATION,UNIT_BUILDER,1,0
IMPROVEMENT_CAMP,UNIT_BUILDER,1,0
IMPROVEMENT_LUMBER_MILL,UNIT_BUILDER,1,0
IMPROVEMENT_OIL_WELL,UNIT_BUILDER,1,0
IMPROVEMENT_OFFSHORE_OIL_RIG,UNIT_BUILDER,1,0
IMPROVEMENT_BEACH_RESORT,UNIT_BUILDER,1,0
IMPROVEMENT_FORT,UNIT_MILITARY_ENGINEER,1,0
IMPROVEMENT_AIRSTRIP,UNIT_MILITARY_ENGINEER,1,0
IMPROVEMENT_MISSILE_SILO,UNIT_MILITARY_ENGINEER,1,0
IMPROVEMENT_CHATEAU,UNIT_BUILDER,1,0
IMPROVEMENT_COLOSSAL_HEAD,UNIT_BUILDER,1,0
IMPROVEMENT_GREAT_WALL,UNIT_BUILDER,1,0
IMPROVEMENT_KURGAN,UNIT_BUILDER,1,0
IMPROVEMENT_MISSION,UNIT_BUILDER,1,0
IMPROVEMENT_ROMAN_FORT,UNIT_ROMAN_LEGION,1,0
IMPROVEMENT_SPHINX,UNIT_BUILDER,1,0
IMPROVEMENT_STEPWELL,UNIT_BUILDER,1,0
IMPROVEMENT_ZIGGURAT,UNIT_BUILDER,1,0
IMPROVEMENT_KAMPUNG,UNIT_BUILDER,1,0
IMPROVEMENT_ALCAZAR,UNIT_BUILDER,1,0
IMPROVEMENT_MONASTERY,UNIT_BUILDER,1,0
IMPROVEMENT_PYRAMID,UNIT_BUILDER,1,0
IMPROVEMENT_PAIRIDAEZA,UNIT_BUILDER,1,0
IMPROVEMENT_OUTBACK_STATION,UNIT_BUILDER,1,0
IMPROVEMENT_CHEMAMULL,UNIT_BUILDER,1,0
IMPROVEMENT_GOLF_COURSE,UNIT_BUILDER,1,0
IMPROVEMENT_MEKEWAP,UNIT_BUILDER,1,0
IMPROVEMENT_POLDER,UNIT_BUILDER,1,0
IMPROVEMENT_FISHERY,UNIT_BUILDER,1,0
IMPROVEMENT_CITY_PARK,UNIT_BUILDER,1,0
IMPROVEMENT_GEOTHERMAL_PLANT,UNIT_BUILDER,1,0
IMPROVEMENT_SEASTEAD,UNIT_BUILDER,1,0
IMPROVEMENT_SOLAR_FARM,UNIT_BUILDER,1,0
IMPROVEMENT_OFFSHORE_WIND_FARM,UNIT_BUILDER,1,0
IMPROVEMENT_WIND_FARM,UNIT_BUILDER,1,0
IMPROVEMENT_NAZCA_LINE,UNIT_BUILDER,1,0
IMPROVEMENT_MOUND,UNIT_BUILDER,1,0
IMPROVEMENT_MOAI,UNIT_BUILDER,1,0
IMPROVEMENT_SKI_RESORT,UNIT_BUILDER,1,0
IMPROVEMENT_MOUNTAIN_TUNNEL,UNIT_MILITARY_ENGINEER,1,0
IMPROVEMENT_OPEN_AIR_MUSEUM,UNIT_BUILDER,1,0
IMPROVEMENT_ICE_HOCKEY_RINK,UNIT_BUILDER,1,0
IMPROVEMENT_TERRACE_FARM,UNIT_BUILDER,1,0
IMPROVEMENT_MAORI_PA,UNIT_MAORI_TOA,1,0
IMPROVEMENT_MOUNTAIN_ROAD,UNIT_BUILDER,1,0
IMPROVEMENT_BATEY,UNIT_BUILDER,1,0
IMPROVEMENT_HACIENDA,UNIT_BUILDER,1,0
IMPROVEMENT_ROCK_HEWN_CHURCH,UNIT_BUILDER,1,0
IMPROVEMENT_VAMPIRE_CASTLE,UNIT_VAMPIRE,0,1
IMPROVEMENT_MAHAVIHARA,UNIT_BUILDER,1,0
IMPROVEMENT_TRADING_DOME,UNIT_BUILDER,1,0
IMPROVEMENT_FEITORIA,UNIT_PORTUGUESE_NAU,1,0
