ImprovementType,FeatureType,PrereqTech,PrereqCivic
IMPROVEMENT_BARBARIAN_CAMP,FEATURE_FOREST,,
IMPROVEMENT_BARBARIAN_CAMP,FEATURE_JUNGLE,,
IMPROVEMENT_BARBARIAN_CAMP,FEATURE_MARSH,,
IMPROVEMENT_FARM,FEATURE_FLOODPLAINS,,
IMPROVEMENT_LUMBER_MILL,FEATURE_FOREST,,
IMPROVEMENT_GOODY_HUT,FEATURE_FOREST,,
IMPROVEMENT_GOODY_HUT,FEATURE_JUNGLE,,
IMPROVEMENT_GOODY_HUT,FEATURE_MARSH,,
IMPROVEMENT_SPHINX,FEATURE_FLOODPLAINS,,
IMPROVEMENT_PYRAMID,FEATURE_FLOODPLAINS,,
IMPROVEMENT_LUMBER_MILL,FEATURE_JUNGLE,,CIVIC_MERCANTILISM
IMPROVEMENT_GEOTHERMAL_PLANT,FEATURE_GEOTHERMAL_FISSURE,,
IMPROVEMENT_MOAI,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_MOUND,FEATURE_FLOODPLAINS,,
IMPROVEMENT_MOUND,FEATURE_FLOODPLAINS_GRASSLAND,,
IMPROVEMENT_MOUND,FEATURE_FLOODPLAINS_PLAINS,,
IMPROVEMENT_FARM,FEATURE_FLOODPLAINS_GRASSLAND,,
IMPROVEMENT_FARM,FEATURE_FLOODPLAINS_PLAINS,,
IMPROVEMENT_AIRSTRIP,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_BARBARIAN_CAMP,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_BEACH_RESORT,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_FARM,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_FORT,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_MINE,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_COLOSSAL_HEAD,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_GREAT_WALL,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_MISSILE_SILO,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_ROMAN_FORT,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_BARBARIAN_CAMP,FEATURE_FLOODPLAINS,,
IMPROVEMENT_BARBARIAN_CAMP,FEATURE_FLOODPLAINS_GRASSLAND,,
IMPROVEMENT_BARBARIAN_CAMP,FEATURE_FLOODPLAINS_PLAINS,,
IMPROVEMENT_GOODY_HUT,FEATURE_FLOODPLAINS,,
IMPROVEMENT_GOODY_HUT,FEATURE_FLOODPLAINS_GRASSLAND,,
IMPROVEMENT_GOODY_HUT,FEATURE_FLOODPLAINS_PLAINS,,
IMPROVEMENT_SPHINX,FEATURE_FLOODPLAINS_GRASSLAND,,
IMPROVEMENT_SPHINX,FEATURE_FLOODPLAINS_PLAINS,,
IMPROVEMENT_CHATEAU,FEATURE_FLOODPLAINS,,
IMPROVEMENT_CHATEAU,FEATURE_FLOODPLAINS_GRASSLAND,,
IMPROVEMENT_CHATEAU,FEATURE_FLOODPLAINS_PLAINS,,
IMPROVEMENT_ZIGGURAT,FEATURE_FLOODPLAINS,,
IMPROVEMENT_ZIGGURAT,FEATURE_FLOODPLAINS_GRASSLAND,,
IMPROVEMENT_ZIGGURAT,FEATURE_FLOODPLAINS_PLAINS,,
IMPROVEMENT_TERRACE_FARM,FEATURE_VOLCANIC_SOIL,,
IMPROVEMENT_METEOR_GOODY,FEATURE_FOREST,,
IMPROVEMENT_METEOR_GOODY,FEATURE_JUNGLE,,
IMPROVEMENT_METEOR_GOODY,FEATURE_MARSH,,
IMPROVEMENT_ROCK_HEWN_CHURCH,FEATURE_VOLCANIC_SOIL,,
