ImprovementType,ResourceType,MustRemoveFeature
IMPROVEMENT_MINE,RESOURCE_COPPER,1
IMPROVEMENT_MINE,RESOURCE_DIAMONDS,0
IMPROVEMENT_MINE,RESOURCE_JADE,1
IMPROVEMENT_MINE,RESOURCE_MERCURY,1
IMPROVEMENT_MINE,RESOURCE_SALT,1
IMPROVEMENT_MINE,RESOURCE_SILVER,1
IMPROVEMENT_MINE,RESOURCE_ALUMINUM,0
IMPROVEMENT_MINE,RESOURCE_COAL,0
IMPROVEMENT_MINE,RESOURCE_IRON,1
IMPROVEMENT_MINE,RESOURCE_NITER,0
IMPROVEMENT_MINE,RESOURCE_URANIUM,0
IMPROVEMENT_QUARRY,RESOURCE_GYPSUM,0
IMPROVEMENT_QUARRY,RESOURCE_MARBLE,0
IMPROVEMENT_QUARRY,RESOURCE_STONE,0
IMPROVEMENT_FARM,RESOURCE_RICE,0
IMPROVEMENT_FARM,RESOURCE_WHEAT,1
IMPROVEMENT_FISHING_BOATS,RESOURCE_CRABS,1
IMPROVEMENT_FISHING_BOATS,RESOURCE_FISH,0
IMPROVEMENT_FISHING_BOATS,RESOURCE_PEARLS,1
IMPROVEMENT_FISHING_BOATS,RESOURCE_WHALES,1
IMPROVEMENT_PLANTATION,RESOURCE_BANANAS,0
IMPROVEMENT_PLANTATION,RESOURCE_CITRUS,0
IMPROVEMENT_PLANTATION,RESOURCE_COCOA,0
IMPROVEMENT_PLANTATION,RESOURCE_COFFEE,0
IMPROVEMENT_PLANTATION,RESOURCE_COTTON,0
IMPROVEMENT_PLANTATION,RESOURCE_DYES,0
IMPROVEMENT_PLANTATION,RESOURCE_INCENSE,0
IMPROVEMENT_PLANTATION,RESOURCE_SILK,0
IMPROVEMENT_PLANTATION,RESOURCE_SPICES,0
IMPROVEMENT_PLANTATION,RESOURCE_SUGAR,0
IMPROVEMENT_PLANTATION,RESOURCE_TEA,0
IMPROVEMENT_PLANTATION,RESOURCE_TOBACCO,0
IMPROVEMENT_PLANTATION,RESOURCE_WINE,0
IMPROVEMENT_PASTURE,RESOURCE_CATTLE,0
IMPROVEMENT_PASTURE,RESOURCE_SHEEP,0
IMPROVEMENT_PASTURE,RESOURCE_HORSES,0
IMPROVEMENT_CAMP,RESOURCE_DEER,0
IMPROVEMENT_CAMP,RESOURCE_FURS,0
IMPROVEMENT_CAMP,RESOURCE_IVORY,0
IMPROVEMENT_CAMP,RESOURCE_TRUFFLES,0
IMPROVEMENT_OIL_WELL,RESOURCE_OIL,0
IMPROVEMENT_OFFSHORE_OIL_RIG,RESOURCE_OIL,0
IMPROVEMENT_FISHING_BOATS,RESOURCE_AMBER,1
IMPROVEMENT_FISHING_BOATS,RESOURCE_TURTLES,0
IMPROVEMENT_MINE,RESOURCE_AMBER,0
IMPROVEMENT_PLANTATION,RESOURCE_OLIVES,0
IMPROVEMENT_CAMP,RESOURCE_HONEY,0
IMPROVEMENT_FARM,RESOURCE_MAIZE,1
