ImprovementType,TerrainType,PrereqTech,PrereqCivic
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_DESERT,,
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_TUNDRA,,
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_PLAINS,,
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_GRASS,,
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_SNOW,,
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_BARBARIAN_CAMP,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_FARM,TERRAIN_PLAINS,,
IMPROVEMENT_FARM,TERRAIN_GRASS,,
IMPROVEMENT_FARM,TERRAIN_PLAINS_HILLS,,CIVIC_CIVIL_ENGINEERING
IMPROVEMENT_FARM,TERRAIN_GRASS_HILLS,,CIVIC_CIVIL_ENGINEERING
IMPROVEMENT_MINE,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_MINE,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_MINE,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_MINE,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_MINE,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_GOODY_HUT,TERRAIN_DESERT,,
IMPROVEMENT_GOODY_HUT,TERRAIN_TUNDRA,,
IMPROVEMENT_GOODY_HUT,TERRAIN_PLAINS,,
IMPROVEMENT_GOODY_HUT,TERRAIN_GRASS,,
IMPROVEMENT_GOODY_HUT,TERRAIN_SNOW,,
IMPROVEMENT_GOODY_HUT,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_GOODY_HUT,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_GOODY_HUT,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_GOODY_HUT,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_GOODY_HUT,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_OIL_WELL,TERRAIN_DESERT,,
IMPROVEMENT_OIL_WELL,TERRAIN_TUNDRA,,
IMPROVEMENT_OIL_WELL,TERRAIN_PLAINS,,
IMPROVEMENT_OIL_WELL,TERRAIN_GRASS,,
IMPROVEMENT_OIL_WELL,TERRAIN_SNOW,,
IMPROVEMENT_OIL_WELL,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_OIL_WELL,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_OIL_WELL,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_OIL_WELL,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_OIL_WELL,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_OFFSHORE_OIL_RIG,TERRAIN_COAST,,
IMPROVEMENT_OFFSHORE_OIL_RIG,TERRAIN_OCEAN,,
IMPROVEMENT_BEACH_RESORT,TERRAIN_DESERT,,
IMPROVEMENT_BEACH_RESORT,TERRAIN_PLAINS,,
IMPROVEMENT_BEACH_RESORT,TERRAIN_GRASS,,
IMPROVEMENT_MISSILE_SILO,TERRAIN_DESERT,,
IMPROVEMENT_MISSILE_SILO,TERRAIN_TUNDRA,,
IMPROVEMENT_MISSILE_SILO,TERRAIN_PLAINS,,
IMPROVEMENT_MISSILE_SILO,TERRAIN_GRASS,,
IMPROVEMENT_MISSILE_SILO,TERRAIN_SNOW,,
IMPROVEMENT_CHATEAU,TERRAIN_DESERT,,
IMPROVEMENT_CHATEAU,TERRAIN_TUNDRA,,
IMPROVEMENT_CHATEAU,TERRAIN_PLAINS,,
IMPROVEMENT_CHATEAU,TERRAIN_GRASS,,
IMPROVEMENT_CHATEAU,TERRAIN_SNOW,,
IMPROVEMENT_CHATEAU,TERRAIN_DESERT_HILLS,,
