ImprovementType,YieldType,YieldChange
IMPROVEMENT_FARM,YIELD_FOOD,1
IMPROVEMENT_FARM,YIELD_PRODUCTION,0
IMPROVEMENT_MINE,YIELD_PRODUCTION,1
IMPROVEMENT_QUARRY,YIELD_GOLD,0
IMPROVEMENT_QUARRY,YIELD_PRODUCTION,1
IMPROVEMENT_FISHING_BOATS,YIELD_FOOD,1
IMPROVEMENT_FISHING_BOATS,YIELD_GOLD,0
IMPROVEMENT_PASTURE,YIELD_FOOD,0
IMPROVEMENT_PASTURE,YIELD_PRODUCTION,1
IMPROVEMENT_PLANTATION,YIELD_FOOD,0
IMPROVEMENT_PLANTATION,YIELD_GOLD,2
IMPROVEMENT_CAMP,YIELD_GOLD,2
IMPROVEMENT_CAMP,YIELD_FOOD,0
IMPROVEMENT_CAMP,YIELD_PRODUCTION,0
IMPROVEMENT_LUMBER_MILL,YIELD_PRODUCTION,2
IMPROVEMENT_OIL_WELL,YIELD_PRODUCTION,2
IMPROVEMENT_OFFSHORE_OIL_RIG,YIELD_PRODUCTION,2
IMPROVEMENT_CHATEAU,YIELD_CULTURE,2
IMPROVEMENT_CHATEAU,YIELD_GOLD,1
IMPROVEMENT_COLOSSAL_HEAD,YIELD_FAITH,2
IMPROVEMENT_COLOSSAL_HEAD,YIELD_CULTURE,0
IMPROVEMENT_GREAT_WALL,YIELD_GOLD,2
IMPROVEMENT_GREAT_WALL,YIELD_CULTURE,0
IMPROVEMENT_KURGAN,YIELD_GOLD,3
IMPROVEMENT_KURGAN,YIELD_FAITH,1
IMPROVEMENT_MISSION,YIELD_FAITH,2
IMPROVEMENT_MISSION,YIELD_SCIENCE,0
IMPROVEMENT_MISSION,YIELD_FOOD,0
IMPROVEMENT_MISSION,YIELD_PRODUCTION,0
IMPROVEMENT_SPHINX,YIELD_CULTURE,1
IMPROVEMENT_SPHINX,YIELD_FAITH,1
IMPROVEMENT_STEPWELL,YIELD_FOOD,1
IMPROVEMENT_STEPWELL,YIELD_FAITH,0
IMPROVEMENT_ZIGGURAT,YIELD_CULTURE,0
IMPROVEMENT_ZIGGURAT,YIELD_SCIENCE,2
IMPROVEMENT_KAMPUNG,YIELD_FOOD,0
IMPROVEMENT_KAMPUNG,YIELD_PRODUCTION,1
IMPROVEMENT_ALCAZAR,YIELD_CULTURE,2
IMPROVEMENT_MONASTERY,YIELD_FAITH,2
IMPROVEMENT_PYRAMID,YIELD_FAITH,2
IMPROVEMENT_PYRAMID,YIELD_FOOD,2
IMPROVEMENT_PYRAMID,YIELD_SCIENCE,0
IMPROVEMENT_PYRAMID,YIELD_CULTURE,0
IMPROVEMENT_PYRAMID,YIELD_PRODUCTION,0
IMPROVEMENT_PYRAMID,YIELD_GOLD,0
IMPROVEMENT_PAIRIDAEZA,YIELD_CULTURE,1
IMPROVEMENT_PAIRIDAEZA,YIELD_GOLD,2
IMPROVEMENT_OUTBACK_STATION,YIELD_PRODUCTION,1
IMPROVEMENT_OUTBACK_STATION,YIELD_FOOD,1
IMPROVEMENT_CHEMAMULL,YIELD_PRODUCTION,1
IMPROVEMENT_GOLF_COURSE,YIELD_CULTURE,0
IMPROVEMENT_GOLF_COURSE,YIELD_GOLD,2
IMPROVEMENT_MEKEWAP,YIELD_PRODUCTION,1
IMPROVEMENT_MEKEWAP,YIELD_FOOD,0
IMPROVEMENT_MEKEWAP,YIELD_GOLD,0
IMPROVEMENT_MINE,YIELD_SCIENCE,0
IMPROVEMENT_POLDER,YIELD_FOOD,1
IMPROVEMENT_POLDER,YIELD_GOLD,0
IMPROVEMENT_POLDER,YIELD_PRODUCTION,1
IMPROVEMENT_FISHERY,YIELD_FOOD,1
IMPROVEMENT_FISHERY,YIELD_PRODUCTION,0
IMPROVEMENT_CITY_PARK,YIELD_CULTURE,1
IMPROVEMENT_SEASTEAD,YIELD_CULTURE,0
IMPROVEMENT_MOAI,YIELD_CULTURE,1
IMPROVEMENT_SEASTEAD,YIELD_FOOD,2
IMPROVEMENT_MOUND,YIELD_FOOD,0
IMPROVEMENT_SOLAR_FARM,YIELD_GOLD,1
IMPROVEMENT_WIND_FARM,YIELD_GOLD,2
IMPROVEMENT_MOUND,YIELD_GOLD,3
IMPROVEMENT_GEOTHERMAL_PLANT,YIELD_PRODUCTION,2
IMPROVEMENT_FISHING_BOATS,YIELD_PRODUCTION,0
IMPROVEMENT_OFFSHORE_WIND_FARM,YIELD_PRODUCTION,2
IMPROVEMENT_SOLAR_FARM,YIELD_PRODUCTION,1
IMPROVEMENT_SEASTEAD,YIELD_PRODUCTION,0
IMPROVEMENT_WIND_FARM,YIELD_PRODUCTION,1
IMPROVEMENT_GEOTHERMAL_PLANT,YIELD_SCIENCE,1
IMPROVEMENT_ICE_HOCKEY_RINK,YIELD_CULTURE,0
IMPROVEMENT_ICE_HOCKEY_RINK,YIELD_FOOD,0
IMPROVEMENT_ICE_HOCKEY_RINK,YIELD_PRODUCTION,0
IMPROVEMENT_TERRACE_FARM,YIELD_FOOD,1
IMPROVEMENT_TERRACE_FARM,YIELD_PRODUCTION,0
IMPROVEMENT_BATEY,YIELD_CULTURE,1
IMPROVEMENT_HACIENDA,YIELD_FOOD,0
IMPROVEMENT_HACIENDA,YIELD_GOLD,2
IMPROVEMENT_PLANTATION,YIELD_PRODUCTION,0
IMPROVEMENT_HACIENDA,YIELD_PRODUCTION,1
IMPROVEMENT_ROCK_HEWN_CHURCH,YIELD_FAITH,1
IMPROVEMENT_MAHAVIHARA,YIELD_SCIENCE,2
IMPROVEMENT_MAHAVIHARA,YIELD_FAITH,0
IMPROVEMENT_TRADING_DOME,YIELD_GOLD,2
IMPROVEMENT_FEITORIA,YIELD_GOLD,4
IMPROVEMENT_FEITORIA,YIELD_PRODUCTION,1
