ImprovementType,Name,BarbarianCamp,PrereqTech,PrereqCivic,Buildable,Description,RemoveOnEntry,DispersalGold,PlunderType,PlunderAmount,Goody,TilesPerGoody,GoodyRange,Icon,TraitType,Housing,TilesRequired,SameAdjacentValid,RequiresRiver,EnforceTerrain,BuildInLine,CanBuildOutsideTerritory,BuildOnFrontier,AirSlots,DefenseModifier,GrantFortification,MinimumAppeal,Coast,YieldFromAppeal,WeaponSlots,ReligiousUnitHealRate,Appeal,OnePerCity,YieldFromAppealPercent,ValidAdjacentTerrainAmount,Domain,AdjacentSeaResource,RequiresAdjacentBonusOrLuxury,MovementChange,Workable,ImprovementOnRemove,GoodyNotify,NoAdjacentSpecialtyDistrict,RequiresAdjacentLuxury,AdjacentToLand,Removable,OnlyOpenBorders,Capturable
IMPROVEMENT_BARBARIAN_CAMP,LOC_IMPROVEMENT_BARBARIAN_CAMP_NAME,1,,,0,LOC_IMPROVEMENT_BARBARIAN_CAMP_DESCRIPTION,0,50,NO_PLUNDER,0,0,,,ICON_IMPROVEMENT_BARBARIAN_CAMP,TRAIT_BARBARIAN,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,-1,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_FARM,LOC_IMPROVEMENT_FARM_NAME,0,,,1,LOC_IMPROVEMENT_FARM_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_FARM,,1,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_MINE,LOC_IMPROVEMENT_MINE_NAME,0,TECH_MINING,,1,LOC_IMPROVEMENT_MINE_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_MINE,,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,-1,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_QUARRY,LOC_IMPROVEMENT_QUARRY_NAME,0,TECH_MINING,,1,LOC_IMPROVEMENT_QUARRY_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_QUARRY,,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,-1,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_FISHING_BOATS,LOC_IMPROVEMENT_FISHING_BOATS_NAME,0,TECH_SAILING,,1,LOC_IMPROVEMENT_FISHING_BOATS_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_FISHING_BOATS,,1,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_SEA,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_PASTURE,LOC_IMPROVEMENT_PASTURE_NAME,0,TECH_ANIMAL_HUSBANDRY,,1,LOC_IMPROVEMENT_PASTURE_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_PASTURE,,1,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_PLANTATION,LOC_IMPROVEMENT_PLANTATION_NAME,0,TECH_IRRIGATION,,1,LOC_IMPROVEMENT_PLANTATION_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_PLANTATION,,1,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_CAMP,LOC_IMPROVEMENT_CAMP_NAME,0,TECH_ANIMAL_HUSBANDRY,,1,LOC_IMPROVEMENT_CAMP_EXPANSION2_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_CAMP,,1,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_LUMBER_MILL,LOC_IMPROVEMENT_LUMBER_MILL_NAME,0,TECH_CONSTRUCTION,,1,LOC_IMPROVEMENT_LUMBER_MILL_EXPANSION2_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_LUMBER_MILL,,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_GOODY_HUT,LOC_IMPROVEMENT_GOODY_HUT_NAME,0,,,0,LOC_IMPROVEMENT_GOODY_HUT_DESCRIPTION,1,0,NO_PLUNDER,0,1,128.0,3.0,ICON_IMPROVEMENT_GOODY_HUT,,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_OIL_WELL,LOC_IMPROVEMENT_OIL_WELL_NAME,0,TECH_REFINING,,0,LOC_IMPROVEMENT_OIL_WELL_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_OIL_WELL,,0,1,1,0,1,0,0,0,0,0,0,,0,,0,0,-1,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
