Kind,Hash
KIND_TRAIT,-370684575
KIND_BARBARIAN_TRIBE,1729824221
KIND_BELIEF,52364159
KIND_BUILDING,-67165327
KIND_CIVIC,646276703
KIND_CIVILIZATION,-352595056
KIND_DEAL_ITEM,661481429
KIND_DIFFICULTY,536480762
KIND_DIPLOMATIC_ACTION,344296189
KIND_DIPLOMATIC_STATE,1449983247
KIND_DISTRICT,726734370
KIND_ERA,-873380579
KIND_FEATURE,1512824180
KIND_CAPABILITY,840992293
KIND_COLLECTION,1490813223
KIND_EFFECT,-1694595367
KIND_MODIFIER,-1322280104
KIND_REQUIREMENT,1596649370
KIND_REQUIREMENTSET,2100012488
KIND_GAMESPEED,-153294175
KIND_GAMESPEED_SCALING,957389803
KIND_GOODY_HUT,-219438194
KIND_GOSSIP,1489506655
KIND_GREAT_PERSON_CLASS,-2117720682
KIND_GREAT_PERSON_INDIVIDUAL,565002410
KIND_GREATWORK,466233440
KIND_HAPPINESS,2041238729
KIND_IMPROVEMENT,617973399
KIND_LEADER,-646054404
KIND_CONTINENT,588055580
KIND_MAPSIZE,-569402097
KIND_NOTIFICATION,755861403
KIND_POLICY,-589098435
KIND_SLOT,-226319418
KIND_PROJECT,1783593212
KIND_QUEST,200550575
KIND_RELIGION,180729436
KIND_RESOURCE,-1509837133
KIND_ROUTE,1244131521
KIND_SCORING_CATEGORY,616560843
KIND_SCORING_LINE_ITEM,1544301689
KIND_TECH,-667896909
KIND_TERRAIN,-1920271453
KIND_TERRAIN_CLASS,-360691056
KIND_GAMEMODE,-613740751
KIND_TURNPHASE,-559243491
KIND_TURNMODE,1067319419
KIND_TURNSEGMENT,802166602
KIND_TURNTIMER,96966604
KIND_ABILITY,1882408494
KIND_UNITCOMMAND,1689607275
KIND_UNITOPERATION,-1209139639
KIND_PROMOTION_CLASS,-1855353131
KIND_PROMOTION,-1898482255
KIND_UNIT,-2110287886
KIND_FORMATION_CLASS,-2015075075
KIND_DEFEAT,607407406
KIND_VICTORY,893888584
KIND_VICTORY_STRATEGY,-750450528
KIND_WMD,1768146962
KIND_WAR,822227535
KIND_YIELD,-240740941
KIND_PSEUDOYIELD,129391422
KIND_DIPLOMACY_ALLIANCE,1059176539
KIND_DIPLOMACY_EMERGENCY,-2059542399
KIND_GOVERNMENT,266671797
KIND_GOVERNOR,-1948583994
KIND_GOVERNOR_PROMOTION,-1322013124
KIND_LOYALTY_LEVEL,-1037902200
KIND_MOMENT,420650889
KIND_MOMENT_DATA,-585734970
KIND_MOMENT_OUTCOME,1753834379
KIND_MOMENT_ILLUSTRATION,49484483
KIND_RESOLUTION,1497525151
KIND_DISCUSSION,1680383258
KIND_PROPOSAL_TYPE,-1729324416
KIND_VOTING_BLOCKER,1373137927
KIND_PROPOSAL_BLOCKER,659381041
KIND_MINORCIVBONUS,1045601448
KIND_NAMED_RIVER,1350457006
KIND_NAMED_VOLCANO,156762506
KIND_NAMED_MOUNTAIN,1532601121
KIND_NAMED_DESERT,2056886753
KIND_NAMED_LAKE,983469866
KIND_NAMED_SEA,-1206047629
KIND_NAMED_OCEAN,-910270053
KIND_COASTAL_LOWLAND,219919338
KIND_RANDOM_EVENT,-1705748390
KIND_REALISM_SETTING,2019645922
KIND_ROCKBAND_RESULT,472170240
KIND_BARBARIAN_TRIBE_TYPE,1564002224
KIND_TRIBE_MAP_CONDITION_SET,-1195764438
KIND_SECRETSOCIETY,-666502505
KIND_HEROCLASS,2135884706
