Leader,Name,Sequence,Initial
ANY,NEUTRAL_IDLE,NEUTRAL_IDLE,
ANY,NEUTRAL_NEGATIVE,NEUTRAL_NEGATIVE;NEUTRAL_IDLE,NEUTRAL_IDLE
ANY,NEUTRAL_POSITIVE,NEUTRAL_POSITIVE;NEUTRAL_IDLE,NEUTRAL_IDLE
ANY,NEUTRAL_TO_UNHAPPY,TO_UNHAPPY;UNHAPPY_IDLE,NEUTRAL_IDLE
ANY,UNHAPPY_TO_NEUTRAL,TO_NEUTRAL;NEUTRAL_IDLE,UNHAPPY_IDLE
ANY,NEUTRAL_TO_HAPPY,TO_HAPPY;HAPPY_IDLE,NEUTRAL_IDLE
ANY,HAPPY_TO_NEUTRAL,TO_NEUTRAL;NEUTRAL_IDLE,HAPPY_IDLE
ANY,HAPPY_IDLE,HAPPY_IDLE,
ANY,HAPPY_NEGATIVE,HAPPY_NEGATIVE;HAPPY_IDLE,HAPPY_IDLE
ANY,HAPPY_POSITIVE,HAPPY_POSITIVE;HAPPY_IDLE,HAPPY_IDLE
ANY,UNHAPPY_IDLE,UNHAPPY_IDLE,
ANY,UNHAPPY_NEGATIVE,UNHAPPY_NEGATIVE;UNHAPPY_IDLE,UNHAPPY_IDLE
ANY,UNHAPPY_POSITIVE,UNHAPPY_POSITIVE;UNHAPPY_IDLE,UNHAPPY_IDLE
ANY,NEUTRAL_GREETING,NEUTRAL_POSITIVE;NEUTRAL_IDLE,NEUTRAL_IDLE
ANY,ENRAGED,ENRAGED,$(MOOD)_IDLE
ANY,KUDOS,KUDOS,
ANY,WARNING,WARNING,
ANY,DECLARE_WAR_FROM_HUMAN,DECLARE_WAR_FROM_HUMAN,
ANY,DECLARE_WAR_FROM_AI,DECLARE_WAR_FROM_AI,
ANY,FIRST_MEET,FIRST_MEET,
ANY,DEFEAT,DEFEAT,
