LeaderType,Quote,QuoteAudio
LEADER_BARBAROSSA,LOC_PEDIA_LEADERS_PAGE_LEADER_BARBAROSSA_QUOTE,Play_GERM_FB_MISC_PEP_TALK_B
LEADER_CATHERINE_DE_MEDICI,LOC_PEDIA_LEADERS_PAGE_LEADER_CATHERINE_DE_MEDICI_QUOTE,Play_FRAN_CA_MISC_PEP_TALK_D_2
LEADER_CLEOPATRA,LOC_PEDIA_LEADERS_PAGE_LEADER_CLEOPATRA_QUOTE,Play_EGYP_CP_MISC_PEP_TALK_D_V1
LEADER_GANDHI,LOC_PEDIA_LEADERS_PAGE_LEADER_GANDHI_QUOTE,Play_INDI_GA_MISC_PEP_TALK_A_1
LEADER_GILGAMESH,LOC_PEDIA_LEADERS_PAGE_LEADER_GILGAMESH_QUOTE,Play_SUME_GL_MISC_PEP_TALK_B
LEADER_GORGO,LOC_PEDIA_LEADERS_PAGE_LEADER_GORGO_QUOTE,Play_GREE_GO_MISC_PEP_TALK_D_1
LEADER_HARDRADA,LOC_PEDIA_LEADERS_PAGE_LEADER_HARDRADA_QUOTE,Play_NORW_HH_MISC_PEP_TALK_B_1
LEADER_HOJO,LOC_PEDIA_LEADERS_PAGE_LEADER_HOJO_QUOTE,Play_JAPA_HT_MISC_PEP_TALK_D_1
LEADER_MVEMBA,LOC_PEDIA_LEADERS_PAGE_LEADER_MVEMBA_QUOTE,Play_KONG_AF_MISC_PEP_TALK_A_1
LEADER_PEDRO,LOC_PEDIA_LEADERS_PAGE_LEADER_PEDRO_QUOTE,Play_BRAZ_PE_MISC_PEP_TALK_B_3
LEADER_PERICLES,LOC_PEDIA_LEADERS_PAGE_LEADER_PERICLES_QUOTE,Play_GREE_PE_MISC_PEP_TALK_D
LEADER_PETER_GREAT,LOC_PEDIA_LEADERS_PAGE_LEADER_PETER_GREAT_QUOTE,Play_RUSS_PA_MISC_PEP_TALK_A_1
LEADER_PHILIP_II,LOC_PEDIA_LEADERS_PAGE_LEADER_PHILIP_II_QUOTE,Play_SPAI_PH_MISC_PEP_TALK_C
LEADER_QIN,LOC_PEDIA_LEADERS_PAGE_LEADER_QIN_QUOTE,Play_CHIN_QS_MISC_PEP_TALK_E_3
LEADER_SALADIN,LOC_PEDIA_LEADERS_PAGE_LEADER_SALADIN_QUOTE,Play_ARAB_SA_MISC_PEP___TALK_C
LEADER_TOMYRIS,LOC_PEDIA_LEADERS_PAGE_LEADER_TOMYRIS_QUOTE,Play_SCYT_TO_MISC_PEP_TALK_B_1
LEADER_TRAJAN,LOC_PEDIA_LEADERS_PAGE_LEADER_TRAJAN_QUOTE,Play_ROME_TR_MISC_PEP_TALK_D_2
LEADER_VICTORIA,LOC_PEDIA_LEADERS_PAGE_LEADER_VICTORIA_QUOTE,Play_ENGL_QV_MISC_PEP_TALK_B
LEADER_MONTEZUMA,LOC_PEDIA_LEADERS_PAGE_LEADER_MONTEZUMA_QUOTE,Play_AZTE_MO_MISC_PEP_TALK_D
LEADER_GITARJA,LOC_PEDIA_LEADERS_PAGE_LEADER_GITARJA_QUOTE,INDO_GI_MISC_PEP_TALK_A_1
LEADER_JAYAVARMAN,LOC_PEDIA_LEADERS_PAGE_LEADER_JAYAVARMAN_QUOTE,KHME_JA_MISC_PEP_TALK_A_2
LEADER_JADWIGA,LOC_PEDIA_LEADERS_PAGE_LEADER_JADWIGA_QUOTE,Play_POLA_JA_MISC_PEP_TALK_B_1
LEADER_AMANITORE,LOC_PEDIA_LEADERS_PAGE_LEADER_AMANITORE_QUOTE,NUBI_AM_MISC_PEP_TALK_A_2
LEADER_ALEXANDER,LOC_PEDIA_LEADERS_PAGE_LEADER_ALEXANDER_QUOTE,MACE_AL_MISC_PEP_TALK_D
LEADER_CYRUS,LOC_PEDIA_LEADERS_PAGE_LEADER_CYRUS_QUOTE,PERS_CY_MISC_PEP_TALK_B
LEADER_JOHN_CURTIN,LOC_PEDIA_LEADERS_PAGE_LEADER_JOHN_CURTIN_QUOTE,AUST_JN_MISC_PEP_TALK_Aa
LEADER_CHANDRAGUPTA,LOC_PEDIA_LEADERS_PAGE_LEADER_CHANDRAGUPTA_QUOTE,INDI_CH_MISC_PEP_TALK_A_2
LEADER_GENGHIS_KHAN,LOC_PEDIA_LEADERS_PAGE_LEADER_GENGHIS_KHAN_QUOTE,MONG_GE_MISC_PEP_TALK_A_1
LEADER_LAUTARO,LOC_PEDIA_LEADERS_PAGE_LEADER_LAUTARO_QUOTE,MAPU_LA_MISC_PEP_TALK_B_3
LEADER_POUNDMAKER,LOC_PEDIA_LEADERS_PAGE_LEADER_POUNDMAKER_QUOTE,CREE_PO_MISC_PEP_TALK_A_2
LEADER_ROBERT_THE_BRUCE,LOC_PEDIA_LEADERS_PAGE_LEADER_ROBERT_THE_BRUCE_QUOTE,SCOT_RO_MISC_PEP_TALK_A_4
LEADER_SEONDEOK,LOC_PEDIA_LEADERS_PAGE_LEADER_SEONDEOK_QUOTE,KORE_SE_MISC_PEP_TALK_B
LEADER_SHAKA,LOC_PEDIA_LEADERS_PAGE_LEADER_SHAKA_QUOTE,ZULU_SH_MISC_PEP_TALK_A_1
LEADER_TAMAR,LOC_PEDIA_LEADERS_PAGE_LEADER_TAMAR_QUOTE,GEOR_TA_MISC_PEP_TALK_B_1
LEADER_WILHELMINA,LOC_PEDIA_LEADERS_PAGE_LEADER_WILHELMINA_QUOTE,NETH_WI_MISC_PEP_TALK_B_1
LEADER_DIDO,LOC_PEDIA_LEADERS_PAGE_LEADER_DIDO_QUOTE,PHOENICIA_MA_MISC_PEP_TALK_A_3
LEADER_ELEANOR_ENGLAND,LOC_PEDIA_LEADERS_PAGE_LEADER_ELEANOR_ENGLAND_QUOTE,ELENOR_MA_MISC_PEP_TALK_A_2
LEADER_ELEANOR_FRANCE,LOC_PEDIA_LEADERS_PAGE_LEADER_ELEANOR_FRANCE_QUOTE,ELENOR_MA_MISC_PEP_TALK_A_2
LEADER_KRISTINA,LOC_PEDIA_LEADERS_PAGE_LEADER_KRISTINA_QUOTE,KRISTINA_MA_MISC_PEP_TALK_A_1
LEADER_KUPE,LOC_PEDIA_LEADERS_PAGE_LEADER_KUPE_QUOTE,KUPE_MA_MISC_PEP_TALK_B_3
LEADER_LAURIER,LOC_PEDIA_LEADERS_PAGE_LEADER_LAURIER_QUOTE,LAURIER_MA_MISC_PEP_TALK_A_2
LEADER_MANSA_MUSA,LOC_PEDIA_LEADERS_PAGE_LEADER_MANSA_MUSA_QUOTE,MANSA_MUSA_MA_MISC_PEP_TALK_B_1
LEADER_MATTHIAS_CORVINUS,LOC_PEDIA_LEADERS_PAGE_LEADER_MATTHIAS_CORVINUS_QUOTE,HUNGARY_MA_MISC_PEP_TALK_A_2
LEADER_PACHACUTI,LOC_PEDIA_LEADERS_PAGE_LEADER_PACHACUTI_QUOTE,INCA_MA_MISC_1_PEP_TALK_A_1
LEADER_SULEIMAN,LOC_PEDIA_LEADERS_PAGE_LEADER_SULEIMAN_QUOTE,SULEIMAN_MA_MISC_PEP_TALK_B_3
LEADER_T_ROOSEVELT,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_BULL_MOOSE_QUOTE,
LEADER_T_ROOSEVELT_ROUGHRIDER,LOC_PEDIA_LEADERS_PAGE_LEADER_T_ROOSEVELT_QUOTE,Play_AMER_TR_MISC_PEP_TALK_C_03
LEADER_ELIZABETH,LOC_PEDIA_LEADERS_PAGE_LEADER_ELIZABETH_QUOTE,ELIZABETH_MA_MISC_PEP_TALK_B_SELECT
LEADER_HARALD_ALT,LOC_PEDIA_LEADERS_PAGE_LEADER_HARALD_ALT_QUOTE,Harald_HH_MISC_PEP_TALK_B_1
LEADER_VICTORIA_ALT,LOC_PEDIA_LEADERS_PAGE_LEADER_VICTORIA_ALT_QUOTE,Victoria_MISC_PEP_TALK_D
LEADER_ABRAHAM_LINCOLN,LOC_PEDIA_LEADERS_PAGE_LEADER_ABRAHAM_LINCOLN_QUOTE,AMER_LIN_MISC_PEP_TALK_B_SELECT
LEADER_NZINGA_MBANDE,LOC_PEDIA_LEADERS_PAGE_LEADER_NZINGA_MBANDE_QUOTE,KONG_NZI_MISC_PEP_TALK_A_SELECT
LEADER_SALADIN_ALT,LOC_PEDIA_LEADERS_PAGE_LEADER_SALADIN_ALT_QUOTE,ARAB_SA_MISC_PEP___TALK_B_1
LEADER_YONGLE,LOC_PEDIA_LEADERS_PAGE_LEADER_YONGLE_QUOTE,YONGLE_MA_MISC_PEP_TALK_B_SELECT
LEADER_WU_ZETIAN,LOC_PEDIA_LEADERS_PAGE_LEADER_WU_ZETIAN_QUOTE,WUZETIAN_MA_MISC_PEP_TALK_A_SELECT
LEADER_QIN_ALT,LOC_PEDIA_LEADERS_PAGE_LEADER_QIN_ALT_QUOTE,Qin_MISC_PEP_TALK_B_2
LEADER_RAMSES,LOC_PEDIA_LEADERS_PAGE_LEADER_RAMSES_QUOTE,RAMSES_MA_MISC_PEP_TALK_B_SELECT
LEADER_CLEOPATRA_ALT,LOC_PEDIA_LEADERS_PAGE_LEADER_CLEOPATRA_ALT_QUOTE,Cleopatra_MISC_PEP_TALK_C_E1
LEADER_SUNDIATA_KEITA,LOC_PEDIA_LEADERS_PAGE_LEADER_SUNDIATA_KEITA_QUOTE,SUNDIATA_MA_MISC_PEP_TALK_A_SELECT
LEADER_LADY_SIX_SKY,LOC_PEDIA_LEADERS_PAGE_LEADER_LADY_SIX_SKY_QUOTE,LADYSIXSKY_MA_MISC_PEP_TALK_B_02
LEADER_SIMON_BOLIVAR,LOC_PEDIA_LEADERS_PAGE_LEADER_SIMON_BOLIVAR_QUOTE,BOLIVAR_MA_MISC_PEP_TALK_B_04
LEADER_JULIUS_CAESAR,LOC_PEDIA_LEADERS_PAGE_LEADER_JULIUS_CAESAR_QUOTE,ROME_JU_MISC_PEP_TALK_B_ALT3
LEADER_AMBIORIX,LOC_PEDIA_LEADERS_PAGE_LEADER_AMBIORIX_QUOTE,AMBIORIX_MA_MISC_PEP_TALK_B_05
LEADER_BASIL,LOC_PEDIA_LEADERS_PAGE_LEADER_BASIL_QUOTE,BASIL_MA_MISC_PEP_TALK_A_05
LEADER_KUBLAI_KHAN_CHINA,LOC_PEDIA_LEADERS_PAGE_LEADER_KUBLAI_KHAN_CHINA_QUOTE,KUBLAIKHAN_MA_MISC_PEP_TALK_B_01
LEADER_LADY_TRIEU,LOC_PEDIA_LEADERS_PAGE_LEADER_LADY_TRIEU_QUOTE,LADYTRIEU_MA_MISC_PEP_TALK_B_03
LEADER_KUBLAI_KHAN_MONGOLIA,LOC_PEDIA_LEADERS_PAGE_LEADER_KUBLAI_KHAN_CHINA_QUOTE,KUBLAIKHAN_MA_MISC_PEP_TALK_B_01
LEADER_CATHERINE_DE_MEDICI_ALT,LOC_PEDIA_LEADERS_PAGE_LEADER_CATHERINE_DE_MEDICI_ALT_QUOTE,Play_FRAN_CA_VICTORY_CULTURE_B
LEADER_TOKUGAWA,LOC_PEDIA_LEADERS_PAGE_LEADER_TOKUGAWA_QUOTE,TOKUGAWA_MA_MISC_PEP_TALK_B_SELECT
LEADER_NADER_SHAH,LOC_PEDIA_LEADERS_PAGE_LEADER_NADER_SHAH_QUOTE,NADER_SHAH_MA_MISC_PEP_TALK_A_SELECT
LEADER_SULEIMAN_ALT,LOC_PEDIA_LEADERS_PAGE_LEADER_SULEIMAN_ALT_QUOTE,Suleiman_MISC_PEP_TALK_A_2
LEADER_MENELIK,LOC_PEDIA_LEADERS_PAGE_LEADER_MENELIK_QUOTE,MENELIK_MA_MISC_PEP_TALK_A_01
LEADER_HAMMURABI,LOC_PEDIA_LEADERS_PAGE_LEADER_HAMMURABI_QUOTE,HAMMURABI_MA_MISC_PEP_TALK_A_05
LEADER_LUDWIG,LOC_PEDIA_LEADERS_PAGE_LEADER_LUDWIG_QUOTE,LUDWIG_MA_PEPTALK_A_SELECT
LEADER_THEODORA,LOC_PEDIA_LEADERS_PAGE_LEADER_THEODORA_QUOTE,THEODORA_MA_MISC_PEP_TALK_B_SELECT
LEADER_SEJONG,LOC_PEDIA_LEADERS_PAGE_LEADER_SEJONG_QUOTE,SEJONG_MA_MISC_PEP_TALK_B_SELECT
LEADER_JOAO_III,LOC_PEDIA_LEADERS_PAGE_LEADER_JOAO_III_QUOTE,JOAO_MA_MISC_PEP_TALK_A_02
