LeaderType,TraitType
LEADER_BARBARIAN,TRAIT_LEADER_BARBARIAN
LEADER_DEFAULT,TRAIT_LEADER_MAJOR_CIV
LEADER_BARBAROSSA,TRAIT_LEADER_HOLY_ROMAN_EMPEROR
LEADER_CATHERINE_DE_MEDICI,FLYING_SQUADRON_TRAIT
LEADER_CATHERINE_DE_MEDICI,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_CLEOPATRA,TRAIT_LEADER_MEDITERRANEAN
LEADER_GANDHI,TRAIT_LEADER_SATYAGRAHA
LEADER_GANDHI,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV
LEADER_GANDHI,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_GILGAMESH,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_GILGAMESH,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_GILGAMESH,TRAIT_LEADER_SCIENCE_MAJOR_CIV
LEADER_GORGO,CULTURE_KILLS_TRAIT
LEADER_GORGO,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_GORGO,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_HARDRADA,TRAIT_LEADER_MELEE_COASTAL_RAIDS
LEADER_HARDRADA,TRAIT_LEADER_UNIT_NORWEGIAN_LONGSHIP
LEADER_HOJO,TRAIT_LEADER_DIVINE_WIND
LEADER_MVEMBA,TRAIT_LEADER_RELIGIOUS_CONVERT
LEADER_MVEMBA,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_PEDRO,TRAIT_LEADER_MAGNANIMOUS
LEADER_PEDRO,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_PERICLES,TRAIT_LEADER_SURROUNDED_BY_GLORY
LEADER_PERICLES,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_PERICLES,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_PETER_GREAT,TRAIT_LEADER_GRAND_EMBASSY
LEADER_PETER_GREAT,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV
LEADER_PHILIP_II,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV
LEADER_PHILIP_II,TRAIT_LEADER_EL_ESCORIAL
LEADER_QIN,FIRST_EMPEROR_TRAIT
LEADER_QIN,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_QIN,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_SALADIN,TRAIT_LEADER_RIGHTEOUSNESS_OF_FAITH
LEADER_SALADIN,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV
LEADER_TOMYRIS,TRAIT_LEADER_KILLER_OF_CYRUS
LEADER_TRAJAN,TRAJANS_COLUMN_TRAIT
LEADER_TRAJAN,TRAIT_LEADER_EXPANSIONIST
LEADER_TRAJAN,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_T_ROOSEVELT,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_T_ROOSEVELT,TRAIT_LEADER_NONRELIGIOUS_MAJOR_CIV
LEADER_T_ROOSEVELT,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_T_ROOSEVELT,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_VICTORIA,TRAIT_LEADER_PAX_BRITANNICA
LEADER_VICTORIA,TRAIT_LEADER_UNIT_ENGLISH_REDCOAT
LEADER_VICTORIA,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_MINOR_CIV_DEFAULT,MINOR_CIV_DEFAULT_TRAIT
LEADER_MINOR_CIV_SCIENTIFIC,MINOR_CIV_SCIENTIFIC_TRAIT
LEADER_MINOR_CIV_RELIGIOUS,MINOR_CIV_RELIGIOUS_TRAIT
LEADER_MINOR_CIV_TRADE,MINOR_CIV_TRADE_TRAIT
LEADER_MINOR_CIV_CULTURAL,MINOR_CIV_CULTURAL_TRAIT
LEADER_MINOR_CIV_MILITARISTIC,MINOR_CIV_MILITARISTIC_TRAIT
LEADER_MINOR_CIV_INDUSTRIAL,MINOR_CIV_INDUSTRIAL_TRAIT
LEADER_MINOR_CIV_BRUSSELS,MINOR_CIV_BRUSSELS_TRAIT
LEADER_MINOR_CIV_BUENOS_AIRES,MINOR_CIV_BUENOS_AIRES_TRAIT
LEADER_MINOR_CIV_GENEVA,MINOR_CIV_GENEVA_TRAIT
LEADER_MINOR_CIV_HATTUSA,MINOR_CIV_HATTUSA_TRAIT
LEADER_MINOR_CIV_HONG_KONG,MINOR_CIV_HONG_KONG_TRAIT
LEADER_MINOR_CIV_JAKARTA,MINOR_CIV_JAKARTA_TRAIT
LEADER_MINOR_CIV_KABUL,MINOR_CIV_KABUL_TRAIT
LEADER_MINOR_CIV_KANDY,MINOR_CIV_KANDY_TRAIT
LEADER_MINOR_CIV_KUMASI,MINOR_CIV_KUMASI_TRAIT
LEADER_MINOR_CIV_LA_VENTA,MINOR_CIV_LA_VENTA_TRAIT
LEADER_MINOR_CIV_LISBON,MINOR_CIV_LISBON_TRAIT
LEADER_MINOR_CIV_MOHENJO_DARO,MINOR_CIV_MOHENJO_DARO_TRAIT
LEADER_MINOR_CIV_NAN_MADOL,MINOR_CIV_NAN_MADOL_TRAIT
LEADER_MINOR_CIV_VALLETTA,MINOR_CIV_VALLETTA_TRAIT
LEADER_MINOR_CIV_YEREVAN,MINOR_CIV_YEREVAN_TRAIT
LEADER_MINOR_CIV_ZANZIBAR,MINOR_CIV_ZANZIBAR_TRAIT
