LeaderType,Name,OperationList,IsBarbarianLeader,InheritFrom,SceneLayers,Sex,SameSexPercentage
LEADER_DEFAULT,LOC_EMPTY,,0,,0,Male,0
LEADER_BARBAROSSA,LOC_LEADER_BARBAROSSA_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_CATHERINE_DE_MEDICI,LOC_LEADER_CATHERINE_DE_MEDICI_EXPANDED_NAME,,0,LEADER_DEFAULT,4,Female,0
LEADER_CLEOPATRA,LOC_LEADER_CLEOPATRA_ORIGINAL_NAME,,0,LEADER_DEFAULT,4,Female,0
LEADER_GANDHI,LOC_LEADER_GANDHI_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_GILGAMESH,LOC_LEADER_GILGAMESH_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_GORGO,LOC_LEADER_GORGO_NAME,,0,LEADER_DEFAULT,4,Female,0
LEADER_HARDRADA,LOC_LEADER_HARDRADA_ORIGINAL_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_HOJO,LOC_LEADER_HOJO_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_MVEMBA,LOC_LEADER_MVEMBA_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_PEDRO,LOC_LEADER_PEDRO_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_PERICLES,LOC_LEADER_PERICLES_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_PETER_GREAT,LOC_LEADER_PETER_GREAT_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_PHILIP_II,LOC_LEADER_PHILIP_II_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_QIN,LOC_LEADER_QIN_ORIGINAL_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_SALADIN,LOC_LEADER_SALADIN_ORIGINAL_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_TOMYRIS,LOC_LEADER_TOMYRIS_NAME,,0,LEADER_DEFAULT,4,Female,0
LEADER_TRAJAN,LOC_LEADER_TRAJAN_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_T_ROOSEVELT,LOC_LEADER_T_ROOSEVELT_ORIGINAL_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_VICTORIA,LOC_LEADER_VICTORIA_ORIGINAL_NAME,,0,LEADER_DEFAULT,4,Female,0
LEADER_MINOR_CIV_DEFAULT,LOC_EMPTY,,0,,0,Male,0
LEADER_MINOR_CIV_SCIENTIFIC,LOC_EMPTY,,0,LEADER_MINOR_CIV_DEFAULT,0,Male,0
LEADER_MINOR_CIV_RELIGIOUS,LOC_EMPTY,,0,LEADER_MINOR_CIV_DEFAULT,0,Male,0
LEADER_MINOR_CIV_TRADE,LOC_EMPTY,,0,LEADER_MINOR_CIV_DEFAULT,0,Male,0
LEADER_MINOR_CIV_CULTURAL,LOC_EMPTY,,0,LEADER_MINOR_CIV_DEFAULT,0,Male,0
LEADER_MINOR_CIV_MILITARISTIC,LOC_EMPTY,,0,LEADER_MINOR_CIV_DEFAULT,0,Male,0
LEADER_MINOR_CIV_INDUSTRIAL,LOC_EMPTY,,0,LEADER_MINOR_CIV_DEFAULT,0,Male,0
LEADER_MINOR_CIV_BRUSSELS,LOC_CIVILIZATION_BRUSSELS_NAME,,0,LEADER_MINOR_CIV_INDUSTRIAL,0,Male,0
LEADER_MINOR_CIV_BUENOS_AIRES,LOC_CIVILIZATION_BUENOS_AIRES_NAME,,0,LEADER_MINOR_CIV_INDUSTRIAL,0,Male,0
LEADER_MINOR_CIV_CARTHAGE,LOC_CIVILIZATION_CARTHAGE_NAME,,0,LEADER_MINOR_CIV_MILITARISTIC,0,Male,0
LEADER_MINOR_CIV_GENEVA,LOC_CIVILIZATION_GENEVA_NAME,,0,LEADER_MINOR_CIV_SCIENTIFIC,0,Male,0
LEADER_MINOR_CIV_HATTUSA,LOC_CIVILIZATION_HATTUSA_NAME,,0,LEADER_MINOR_CIV_SCIENTIFIC,0,Male,0
LEADER_MINOR_CIV_HONG_KONG,LOC_CIVILIZATION_HONG_KONG_NAME,,0,LEADER_MINOR_CIV_INDUSTRIAL,0,Male,0
LEADER_MINOR_CIV_JAKARTA,LOC_CIVILIZATION_BANDAR_BRUNEI_NAME,,0,LEADER_MINOR_CIV_TRADE,0,Male,0
LEADER_MINOR_CIV_JERUSALEM,LOC_CIVILIZATION_JERUSALEM_NAME,,0,LEADER_MINOR_CIV_RELIGIOUS,0,Male,0
LEADER_MINOR_CIV_KABUL,LOC_CIVILIZATION_KABUL_NAME,,0,LEADER_MINOR_CIV_MILITARISTIC,0,Male,0
LEADER_MINOR_CIV_KANDY,LOC_CIVILIZATION_KANDY_NAME,,0,LEADER_MINOR_CIV_RELIGIOUS,0,Male,0
LEADER_MINOR_CIV_KUMASI,LOC_CIVILIZATION_KUMASI_NAME,,0,LEADER_MINOR_CIV_CULTURAL,0,Male,0
LEADER_MINOR_CIV_LA_VENTA,LOC_CIVILIZATION_LA_VENTA_NAME,,0,LEADER_MINOR_CIV_RELIGIOUS,0,Male,0
LEADER_MINOR_CIV_LISBON,LOC_CIVILIZATION_LISBON_NAME,,0,LEADER_MINOR_CIV_TRADE,0,Male,0
LEADER_MINOR_CIV_MOHENJO_DARO,LOC_CIVILIZATION_MOHENJO_DARO_NAME,,0,LEADER_MINOR_CIV_CULTURAL,0,Male,0
LEADER_MINOR_CIV_NAN_MADOL,LOC_CIVILIZATION_NAN_MADOL_NAME,,0,LEADER_MINOR_CIV_CULTURAL,0,Male,0
LEADER_MINOR_CIV_PRESLAV,LOC_CIVILIZATION_PRESLAV_NAME,,0,LEADER_MINOR_CIV_MILITARISTIC,0,Male,0
LEADER_MINOR_CIV_STOCKHOLM,LOC_CIVILIZATION_STOCKHOLM_NAME,,0,LEADER_MINOR_CIV_SCIENTIFIC,0,Male,0
LEADER_MINOR_CIV_VALLETTA,LOC_CIVILIZATION_VALLETTA_NAME,,0,LEADER_MINOR_CIV_MILITARISTIC,0,Male,0
LEADER_MINOR_CIV_VILNIUS,LOC_CIVILIZATION_VILNIUS_NAME,,0,LEADER_MINOR_CIV_CULTURAL,0,Male,0
LEADER_MINOR_CIV_YEREVAN,LOC_CIVILIZATION_YEREVAN_NAME,,0,LEADER_MINOR_CIV_RELIGIOUS,0,Male,0
LEADER_MINOR_CIV_ZANZIBAR,LOC_CIVILIZATION_ZANZIBAR_NAME,,0,LEADER_MINOR_CIV_TRADE,0,Male,0
LEADER_BARBARIAN,LOC_CIVILIZATION_BARBARIAN_NAME,Barbarian Ops,1,,0,Male,0
LEADER_MONTEZUMA,LOC_LEADER_MONTEZUMA_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_GITARJA,LOC_LEADER_GITARJA_NAME,,0,LEADER_DEFAULT,4,Female,0
LEADER_JAYAVARMAN,LOC_LEADER_JAYAVARMAN_NAME,,0,LEADER_DEFAULT,4,Male,0
LEADER_MINOR_CIV_AUCKLAND,LOC_CIVILIZATION_AUCKLAND_NAME,,0,LEADER_MINOR_CIV_INDUSTRIAL,0,Male,0
LEADER_MINOR_CIV_ANTANANARIVO,LOC_CIVILIZATION_ANTANANARIVO_NAME,,0,LEADER_MINOR_CIV_CULTURAL,0,Male,0
LEADER_MINOR_CIV_ARMAGH,LOC_CIVILIZATION_ARMAGH_NAME,,0,LEADER_MINOR_CIV_RELIGIOUS,0,Male,0
LEADER_MINOR_CIV_GRANADA,LOC_CIVILIZATION_GRANADA_NAME,,0,LEADER_MINOR_CIV_MILITARISTIC,0,Male,0
LEADER_MINOR_CIV_MUSCAT,LOC_CIVILIZATION_MUSCAT_NAME,,0,LEADER_MINOR_CIV_TRADE,0,Male,0
LEADER_MINOR_CIV_PALENQUE,LOC_CIVILIZATION_MITLA_NAME,,0,LEADER_MINOR_CIV_SCIENTIFIC,0,Male,0
LEADER_JADWIGA,LOC_LEADER_JADWIGA_NAME,,0,LEADER_DEFAULT,4,Female,0
LEADER_AMANITORE,LOC_LEADER_AMANITORE_NAME,,0,LEADER_DEFAULT,4,Female,0
LEADER_ALEXANDER,LOC_LEADER_ALEXANDER_NAME,,0,LEADER_DEFAULT,4,Male,50
LEADER_CYRUS,LOC_LEADER_CYRUS_NAME,,0,LEADER_DEFAULT,4,Male,0
