LeaderType,OceanStart,MinorCivBonusType
LEADER_MINOR_CIV_AUCKLAND,0,MINOR_CIV_BONUS_INDUSTRIAL
LEADER_MINOR_CIV_ANTANANARIVO,0,MINOR_CIV_BONUS_CULTURAL
LEADER_MINOR_CIV_ARMAGH,0,MINOR_CIV_BONUS_RELIGIOUS
LEADER_MINOR_CIV_GRANADA,0,MINOR_CIV_BONUS_MILITARISTIC
LEADER_MINOR_CIV_MUSCAT,0,MINOR_CIV_BONUS_TRADE
LEADER_MINOR_CIV_PALENQUE,0,MINOR_CIV_BONUS_SCIENTIFIC
LEADER_MINOR_CIV_GENEVA,0,MINOR_CIV_BONUS_SCIENTIFIC
LEADER_MINOR_CIV_HATTUSA,0,MINOR_CIV_BONUS_SCIENTIFIC
LEADER_MINOR_CIV_STOCKHOLM,0,MINOR_CIV_BONUS_SCIENTIFIC
LEADER_MINOR_CIV_BABYLON,0,MINOR_CIV_BONUS_SCIENTIFIC
LEADER_MINOR_CIV_BOLOGNA,0,MINOR_CIV_BONUS_SCIENTIFIC
LEADER_MINOR_CIV_FEZ,0,MINOR_CIV_BONUS_SCIENTIFIC
LEADER_MINOR_CIV_JERUSALEM,0,MINOR_CIV_BONUS_RELIGIOUS
LEADER_MINOR_CIV_KANDY,0,MINOR_CIV_BONUS_RELIGIOUS
LEADER_MINOR_CIV_LA_VENTA,0,MINOR_CIV_BONUS_RELIGIOUS
LEADER_MINOR_CIV_YEREVAN,0,MINOR_CIV_BONUS_RELIGIOUS
LEADER_MINOR_CIV_NAZCA,0,MINOR_CIV_BONUS_RELIGIOUS
LEADER_MINOR_CIV_JAKARTA,0,MINOR_CIV_BONUS_TRADE
LEADER_MINOR_CIV_LISBON,0,MINOR_CIV_BONUS_TRADE
LEADER_MINOR_CIV_ZANZIBAR,0,MINOR_CIV_BONUS_TRADE
LEADER_MINOR_CIV_ANTIOCH,0,MINOR_CIV_BONUS_TRADE
LEADER_MINOR_CIV_CAHOKIA,0,MINOR_CIV_BONUS_TRADE
LEADER_MINOR_CIV_KUMASI,0,MINOR_CIV_BONUS_CULTURAL
LEADER_MINOR_CIV_MOHENJO_DARO,0,MINOR_CIV_BONUS_CULTURAL
LEADER_MINOR_CIV_NAN_MADOL,0,MINOR_CIV_BONUS_CULTURAL
LEADER_MINOR_CIV_VILNIUS,0,MINOR_CIV_BONUS_CULTURAL
LEADER_MINOR_CIV_RAPA_NUI,0,MINOR_CIV_BONUS_CULTURAL
LEADER_MINOR_CIV_CARTHAGE,0,MINOR_CIV_BONUS_MILITARISTIC
LEADER_MINOR_CIV_KABUL,0,MINOR_CIV_BONUS_MILITARISTIC
LEADER_MINOR_CIV_PRESLAV,0,MINOR_CIV_BONUS_MILITARISTIC
LEADER_MINOR_CIV_VALLETTA,0,MINOR_CIV_BONUS_MILITARISTIC
LEADER_MINOR_CIV_AKKAD,0,MINOR_CIV_BONUS_MILITARISTIC
LEADER_MINOR_CIV_NGAZARGAMU,0,MINOR_CIV_BONUS_MILITARISTIC
LEADER_MINOR_CIV_BRUSSELS,0,MINOR_CIV_BONUS_INDUSTRIAL
LEADER_MINOR_CIV_BUENOS_AIRES,0,MINOR_CIV_BONUS_INDUSTRIAL
LEADER_MINOR_CIV_HONG_KONG,0,MINOR_CIV_BONUS_INDUSTRIAL
LEADER_MINOR_CIV_CARDIFF,0,MINOR_CIV_BONUS_INDUSTRIAL
LEADER_MINOR_CIV_MEXICO_CITY,0,MINOR_CIV_BONUS_INDUSTRIAL
LEADER_KUPE,1,
LEADER_MINOR_CIV_CAGUANA,0,MINOR_CIV_BONUS_CULTURAL
LEADER_MINOR_CIV_HUNZA,0,MINOR_CIV_BONUS_TRADE
LEADER_MINOR_CIV_LAHORE,0,MINOR_CIV_BONUS_MILITARISTIC
LEADER_MINOR_CIV_SINGAPORE,0,MINOR_CIV_BONUS_INDUSTRIAL
LEADER_MINOR_CIV_TARUGA,0,MINOR_CIV_BONUS_SCIENTIFIC
LEADER_MINOR_CIV_VATICAN_CITY,0,MINOR_CIV_BONUS_RELIGIOUS
LEADER_MINOR_CIV_AYUTTHAYA,0,MINOR_CIV_BONUS_CULTURAL
LEADER_MINOR_CIV_CHINGUETTI,0,MINOR_CIV_BONUS_RELIGIOUS
LEADER_MINOR_CIV_JOHANNESBURG,0,MINOR_CIV_BONUS_INDUSTRIAL
LEADER_MINOR_CIV_NALANDA,0,MINOR_CIV_BONUS_SCIENTIFIC
LEADER_MINOR_CIV_SAMARKAND,0,MINOR_CIV_BONUS_TRADE
LEADER_MINOR_CIV_WOLIN,0,MINOR_CIV_BONUS_MILITARISTIC
