LeaderType,ForegroundImage,BackgroundImage,EraText,LeaderText,PlayDawnOfManAudio,DawnOfManLeaderId,DawnOfManEraId
LEADER_T_ROOSEVELT_ROUGHRIDER,LEADER_T_ROOSEVELT_ROUGHRIDER_NEUTRAL,LEADER_T_ROOSEVELT_ROUGHRIDER_BACKGROUND,,LOC_LOADING_INFO_LEADER_T_ROOSEVELT,1,LEADER_T_ROOSEVELT,
LEADER_ELIZABETH,LEADER_ELIZABETH_NEUTRAL,LEADER_ELIZABETH_BACKGROUND,,LOC_LOADING_INFO_LEADER_ELIZABETH,1,LEADER_ELIZABETH,
LEADER_HARALD_ALT,LEADER_HARALD_ALT_NEUTRAL,LEADER_HARALD_ALT_BACKGROUND,,LOC_LOADING_INFO_LEADER_HARDRADA,1,LEADER_HARDRADA,
LEADER_VICTORIA_ALT,LEADER_VICTORIA_ALT_NEUTRAL,LEADER_VICTORIA_ALT_BACKGROUND,,LOC_LOADING_INFO_LEADER_VICTORIA,1,LEADER_VICTORIA,
LEADER_SALADIN_ALT,LEADER_SALADIN_ALT_NEUTRAL,LEADER_SALADIN_ALT_BACKGROUND,,LOC_LOADING_INFO_LEADER_SALADIN,1,LEADER_SALADIN,
LEADER_ABRAHAM_LINCOLN,LEADER_ABRAHAM_LINCOLN_NEUTRAL,LEADER_ABRAHAM_LINCOLN_BACKGROUND,,LOC_LOADING_INFO_LEADER_ABRAHAM_LINCOLN,1,LEADER_ABRAHAM_LINCOLN,
LEADER_NZINGA_MBANDE,LEADER_NZINGA_MBANDE_NEUTRAL,LEADER_NZINGA_MBANDE_BACKGROUND,,LOC_LOADING_INFO_LEADER_NZINGA_MBANDE,1,LEADER_NZINGA_MBANDE,
LEADER_YONGLE,LEADER_YONGLE_NEUTRAL,LEADER_YONGLE_BACKGROUND,,LOC_LOADING_INFO_LEADER_YONGLE,1,LEADER_YONGLE,
LEADER_WU_ZETIAN,LEADER_WU_ZETIAN_NEUTRAL,LEADER_WU_ZETIAN_BACKGROUND,,LOC_LOADING_INFO_LEADER_WU_ZETIAN,1,LEADER_WU_ZETIAN,
LEADER_QIN_ALT,LEADER_QIN_ALT_NEUTRAL,LEADER_QIN_ALT_BACKGROUND,,LOC_LOADING_INFO_LEADER_QIN,1,LEADER_QIN,
LEADER_RAMSES,LEADER_RAMSES_NEUTRAL,LEADER_RAMSES_BACKGROUND,,LOC_LOADING_INFO_LEADER_RAMSES,1,LEADER_RAMSES,
LEADER_CLEOPATRA_ALT,LEADER_CLEOPATRA_ALT_NEUTRAL,LEADER_CLEOPATRA_ALT_BACKGROUND,,LOC_LOADING_INFO_LEADER_CLEOPATRA,1,LEADER_CLEOPATRA,
LEADER_SUNDIATA_KEITA,LEADER_SUNDIATA_KEITA_NEUTRAL,LEADER_SUNDIATA_KEITA_BACKGROUND,,LOC_LOADING_INFO_LEADER_SUNDIATA_KEITA,1,LEADER_SUNDIATA_KEITA,
LEADER_CATHERINE_DE_MEDICI_ALT,LEADER_CATHERINE_DE_MEDICI_ALT_NEUTRAL,LEADER_CATHERINE_DE_MEDICI_ALT_BACKGROUND,,LOC_LOADING_INFO_LEADER_CATHERINE_DE_MEDICI,1,LEADER_CATHERINE_DE_MEDICI,
LEADER_TOKUGAWA,LEADER_TOKUGAWA_NEUTRAL,LEADER_TOKUGAWA_BACKGROUND,,LOC_LOADING_INFO_LEADER_TOKUGAWA,1,LEADER_TOKUGAWA,
LEADER_NADER_SHAH,LEADER_NADER_SHAH_NEUTRAL,LEADER_NADER_SHAH_BACKGROUND,,LOC_LOADING_INFO_LEADER_NADER_SHAH,1,LEADER_NADER_SHAH,
LEADER_SULEIMAN_ALT,LEADER_SULEIMAN_ALT_NEUTRAL,LEADER_SULEIMAN_ALT_BACKGROUND,,LOC_LOADING_INFO_LEADER_SULEIMAN,1,LEADER_SULEIMAN,
LEADER_LUDWIG,LEADER_LUDWIG_NEUTRAL,LEADER_LUDWIGN_BACKGROUND,,LOC_LOADING_INFO_LEADER_LUDWIG,1,LEADER_LUDWIG,
LEADER_THEODORA,LEADER_THEODORA_NEUTRAL,LEADER_THEODORA_BACKGROUND,,LOC_LOADING_INFO_LEADER_THEODORA,1,LEADER_THEODORA,
LEADER_SEJONG,LEADER_SEJONG_NEUTRAL,LEADER_SEJONG_BACKGROUND,,LOC_LOADING_INFO_LEADER_SEJONG,1,LEADER_SEJONG,
