Unit,Era,District,Quantity,NotStartTile,OnDistrictCreated,AiOnly,MinDifficulty,DifficultyDelta
UNIT_SETTLER,ERA_ANCIENT,DISTRICT_CITY_CENTER,1,0,0,0,,0.0
UNIT_WARRIOR,ERA_ANCIENT,DISTRICT_CITY_CENTER,1,1,0,0,,0.0
UNIT_WARRIOR,ERA_ANCIENT,DISTRICT_CITY_CENTER,1,1,0,1,DIFFICULTY_KING,1.0
UNIT_BUILDER,ERA_ANCIENT,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_KING,0.5
UNIT_SETTLER,ERA_CLASSICAL,DISTRICT_CITY_CENTER,1,0,0,0,,0.0
UNIT_BUILDER,ERA_CLASSICAL,DISTRICT_CITY_CENTER,1,0,0,0,,0.0
UNIT_SCOUT,ERA_CLASSICAL,DISTRICT_CITY_CENTER,1,1,0,0,,0.0
UNIT_SPEARMAN,ERA_CLASSICAL,DISTRICT_CITY_CENTER,1,0,0,0,,0.0
UNIT_SPEARMAN,ERA_CLASSICAL,DISTRICT_CITY_CENTER,1,1,0,1,DIFFICULTY_KING,1.0
UNIT_BUILDER,ERA_CLASSICAL,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_KING,0.5
UNIT_SETTLER,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,2,0,0,0,,0.0
UNIT_BUILDER,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,2,0,1,0,,0.0
UNIT_TRADER,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,1,0,1,0,,0.0
UNIT_SCOUT,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,1,1,0,0,,0.0
UNIT_SPEARMAN,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,1,0,1,0,,0.0
UNIT_ARCHER,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,1,0,0,0,,0.0
UNIT_SPEARMAN,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,1,1,0,1,DIFFICULTY_KING,1.0
UNIT_BUILDER,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_KING,0.5
UNIT_SETTLER,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,2,0,0,0,,0.0
UNIT_BUILDER,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,2,0,1,0,,0.0
UNIT_TRADER,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,1,0,1,0,,0.0
UNIT_SKIRMISHER,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,2,1,0,0,,0.0
UNIT_PIKEMAN,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,2,0,1,0,,0.0
UNIT_CROSSBOWMAN,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,1,0,0,0,,0.0
UNIT_PIKEMAN,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,1,1,0,1,DIFFICULTY_KING,1.0
UNIT_BUILDER,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_KING,0.5
UNIT_SETTLER,ERA_INDUSTRIAL,DISTRICT_CITY_CENTER,2,0,0,0,,0.0
UNIT_BUILDER,ERA_INDUSTRIAL,DISTRICT_CITY_CENTER,2,0,1,0,,0.0
UNIT_TRADER,ERA_INDUSTRIAL,DISTRICT_CITY_CENTER,1,0,1,0,,0.0
UNIT_PIKE_AND_SHOT,ERA_INDUSTRIAL,DISTRICT_CITY_CENTER,2,0,1,0,,0.0
UNIT_SKIRMISHER,ERA_INDUSTRIAL,DISTRICT_CITY_CENTER,2,1,0,0,,0.0
UNIT_CROSSBOWMAN,ERA_INDUSTRIAL,DISTRICT_CITY_CENTER,2,0,0,0,,0.0
UNIT_PIKE_AND_SHOT,ERA_INDUSTRIAL,DISTRICT_CITY_CENTER,1,1,0,1,DIFFICULTY_KING,1.0
UNIT_BUILDER,ERA_INDUSTRIAL,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_KING,0.5
UNIT_SETTLER,ERA_MODERN,DISTRICT_CITY_CENTER,3,0,0,0,,0.0
UNIT_BUILDER,ERA_MODERN,DISTRICT_CITY_CENTER,3,0,1,0,,0.0
UNIT_TRADER,ERA_MODERN,DISTRICT_CITY_CENTER,2,0,1,0,,0.0
UNIT_RANGER,ERA_MODERN,DISTRICT_CITY_CENTER,3,1,0,0,,0.0
UNIT_PIKE_AND_SHOT,ERA_MODERN,DISTRICT_CITY_CENTER,3,0,1,0,,0.0
UNIT_FIELD_CANNON,ERA_MODERN,DISTRICT_CITY_CENTER,2,0,0,0,,0.0
UNIT_RANGER,ERA_MODERN,DISTRICT_CITY_CENTER,1,1,0,1,DIFFICULTY_KING,1.0
UNIT_BUILDER,ERA_MODERN,DISTRICT_CITY_CENTER,1,0,1,1,DIFFICULTY_KING,0.5
UNIT_SETTLER,ERA_ATOMIC,DISTRICT_CITY_CENTER,3,0,0,0,,0.0
UNIT_BUILDER,ERA_ATOMIC,DISTRICT_CITY_CENTER,3,0,1,0,,0.0
UNIT_TRADER,ERA_ATOMIC,DISTRICT_CITY_CENTER,2,0,1,0,,0.0
UNIT_RANGER,ERA_ATOMIC,DISTRICT_CITY_CENTER,3,1,0,0,,0.0
UNIT_AT_CREW,ERA_ATOMIC,DISTRICT_CITY_CENTER,3,0,1,0,,0.0
UNIT_FIELD_CANNON,ERA_ATOMIC,DISTRICT_CITY_CENTER,3,0,0,0,,0.0
UNIT_AT_CREW,ERA_ATOMIC,DISTRICT_CITY_CENTER,1,1,0,1,DIFFICULTY_KING,1.0
