ModifierId,Name,Type,Value,Extra,SecondExtra
AGENDA_BLACK_QUEEN,StatementKey,ARGTYPE_IDENTITY,AGENDA_BLACK_QUEEN_WARNING,,
AGENDA_BUSHIDO,StatementKey,ARGTYPE_IDENTITY,AGENDA_BUSHIDO_WARNING,,
AGENDA_LAST_VIKING_KING,StatementKey,ARGTYPE_IDENTITY,AGENDA_LAST_VIKING_KING_WARNING,,
AGENDA_OPTIMUS_PRINCEPS,StatementKey,ARGTYPE_IDENTITY,AGENDA_OPTIMUS_PRINCEPS_WARNING,,
AGENDA_PARANOID,StatementKey,ARGTYPE_IDENTITY,AGENDA_PARANOID_WARNING,,
AGENDA_QUEEN_OF_NILE,StatementKey,ARGTYPE_IDENTITY,AGENDA_QUEEN_OF_NILE_WARNING,,
AGENDA_ADJUST_GOVERNMENT_INTOLERANCE,IntoleranceMultiplier,ARGTYPE_IDENTITY,2,,
AGENDA_ADJUST_GOVERNMENT_INTOLERANCE,SameEraIntoleranceFlatBonus,ARGTYPE_IDENTITY,-6,,
AGENDA_EXPLOITATION,InitialValue,ARGTYPE_IDENTITY,0,,
AGENDA_EXPLOITATION,IncrementValue,ARGTYPE_IDENTITY,0,,
AGENDA_EXPLOITATION,StatementKey,ARGTYPE_IDENTITY,LOC_DIPLO_KUDO_LEADER_ANY_REASON_AGENDA_EXPLOITATION,,
AGENDA_EXPLOITATION,SimpleModifierDescription,ARGTYPE_IDENTITY,LOC_DIPLO_MODIFIER_DESCRIPTION_EXPLOITATION,,
AGENDA_EXPLOITATION,HiddenAgenda,ARGTYPE_IDENTITY,1,,
AGENDA_EXPLOITATION,TileImprovementHighThreshold,ARGTYPE_IDENTITY,75,,
AGENDA_EXPLOITATION,TileImprovementLowThreshold,ARGTYPE_IDENTITY,35,,
AGENDA_EXPLOITATION,PlotFeatureRemovalValue,ARGTYPE_IDENTITY,1,,
AGENDA_EXPLOITATION,NationalParkConstructionValue,ARGTYPE_IDENTITY,10,,
AGENDA_EXPLOITATION,TileImprovementPreferenceValue,ARGTYPE_IDENTITY,9,,
AGENDA_EXPLOITATION,MaxDiploModifierMagnitude,ARGTYPE_IDENTITY,10,,
AGENDA_EXPLOITATION,HighScoreThreshold,ARGTYPE_IDENTITY,15,,
AGENDA_EXPLOITATION,LowScoreThreshold,ARGTYPE_IDENTITY,-15,,
AGENDA_ALLY_OF_ENKIDU_FRIEND,InitialValue,ARGTYPE_IDENTITY,12,,
AGENDA_ALLY_OF_ENKIDU_FRIEND,ReductionTurns,ARGTYPE_IDENTITY,10,,
AGENDA_ALLY_OF_ENKIDU_FRIEND,ReductionValue,ARGTYPE_IDENTITY,1,,
AGENDA_ALLY_OF_ENKIDU_FRIEND,MessageThrottle,ARGTYPE_IDENTITY,20,,
AGENDA_ALLY_OF_ENKIDU_FRIEND,StatementKey,ARGTYPE_IDENTITY,LOC_DIPLO_KUDO_LEADER_GILGAMESH_REASON_ANY,,
AGENDA_ALLY_OF_ENKIDU_FRIEND,SimpleModifierDescription,ARGTYPE_IDENTITY,LOC_DIPLO_MODIFIER_ALLY_OF_ENKIDU_DECLARED_FRIEND,,
AGENDA_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,InitialValue,ARGTYPE_IDENTITY,-12,,
AGENDA_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,ReductionTurns,ARGTYPE_IDENTITY,10,,
AGENDA_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,ReductionValue,ARGTYPE_IDENTITY,-1,,
AGENDA_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,MessageThrottle,ARGTYPE_IDENTITY,20,,
AGENDA_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,StatementKey,ARGTYPE_IDENTITY,LOC_DIPLO_WARNING_LEADER_GILGAMESH_REASON_ANY,,
AGENDA_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,SimpleModifierDescription,ARGTYPE_IDENTITY,LOC_DIPLO_MODIFIER_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,,
AGENDA_BACKSTAB_AVERSE_FRIEND,InitialValue,ARGTYPE_IDENTITY,1,,
AGENDA_BACKSTAB_AVERSE_FRIEND,MaxValue,ARGTYPE_IDENTITY,12,,
AGENDA_BACKSTAB_AVERSE_FRIEND,IncrementValue,ARGTYPE_IDENTITY,1,,
AGENDA_BACKSTAB_AVERSE_FRIEND,IncrementTurns,ARGTYPE_IDENTITY,10,,
AGENDA_BACKSTAB_AVERSE_FRIEND,StatementKey,ARGTYPE_IDENTITY,LOC_DIPLO_KUDO_LEADER_TOMYRIS_REASON_ANY,,
AGENDA_BACKSTAB_AVERSE_FRIEND,SimpleModifierDescription,ARGTYPE_IDENTITY,LOC_DIPLO_MODIFIER_BACKSTAB_AVERSE_FRIEND,,
AGENDA_BACKSTAB_AVERSE_SURPRISE_WAR,InitialValue,ARGTYPE_IDENTITY,-10,,
AGENDA_BACKSTAB_AVERSE_SURPRISE_WAR,ReductionTurns,ARGTYPE_IDENTITY,10,,
AGENDA_BACKSTAB_AVERSE_SURPRISE_WAR,ReductionValue,ARGTYPE_IDENTITY,-1,,
AGENDA_BACKSTAB_AVERSE_SURPRISE_WAR,StatementKey,ARGTYPE_IDENTITY,LOC_DIPLO_WARNING_LEADER_TOMYRIS_REASON_ANY,,
AGENDA_BACKSTAB_AVERSE_SURPRISE_WAR,SimpleModifierDescription,ARGTYPE_IDENTITY,LOC_DIPLO_MODIFIER_BACKSTAB_AVERSE_SURPRISE_WAR,,
