ModifierId,Context,Text
AGENDA_ALLY_OF_ENKIDU_FRIEND,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_ALLY_OF_ENKIDU_DENOUNCED_FRIEND,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_BACKSTAB_AVERSE_FRIEND,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_BACKSTAB_AVERSE_SURPRISE_WAR,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_BLACK_QUEEN,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_BUSHIDO,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_CLEARS_BARBARIAN_CAMPS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_CONTINENT_ATTACKED,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_CONTINENT_PEACEFUL,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_DIFFERENT_GOVERNMENT,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_ENVIRONMENT,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_EXPLOITATION,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HAS_DESIRED_LUXURY,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HAS_NO_DESIRED_LUXURY,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_AIRPOWER,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_ATTACK_CITY_STATES,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_CULTURE,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_EXPLORATION,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_FAITH,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_HAPPINESS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_INDUSTRY,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_NUKE_LOVE,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_POPULATION,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_PROTECT_CITY_STATES,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_SCIENCE,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_HIGH_STANDING_ARMY,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_IGNORES_BARBARIAN_CAMPS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LAST_VIKING_KING,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_AIRPOWER,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_CULTURE,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_EXPLORATION,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_FAITH,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_HAPPINESS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_INDUSTRY,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_NUKE_LOVE,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_POPULATION,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_SCIENCE,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_LOW_STANDING_ARMY,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MED_ATTACK_CITY_STATES,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MED_PROTECT_CITY_STATES,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MODIFIER_COMPETING_MINORS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MODIFIER_CONQUERING_ALLYING_MINORS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MODIFIER_DELIAN_COMPETING_MINORS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MODIFIER_DELIAN_NOT_COMPETING_MINORS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MODIFIER_ENCROACHING_RELIGION,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MODIFIER_LAGS_GREAT_PEOPLE,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MODIFIER_LAGS_PROGRESS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
AGENDA_MODIFIER_LAGS_WONDERS,Sample,LOC_TOOLTIP_SAMPLE_DIPLOMACY_ALL
